"Species"	"Isolation_Source"
"0-14-0-10-38-17 sp002774085"	"other"
"0-14-0-20-30-16 sp002779075"	"other"
"0-14-0-20-30-16 sp903916665"	"other"
"0-14-0-20-34-12 sp002779065"	"other"
"0-14-0-20-40-13 sp002774285"	"other"
"0-14-0-20-44-26 sp002779055"	"other"
"0-14-0-20-45-22 sp002774355"	"other"
"0-14-0-20-51-18 sp002774685"	"other"
"0-14-0-80-42-15 sp002780005"	"other"
"0-14-0-80-44-23 sp002779235"	"other"
"0-14-0-80-59-12 sp002779395"	"other"
"0-14-0-80-60-11 sp002779455"	"other"
"0-14-0-80-60-11 sp016875015"	"other"
"0-14-0-80-60-11 sp018897875"	"other"
"0-14-3-00-41-53 sp002780895"	"other"
"0-14-3-00-62-12 sp002785585"	"other"
"01-FULL-36-10b sp001785725"	"other"
"01-FULL-36-15b sp001782035"	"other"
"01-FULL-36-15b sp001782045"	"other"
"01-FULL-38-12b sp001820175"	"other"
"01-FULL-38-12b sp001820255"	"other"
"01-FULL-39-12b sp001780955"	"other"
"01-FULL-43-11b sp001780985"	"other"
"01-FULL-43-15b sp001816385"	"other"
"01-FULL-44-24b sp001793235"	"other"
"01-FULL-45-10b sp001804205"	"other"
"01-FULL-45-10b sp016177155"	"other"
"01-FULL-45-10b sp016206815"	"other"
"01-FULL-45-10b sp016206945"	"other"
"01-FULL-45-10b sp016206955"	"other"
"01-FULL-45-15b sp001822655"	"other"
"01-FULL-45-25b sp001781035"	"other"
"01-FULL-45-34b sp001822675"	"other"
"01-FULL-48-32b sp001773725"	"other"
"01-FULL-49-22b sp001823165"	"other"
"01-FULL-54-110 sp001789045"	"other"
"02-FULL-45-10c sp001818705"	"other"
"02-FULL-45-11b sp001817615"	"other"
"02-FULL-45-17b sp001819815"	"other"
"02-FULL-45-17b sp005239605"	"other"
"1-14-0-10-31-34 sp002763225"	"other"
"1-14-0-10-31-34 sp018829335"	"other"
"1-14-0-10-32-24 sp002763025"	"other"
"1-14-0-10-32-24 sp013204355"	"other"
"1-14-0-10-32-24 sp018655525"	"other"
"1-14-0-10-34-10 sp002773945"	"other"
"1-14-0-10-34-76 sp002763075"	"other"
"1-14-0-10-36-11 sp002778535"	"other"
"1-14-0-10-36-16 sp002794035"	"other"
"1-14-0-10-36-19 sp002772535"	"other"
"1-14-0-10-36-32 sp002778465"	"other"
"1-14-0-10-37-12 sp002762795"	"other"
"1-14-0-10-37-14 sp002778705"	"other"
"1-14-0-10-40-38 sp002773535"	"other"
"1-14-0-10-41-10 sp002773695"	"other"
"1-14-0-10-41-12 sp002778735"	"other"
"1-14-0-10-41-28 sp002773755"	"other"
"1-14-0-10-42-12 sp002787695"	"other"
"1-14-0-10-42-19 sp002774705"	"other"
"1-14-0-10-42-22 sp002773725"	"other"
"1-14-0-10-42-22 sp018826645"	"other"
"1-14-0-10-43-10 sp002773655"	"other"
"1-14-0-10-43-11 sp002778635"	"other"
"1-14-0-10-43-13 sp002773985"	"other"
"1-14-0-10-43-42 sp002793915"	"other"
"1-14-0-10-44-13 sp002762985"	"other"
"1-14-0-10-44-23 sp002773475"	"other"
"1-14-0-10-45-20 sp002773335"	"other"
"1-14-0-10-45-20 sp004296925"	"other"
"1-14-0-10-45-20 sp004322365"	"other"
"1-14-0-10-45-20 sp007378985"	"other"
"1-14-0-10-45-20 sp018970425"	"other"
"1-14-0-10-45-20 sp019246385"	"other"
"1-14-0-10-45-29 sp002778455"	"other"
"1-14-0-10-45-34 sp002778785"	"other"
"1-14-0-10-46-23 sp002771135"	"other"
"1-14-0-10-46-36 sp002772995"	"other"
"1-14-0-10-46-36 sp016204155"	"other"
"1-14-0-10-47-10 sp002773135"	"other"
"1-14-0-10-47-16 sp002773395"	"other"
"1-14-0-10-48-11 sp002793855"	"other"
"1-14-0-10-49-15 sp002773415"	"other"
"1-14-0-10-49-17 sp002778575"	"other"
"1-14-0-10-51-16 sp002774795"	"other"
"1-14-0-10-55-24 sp002772745"	"other"
"1-14-0-10-56-10 sp002772645"	"other"
"1-14-0-20-35-14 sp002796205"	"other"
"1-14-0-20-39-34 sp002787355"	"other"
"1-14-0-20-39-49 sp002787635"	"other"
"1-14-0-20-42-13 sp002796125"	"other"
"1-14-0-20-42-23 sp002796345"	"other"
"1-14-0-20-45-16 sp002787535"	"other"
"1-14-0-20-45-26 sp002787155"	"other"
"1-14-0-20-46-22 sp002796245"	"other"
"1-14-0-20-47-16 sp002796325"	"other"
"1-14-0-20-49-13 sp002796305"	"other"
"1-14-0-20-64-10 sp002787095"	"other"
"1-14-0-65-60-17 sp002787815"	"other"
"1-14-2-50-31-20 sp002786785"	"other"
"1-14-2-50-31-20 sp018818165"	"other"
"1-14-2-50-48-13 sp002783265"	"other"
"1-19 sp001922585"	"other"
"1-19 sp002837195"	"other"
"1109 sp001028815"	"other"
"1109 sp012521465"	"other"
"1162T-S-0a-05 sp000964245"	"other"
"12-FULL-43-12b sp001823875"	"other"
"12-FULL-44-12b sp001823695"	"other"
"12-FULL-45-19b sp001794605"	"other"
"12-FULL-67-14b sp009694735"	"other"
"12844 sp017443895"	"other"
"12844 sp902783115"	"other"
"13-1-40CM-64-14 sp001917855"	"other"
"13-1-40CM-70-15 sp003223415"	"other"
"13-2-20CM-66-19 sp001914695"	"other"
"13-2-20CM-66-19 sp003136935"	"other"
"13-2-20CM-66-19 sp003156695"	"other"
"13-2-20CM-66-19 sp005877705"	"other"
"13-2-20CM-66-19 sp005877965"	"other"
"13-2-20CM-66-19 sp005878095"	"other"
"13-2-20CM-66-19 sp005878835"	"other"
"13-2-20CM-66-19 sp018240525"	"other"
"13-2-20CM-66-19 sp018241425"	"other"
"13-2-20CM-66-19 sp018241445"	"other"
"13-2-20CM-66-19 sp018241505"	"other"
"13-2-20CM-66-19 sp019242385"	"other"
"13-2-20CM-66-19 sp019247195"	"other"
"13-2-20CM-68-14 sp001914705"	"other"
"13-2-20CM-68-14 sp005883955"	"other"
"13-2-20CM-68-14 sp005884005"	"other"
"13-2-20CM-68-14 sp005888315"	"other"
"14-2 sp000403255"	"other"
"14-2 sp000403315"	"other"
"14-2 sp000403845"	"other"
"14-2 sp001940225"	"other"
"14-2 sp004793545"	"other"
"14-2 sp009774455"	"other"
"14-2 sp009911185"	"other"
"14-2 sp011960065"	"other"
"14-2 sp012519695"	"other"
"14-2 sp910575005"	"other"
"14-2 sp910575035"	"other"
"14-2 sp910575075"	"other"
"14-2 sp910575155"	"other"
"14-2 sp910576385"	"other"
"14-2 sp910576975"	"other"
"14-2 sp910577785"	"other"
"14-2 sp910578825"	"other"
"14-2 sp910580015"	"other"
"14-2 sp910580195"	"other"
"14-2 sp910583835"	"other"
"14-2 sp910584585"	"other"
"14-2 sp910585395"	"other"
"14-2 sp910585625"	"other"
"14-2 sp910585895"	"other"
"14-2 sp910586005"	"other"
"14-2 sp910587895"	"other"
"14-2 sp910588285"	"other"
"14-2 sp910588845"	"other"
"14-2 sp910588885"	"other"
"14-2 sp910588965"	"other"
"14-2 sp910589635"	"other"
"143-21 sp019203185"	"other"
"16-39-46 sp002257235"	"other"
"16-39-46 sp018242545"	"other"
"17J80-11 sp010975005"	"other"
"17J80-11 sp014349105"	"other"
"17J80-11 sp018241995"	"other"
"18H4-34 sp019057815"	"other"
"18JY21-1 sp004344915"	"other"
"1XD42-69 sp009911505"	"other"
"1XD42-69 sp011959925"	"other"
"1XD42-69 sp014287635"	"other"
"1XD42-69 sp017624495"	"other"
"1XD42-69 sp017625255"	"other"
"1XD42-69 sp910577065"	"other"
"1XD42-69 sp910585825"	"other"
"1XD42-69 sp910586355"	"other"
"1XD42-69 sp910586645"	"other"
"1XD42-69 sp910586725"	"other"
"1XD42-69 sp910588565"	"other"
"1XD42-69 sp910589105"	"other"
"1XD8-76 sp003611955"	"other"
"1XD8-76 sp014804795"	"other"
"1XD8-76 sp015056725"	"other"
"1XD8-76 sp910573755"	"other"
"1XD8-76 sp910577955"	"other"
"1XD8-76 sp910578085"	"other"
"1XD8-76 sp910584915"	"other"
"2-01-FULL-33-17 sp001786995"	"other"
"2-01-FULL-36-15 sp001782015"	"other"
"2-01-FULL-37-20 sp001784115"	"other"
"2-01-FULL-38-13 sp001782165"	"other"
"2-01-FULL-38-21 sp001782085"	"other"
"2-01-FULL-38-21 sp001782475"	"other"
"2-01-FULL-38-26 sp001782075"	"other"
"2-01-FULL-39-10 sp001793015"	"other"
"2-01-FULL-39-10-A sp001782515"	"other"
"2-01-FULL-39-10-A sp016186625"	"other"
"2-01-FULL-39-10-A sp018061075"	"other"
"2-01-FULL-39-12 sp001787455"	"other"
"2-01-FULL-39-13 sp001772665"	"other"
"2-01-FULL-39-19 sp001789725"	"other"
"2-01-FULL-39-21 sp001792305"	"other"
"2-01-FULL-39-21 sp001792535"	"other"
"2-01-FULL-39-24 sp001789445"	"other"
"2-01-FULL-39-28 sp001794015"	"other"
"2-01-FULL-39-28 sp001794635"	"other"
"2-01-FULL-39-28 sp001795735"	"other"
"2-01-FULL-39-33 sp001817505"	"other"
"2-01-FULL-39-33 sp002773855"	"other"
"2-01-FULL-40-13 sp001788015"	"other"
"2-01-FULL-40-13 sp001789635"	"other"
"2-01-FULL-40-13 sp001789645"	"other"
"2-01-FULL-40-13 sp001789695"	"other"
"2-01-FULL-40-13 sp001789745"	"other"
"2-01-FULL-40-13 sp016206365"	"other"
"2-01-FULL-40-14 sp001788215"	"other"
"2-01-FULL-40-24 sp001776975"	"other"
"2-01-FULL-40-39 sp001820095"	"other"
"2-01-FULL-40-42 sp001789965"	"other"
"2-01-FULL-41-11 sp001776335"	"other"
"2-01-FULL-41-12 sp001805765"	"other"
"2-01-FULL-41-14 sp001767855"	"other"
"2-01-FULL-41-18 sp001772615"	"other"
"2-01-FULL-41-18-A sp001776475"	"other"
"2-01-FULL-41-21 sp001794025"	"other"
"2-01-FULL-41-21 sp003151795"	"other"
"2-01-FULL-41-21 sp018062285"	"other"
"2-01-FULL-41-21 sp903830625"	"other"
"2-01-FULL-41-22 sp001789805"	"other"
"2-01-FULL-41-26 sp001794055"	"other"
"2-01-FULL-41-26 sp001794125"	"other"
"2-01-FULL-42-13 sp001772625"	"other"
"2-01-FULL-42-15 sp001784055"	"other"
"2-01-FULL-42-20 sp001785965"	"other"
"2-01-FULL-43-14 sp001816835"	"other"
"2-01-FULL-43-22 sp001794435"	"other"
"2-01-FULL-43-22 sp001795615"	"other"
"2-01-FULL-43-22 sp016185505"	"other"
"2-01-FULL-43-38 sp000997105"	"other"
"2-01-FULL-44-10 sp001792465"	"other"
"2-01-FULL-44-11 sp001817345"	"other"
"2-01-FULL-44-17 sp001794195"	"other"
"2-01-FULL-44-17 sp016181055"	"other"
"2-01-FULL-44-17 sp016181175"	"other"
"2-01-FULL-44-17 sp016185545"	"other"
"2-01-FULL-44-21 sp001777655"	"other"
"2-01-FULL-44-22 sp001794205"	"other"
"2-01-FULL-44-22 sp001795975"	"other"
"2-01-FULL-45-10 sp001804065"	"other"
"2-01-FULL-45-10-A sp001804165"	"other"
"2-01-FULL-45-10-B sp001818835"	"other"
"2-01-FULL-45-11 sp001803465"	"other"
"2-01-FULL-45-18 sp001779915"	"other"
"2-01-FULL-45-33 sp001778595"	"other"
"2-01-FULL-45-33 sp001778875"	"other"
"2-01-FULL-46-13 sp001778545"	"other"
"2-01-FULL-46-13 sp001778785"	"other"
"2-01-FULL-46-13 sp001778905"	"other"
"2-01-FULL-46-13 sp001780775"	"other"
"2-01-FULL-46-14 sp001777515"	"other"
"2-01-FULL-46-14 sp001779925"	"other"
"2-01-FULL-46-14-A sp001780895"	"other"
"2-01-FULL-47-10 sp001824325"	"other"
"2-01-FULL-47-10-A sp001820675"	"other"
"2-01-FULL-48-10 sp001817755"	"other"
"2-01-FULL-48-14 sp001822835"	"other"
"2-01-FULL-48-16 sp001823155"	"other"
"2-01-FULL-49-10 sp001771275"	"other"
"2-01-FULL-49-10 sp016936175"	"other"
"2-01-FULL-49-14 sp001816915"	"other"
"2-01-FULL-49-17 sp001795695"	"other"
"2-01-FULL-49-22 sp001788565"	"other"
"2-01-FULL-50-11 sp001777585"	"other"
"2-01-FULL-50-23 sp001774555"	"other"
"2-01-FULL-50-24 sp001804225"	"other"
"2-01-FULL-50-25 sp001822215"	"other"
"2-01-FULL-50-28 sp001816585"	"other"
"2-01-FULL-51-10 sp001823505"	"other"
"2-01-FULL-51-10 sp001823605"	"other"
"2-01-FULL-51-21 sp001781435"	"other"
"2-01-FULL-51-34 sp001820785"	"other"
"2-01-FULL-52-15 sp001818365"	"other"
"2-01-FULL-53-15 sp001772335"	"other"
"2-01-FULL-56-20 sp001818655"	"other"
"2-01-FULL-58-14 sp001824745"	"other"
"2-01-FULL-59-12 sp001800075"	"other"
"2-01-FULL-60-11 sp001799975"	"other"
"2-01-FULL-60-11 sp001800085"	"other"
"2-01-FULL-63-20 sp001791045"	"other"
"2-01-FULL-63-20 sp004297215"	"other"
"2-01-FULL-64-13 sp001800095"	"other"
"2-01-FULL-66-17 sp001803875"	"other"
"2-01-FULL-66-17 sp016201825"	"other"
"2-02-FULL-34-10 sp001821915"	"other"
"2-02-FULL-34-12 sp001784555"	"other"
"2-02-FULL-35-15 sp001784585"	"other"
"2-02-FULL-36-13 sp001777015"	"other"
"2-02-FULL-37-13 sp001782195"	"other"
"2-02-FULL-38-14 sp001772865"	"other"
"2-02-FULL-38-14-A sp001790855"	"other"
"2-02-FULL-38-15 sp001777055"	"other"
"2-02-FULL-38-15-A sp001797335"	"other"
"2-02-FULL-39-11 sp001779195"	"other"
"2-02-FULL-39-13 sp001783595"	"other"
"2-02-FULL-39-13 sp002782365"	"other"
"2-02-FULL-39-14 sp001779055"	"other"
"2-02-FULL-39-14 sp001779205"	"other"
"2-02-FULL-39-32 sp001800135"	"other"
"2-02-FULL-39-32 sp016180425"	"other"
