gc_bin,counts_gc,Study
"[0,1]",1,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(1,2]",1,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(2,3]",1,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(3,4]",1,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(4,5]",2,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(5,6]",5,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(6,7]",4,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(7,8]",1,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(8,9]",4,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(9,10]",3,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(11,12]",11,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(12,13]",6,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(13,14]",20,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(14,15]",29,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(15,16]",52,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(16,17]",108,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(17,18]",142,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(18,19]",207,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(19,20]",404,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(20,21]",417,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(21,22]",709,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(22,23]",866,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(23,24]",1174,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(24,25]",1627,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(25,26]",1326,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(26,27]",2067,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(27,28]",2837,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(28,29]",3047,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(29,30]",3629,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(30,31]",3923,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(31,32]",4576,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(32,33]",4877,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(33,34]",4844,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(34,35]",5323,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(35,36]",5428,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(36,37]",5663,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(37,38]",5469,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(38,39]",6251,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(39,40]",7402,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(40,41]",5511,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(41,42]",6681,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(42,43]",6267,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(43,44]",6907,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(44,45]",6483,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(45,46]",5822,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(46,47]",6269,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(47,48]",6699,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(48,49]",6000,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(49,50]",8540,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(50,51]",3421,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(51,52]",6659,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(52,53]",6424,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(53,54]",6659,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(54,55]",6338,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(55,56]",6306,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(56,57]",6436,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(57,58]",6390,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(58,59]",5893,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(59,60]",7149,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(60,61]",4935,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(61,62]",5702,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(62,63]",5024,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(63,64]",5241,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(64,65]",4787,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(65,66]",4438,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(66,67]",3733,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(67,68]",4017,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(68,69]",3232,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(69,70]",3326,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(70,71]",2308,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(71,72]",2400,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(72,73]",1929,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(73,74]",1772,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(74,75]",1569,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(75,76]",814,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(76,77]",757,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(77,78]",627,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(78,79]",437,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
"(79,80]",314,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
