Length,counts_length,Study
36,1412,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
37,2498,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
38,3419,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
39,4089,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
40,4561,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
41,4659,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
42,4514,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
43,4646,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
44,4736,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
45,4934,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
46,4825,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
47,5103,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
48,5251,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
49,5089,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
50,4924,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
51,4897,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
52,4733,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
53,4689,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
54,4640,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
55,4533,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
56,4559,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
57,4683,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
58,4607,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
59,4520,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
60,4427,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
61,4242,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
62,4003,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
63,3873,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
64,3688,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
65,3799,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
66,3645,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
67,3677,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
68,3666,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
69,3641,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
70,3618,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
71,3540,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
72,3803,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
73,4274,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
74,4152,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
75,7168,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
76,12578,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
77,2666,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
78,2631,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
79,2653,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
80,2618,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
81,2259,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
82,2185,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
83,2122,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
84,2142,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
85,2097,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
86,2056,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
87,1949,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
88,1896,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
89,1847,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
90,1768,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
91,1692,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
92,1603,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
93,1603,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
94,1500,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
95,1489,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
96,1460,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
97,1401,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
98,1420,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
99,1352,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
100,1310,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
101,1240,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
102,1148,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
103,1129,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
104,1097,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
105,1075,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
106,1065,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
107,998,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
108,973,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
109,984,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
110,872,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
111,925,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
112,870,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
113,811,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
114,758,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
115,786,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
116,702,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
117,717,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
118,673,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
119,749,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
120,692,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
121,583,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
122,555,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
123,594,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
124,547,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
125,563,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
126,477,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
127,509,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
128,462,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
129,446,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
130,411,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
131,396,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
132,409,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
133,387,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
134,410,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
135,367,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
136,371,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
137,336,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
138,360,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
139,356,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
140,318,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
141,261,BAN001.A0101.SG1.1.classified_gc_rl.tsv.gz
36,3712,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
37,6199,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
38,7504,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
39,8430,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
40,9277,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
41,9138,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
42,8799,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
43,8223,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
44,8033,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
45,7469,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
46,7326,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
47,6814,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
48,6398,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
49,6246,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
50,5855,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
51,5848,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
52,5515,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
53,5108,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
54,4662,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
55,4382,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
56,3975,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
57,3868,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
58,3641,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
59,3637,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
60,3323,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
61,3116,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
62,3037,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
63,2767,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
64,2491,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
65,2498,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
66,2297,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
67,2225,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
68,2061,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
69,1924,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
70,1875,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
71,1921,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
72,1998,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
73,2413,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
74,1623,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
