Species	BAN001.A0101.SG1.1	BAN001.A0102.SG1.4	CDM019.A0101.SG1.1	CDM019.A0102.SG1.4	CDM020.A0101.SG1.1	CDM020.A0102.SG1.4	FUM001.A0101.SG1.1	FUM001.A0102.SG1.4	FUM002.A0101.SG1.1	FUM002.A0102.SG1.5	FUM003.A0101.SG1.1	FUM003.A0102.SG1.4	GDN001.A0101.SG1.1	GDN001.A0102.SG1.3	GOY005.A0101.SG1.2	GOY005.A0103.SG1.4	GOY006.A0101.SG1.2	GOY006.A0102.SG1.5	GUE001.A0101.SG1.1	GUE001.A0102.SG1.4	PES001.B0101.SG1.3	PES001.B0102.SG1.5	SPM002.A0101.SG1.1	SPM002.A0103.SG1.4	VLD001.A0101.SG1.1	VLD001.A0102.SG1.2	ZAF001.A0101.SG1.1	ZAF001.A0103.SG1.4
Abiotrophia defectiva	0	0	156	448	5365	16974	521	130	276	364	209	157	0	0	10726	3070	6748	2318	0	0	20943	6314	22	0	55	46	322	91
Abiotrophia sp001815865	0	0	330	809	14098	47851	652	146	350	419	340	203	12	0	14047	4117	7493	2576	0	0	25071	7434	0	0	47	47	194	54
Actinomyces dentalis	0	0	280845	215186	160174	172703	27400	2954	15796	6071	1629	422	227651	27634	14730	1466	64581	8737	20	0	421215	48255	35	0	73514	28030	1149	213
Actinomyces denticolens	0	0	242	228	222	299	342	20	860	380	208	61	2783	310	763	73	1462	197	0	0	3303	505	0	0	227	115	18	0
Actinomyces gerencseriae	0	0	15395	12360	12049	13625	41672	3383	6342	2583	1911	486	22015	2717	16482	1415	26416	2986	0	0	82395	11936	91	0	153185	45548	4450	1171
Actinomyces graevenitzii	0	0	36	52	35	61	103	25	187	93	98	35	303	43	365	34	365	67	22	0	531	105	39	0	68	27	121	18
Actinomyces howellii	0	0	603	572	822	1086	600	62	4168	1704	280	97	46815	5841	2252	242	16312	2329	0	0	46808	6516	0	0	2351	1082	0	0
Actinomyces israelii	0	0	1965	1696	1344	1718	1520	142	2096	841	304	110	10236	1267	1572	150	4202	617	75	0	12037	1862	117	0	3603	1281	158	38
Actinomyces johnsonii	0	0	3244	3279	10633	12983	39881	4152	76288	31135	23586	7290	2927	387	49447	5229	29355	4360	0	0	116892	15404	15	0	6831	2901	347	113
Actinomyces massiliensis	0	0	1182	1116	851	1148	2396	221	2964	1198	588	173	5291	701	2547	275	3808	532	65	0	10754	1608	232	23	4957	1642	262	57
