number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
1	168126	BAN001.A0101.SG1.1.gz	merged		
2	24586	BAN001.A0101.SG1.1.gz	merged		
3	4122	BAN001.A0101.SG1.1.gz	merged		
4	898	BAN001.A0101.SG1.1.gz	merged		
5	297	BAN001.A0101.SG1.1.gz	merged		
6	134	BAN001.A0101.SG1.1.gz	merged		
7	92	BAN001.A0101.SG1.1.gz	merged		
8	52	BAN001.A0101.SG1.1.gz	merged		
9	33	BAN001.A0101.SG1.1.gz	merged		
10	14	BAN001.A0101.SG1.1.gz	merged		
11	25	BAN001.A0101.SG1.1.gz	merged		
12	12	BAN001.A0101.SG1.1.gz	merged		
13	11	BAN001.A0101.SG1.1.gz	merged		
14	9	BAN001.A0101.SG1.1.gz	merged		
15	8	BAN001.A0101.SG1.1.gz	merged		
16	2	BAN001.A0101.SG1.1.gz	merged		
17	8	BAN001.A0101.SG1.1.gz	merged		
18	6	BAN001.A0101.SG1.1.gz	merged		
19	2	BAN001.A0101.SG1.1.gz	merged		
20	1	BAN001.A0101.SG1.1.gz	merged		
21	3	BAN001.A0101.SG1.1.gz	merged		
22	1	BAN001.A0101.SG1.1.gz	merged		
23	1	BAN001.A0101.SG1.1.gz	merged		
24	1	BAN001.A0101.SG1.1.gz	merged		
26	1	BAN001.A0101.SG1.1.gz	merged		
27	2	BAN001.A0101.SG1.1.gz	merged		
28	1	BAN001.A0101.SG1.1.gz	merged		
30	1	BAN001.A0101.SG1.1.gz	merged		
31	1	BAN001.A0101.SG1.1.gz	merged		
32	1	BAN001.A0101.SG1.1.gz	merged		
33	1	BAN001.A0101.SG1.1.gz	merged		
34	5	BAN001.A0101.SG1.1.gz	merged		
36	1	BAN001.A0101.SG1.1.gz	merged		
39	2	BAN001.A0101.SG1.1.gz	merged		
40	1	BAN001.A0101.SG1.1.gz	merged		
43	1	BAN001.A0101.SG1.1.gz	merged		
44	1	BAN001.A0101.SG1.1.gz	merged		
49	1	BAN001.A0101.SG1.1.gz	merged		
50	1	BAN001.A0101.SG1.1.gz	merged		
73	1	BAN001.A0101.SG1.1.gz	merged		
92	1	BAN001.A0101.SG1.1.gz	merged		
1	171801	BAN001.A0102.SG1.4.gz	merged		
2	11845	BAN001.A0102.SG1.4.gz	merged		
3	2005	BAN001.A0102.SG1.4.gz	merged		
4	688	BAN001.A0102.SG1.4.gz	merged		
5	354	BAN001.A0102.SG1.4.gz	merged		
6	183	BAN001.A0102.SG1.4.gz	merged		
7	132	BAN001.A0102.SG1.4.gz	merged		
8	84	BAN001.A0102.SG1.4.gz	merged		
9	61	BAN001.A0102.SG1.4.gz	merged		
10	30	BAN001.A0102.SG1.4.gz	merged		
11	28	BAN001.A0102.SG1.4.gz	merged		
12	24	BAN001.A0102.SG1.4.gz	merged		
13	22	BAN001.A0102.SG1.4.gz	merged		
14	13	BAN001.A0102.SG1.4.gz	merged		
15	11	BAN001.A0102.SG1.4.gz	merged		
16	10	BAN001.A0102.SG1.4.gz	merged		
17	5	BAN001.A0102.SG1.4.gz	merged		
18	13	BAN001.A0102.SG1.4.gz	merged		
19	3	BAN001.A0102.SG1.4.gz	merged		
20	9	BAN001.A0102.SG1.4.gz	merged		
21	2	BAN001.A0102.SG1.4.gz	merged		
22	5	BAN001.A0102.SG1.4.gz	merged		
23	6	BAN001.A0102.SG1.4.gz	merged		
24	2	BAN001.A0102.SG1.4.gz	merged		
25	1	BAN001.A0102.SG1.4.gz	merged		
26	1	BAN001.A0102.SG1.4.gz	merged		
27	1	BAN001.A0102.SG1.4.gz	merged		
28	3	BAN001.A0102.SG1.4.gz	merged		
29	2	BAN001.A0102.SG1.4.gz	merged		
30	1	BAN001.A0102.SG1.4.gz	merged		
31	3	BAN001.A0102.SG1.4.gz	merged		
32	1	BAN001.A0102.SG1.4.gz	merged		
33	2	BAN001.A0102.SG1.4.gz	merged		
34	1	BAN001.A0102.SG1.4.gz	merged		
36	1	BAN001.A0102.SG1.4.gz	merged		
37	1	BAN001.A0102.SG1.4.gz	merged		
38	2	BAN001.A0102.SG1.4.gz	merged		
40	1	BAN001.A0102.SG1.4.gz	merged		
43	2	BAN001.A0102.SG1.4.gz	merged		
44	1	BAN001.A0102.SG1.4.gz	merged		
46	2	BAN001.A0102.SG1.4.gz	merged		
47	1	BAN001.A0102.SG1.4.gz	merged		
50	1	BAN001.A0102.SG1.4.gz	merged		
51	1	BAN001.A0102.SG1.4.gz	merged		
53	1	BAN001.A0102.SG1.4.gz	merged		
57	1	BAN001.A0102.SG1.4.gz	merged		
60	1	BAN001.A0102.SG1.4.gz	merged		
71	2	BAN001.A0102.SG1.4.gz	merged		
88	1	BAN001.A0102.SG1.4.gz	merged		
100	1	BAN001.A0102.SG1.4.gz	merged		
114	1	BAN001.A0102.SG1.4.gz	merged		
1	3987127	CDM019.A0101.SG1.1.gz	merged		
2	67152	CDM019.A0101.SG1.1.gz	merged		
3	675	CDM019.A0101.SG1.1.gz	merged		
4	5	CDM019.A0101.SG1.1.gz	merged		
1	6014618	CDM019.A0102.SG1.4.gz	merged		
2	187663	CDM019.A0102.SG1.4.gz	merged		
3	2776	CDM019.A0102.SG1.4.gz	merged		
4	15	CDM019.A0102.SG1.4.gz	merged		
5	2	CDM019.A0102.SG1.4.gz	merged		
1	3283970	CDM020.A0101.SG1.1.gz	merged		
2	56581	CDM020.A0101.SG1.1.gz	merged		
3	648	CDM020.A0101.SG1.1.gz	merged		
4	4	CDM020.A0101.SG1.1.gz	merged		
1	6964923	CDM020.A0102.SG1.4.gz	merged		
2	221206	CDM020.A0102.SG1.4.gz	merged		
