number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
1	504	BAN001.A0101.SG1.1	merged	Double	BAN001.A0101
2	62	BAN001.A0101.SG1.1	merged	Double	BAN001.A0101
3	5	BAN001.A0101.SG1.1	merged	Double	BAN001.A0101
5	1	BAN001.A0101.SG1.1	merged	Double	BAN001.A0101
1	970	BAN001.A0102.SG1.4	merged	Single	BAN001.A0102
2	36	BAN001.A0102.SG1.4	merged	Single	BAN001.A0102
1	2313327	CDM019.A0101.SG1.1	merged	Double	CDM019.A0101
2	39047	CDM019.A0101.SG1.1	merged	Double	CDM019.A0101
3	372	CDM019.A0101.SG1.1	merged	Double	CDM019.A0101
4	4	CDM019.A0101.SG1.1	merged	Double	CDM019.A0101
1	3600293	CDM019.A0102.SG1.4	merged	Single	CDM019.A0102
2	112162	CDM019.A0102.SG1.4	merged	Single	CDM019.A0102
3	1640	CDM019.A0102.SG1.4	merged	Single	CDM019.A0102
4	10	CDM019.A0102.SG1.4	merged	Single	CDM019.A0102
5	1	CDM019.A0102.SG1.4	merged	Single	CDM019.A0102
1	1767481	CDM020.A0101.SG1.1	merged	Double	CDM020.A0101
2	30837	CDM020.A0101.SG1.1	merged	Double	CDM020.A0101
3	371	CDM020.A0101.SG1.1	merged	Double	CDM020.A0101
4	3	CDM020.A0101.SG1.1	merged	Double	CDM020.A0101
1	3803083	CDM020.A0102.SG1.4	merged	Single	CDM020.A0102
2	120650	CDM020.A0102.SG1.4	merged	Single	CDM020.A0102
3	1731	CDM020.A0102.SG1.4	merged	Single	CDM020.A0102
4	13	CDM020.A0102.SG1.4	merged	Single	CDM020.A0102
1	69191	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
2	34028	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
3	29741	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
4	25876	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
5	20775	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
6	16656	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
7	12236	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
8	8814	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
9	6215	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
10	4312	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
11	2937	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
12	1887	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
13	1193	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
14	711	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
15	504	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
16	282	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
17	170	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
18	98	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
19	43	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
20	29	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
21	14	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
22	7	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
23	5	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
24	4	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
25	2	FUM001.A0101.SG1.1	merged	Double	FUM001.A0101
