Sequencing_ID	Library_ID	Individual_ID	Strandedness	Sequencing_setup	UDG_treatment	Read_length	pre_eager_tot_read_pairs	post_eager_tot_reads	pre_eager_avg_rl	post_eager_avg_rl	pre_eager_avg_gc	post_eager_avg_gc	mapped_reads	merged_reads_post_eager	cutadapt_total	cutadapt_merged	cutadapt_forward	cutadapt_reverse	kraken2_preservation	avg_rl_post_cutadapt	avg_gc_post_cutadapt
BAN001.A0101.SG1.1	BAN001.A0101	BAN001	Double	PE	none	75	10691059	10142374	76	63.2313470345077	49	48	113381	9369195	9985673	9331958	331458	322257	Bad	63	48.45
BAN001.A0102.SG1.4	BAN001.A0102	BAN001	Single	PE	none	75	25804156	9790866	76	46.3065788826967	50	42.6	430396	9163156	9142726	8959207	89771	93748	Bad	46.4	43.2
CDM019.A0101.SG1.1	CDM019.A0101	CDM019	Double	PE	none	75	11400932	11352555	76	66.5216823983255	56	57	9646	10451397	11310409	10421365	449858	439186	Good	66.2	57.92
CDM019.A0102.SG1.4	CDM019.A0102	CDM019	Single	PE	none	75	28779989	24185419	76	56.5299853147033	50	49.2	19217	22887154	23888637	22615497	638937	634204	Good	56.5	49.9
CDM020.A0101.SG1.1	CDM020.A0101	CDM020	Double	PE	none	75	10181124	9960955	76	62.8513161476854	56	57	8727	9203540	9913833	9167996	377319	368518	Good	62.5	57.42
CDM020.A0102.SG1.4	CDM020.A0102	CDM020	Single	PE	none	75	32654137	27411243	76	55.3911357098476	50	49.2	21471	26085502	27071928	25773522	651863	646543	Good	55.3	49.63
FUM001.A0101.SG1.1	FUM001.A0101	FUM001	Double	PE	none	75	17018984	15480805	76	62.2292980052003	52	52	5424741	9453134	9957018	9397638	277597	281783	Good	55.7	57.54
FUM001.A0102.SG1.4	FUM001.A0102	FUM001	Single	PE	none	75	25427397	4754910	76	54.7157373499765	50	45.2	2237122	2375520	2437639	2319929	53115	64595	Good	49.1	50.09
FUM002.A0101.SG1.1	FUM002.A0101	FUM002	Double	PE	none	75	19683793	17239910	76	51.1560328607434	54	58	144354	16861985	16944351	16719830	116107	108414	Good	50.7	58.66
FUM002.A0102.SG1.5	FUM002.A0102	FUM002	Single	PE	none	75	24346098	14029734	76	45.8378779174158	52	52	198075	13706333	13505525	13389450	57256	58819	Good	45.5	52.63
FUM003.A0101.SG1.1	FUM003.A0101	FUM003	Double	PE	none	75	17026195	16997296	76	67.6880369118953	59	61	1427685	13128523	15503700	13072340	1218938	1212422	Bad	67.2	62.81
FUM003.A0102.SG1.4	FUM003.A0102	FUM003	Single	PE	none	75	24563708	10332113	76	50.8474779764256	53	57.2	838108	9141600	9319935	8983602	166396	169937	Bad	50.4	59.42
