number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
1	14104	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
2	828	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
3	164	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
4	34	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
5	21	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
6	10	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
7	9	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
8	9	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
9	5	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
10	2	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
11	1	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
12	1	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
13	2	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
14	2	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
15	1	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
17	1	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
18	1	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
21	2	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
41	1	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
43	1	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
1	2496	BAN001.A0102.SG1.4_10M	unmerged	Single	BAN001.A0102_10M
2	82	BAN001.A0102.SG1.4_10M	unmerged	Single	BAN001.A0102_10M
3	16	BAN001.A0102.SG1.4_10M	unmerged	Single	BAN001.A0102_10M
4	1	BAN001.A0102.SG1.4_10M	unmerged	Single	BAN001.A0102_10M
5	4	BAN001.A0102.SG1.4_10M	unmerged	Single	BAN001.A0102_10M
6	2	BAN001.A0102.SG1.4_10M	unmerged	Single	BAN001.A0102_10M
1	404943	CDM019.A0101.SG1.1_10M	unmerged	Double	CDM019.A0101_10M
2	3933	CDM019.A0101.SG1.1_10M	unmerged	Double	CDM019.A0101_10M
3	45	CDM019.A0101.SG1.1_10M	unmerged	Double	CDM019.A0101_10M
1	182271	CDM019.A0102.SG1.4_10M	unmerged	Single	CDM019.A0102_10M
2	1769	CDM019.A0102.SG1.4_10M	unmerged	Single	CDM019.A0102_10M
3	15	CDM019.A0102.SG1.4_10M	unmerged	Single	CDM019.A0102_10M
1	376651	CDM020.A0101.SG1.1_10M	unmerged	Double	CDM020.A0101_10M
2	3943	CDM020.A0101.SG1.1_10M	unmerged	Double	CDM020.A0101_10M
3	33	CDM020.A0101.SG1.1_10M	unmerged	Double	CDM020.A0101_10M
1	154501	CDM020.A0102.SG1.4_10M	unmerged	Single	CDM020.A0102_10M
2	1428	CDM020.A0102.SG1.4_10M	unmerged	Single	CDM020.A0102_10M
3	7	CDM020.A0102.SG1.4_10M	unmerged	Single	CDM020.A0102_10M
1	52487	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
2	14012	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
3	6731	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
4	3145	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
5	1446	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
6	624	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
7	259	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
8	113	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
9	47	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
10	23	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
11	15	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
12	4	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
13	3	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
14	1	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
15	2	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
18	1	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
25	1	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
44	1	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
50	1	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
92	1	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
1	8061	FUM001.A0102.SG1.4_10M	unmerged	Single	FUM001.A0102_10M
2	138	FUM001.A0102.SG1.4_10M	unmerged	Single	FUM001.A0102_10M
3	1	FUM001.A0102.SG1.4_10M	unmerged	Single	FUM001.A0102_10M
4	1	FUM001.A0102.SG1.4_10M	unmerged	Single	FUM001.A0102_10M
5	3	FUM001.A0102.SG1.4_10M	unmerged	Single	FUM001.A0102_10M
1	30064	FUM002.A0101.SG1.1_10M	unmerged	Double	FUM002.A0101_10M
2	504	FUM002.A0101.SG1.1_10M	unmerged	Double	FUM002.A0101_10M
3	11	FUM002.A0101.SG1.1_10M	unmerged	Double	FUM002.A0101_10M
1	5183	FUM002.A0102.SG1.5_10M	unmerged	Single	FUM002.A0102_10M
2	47	FUM002.A0102.SG1.5_10M	unmerged	Single	FUM002.A0102_10M
1	753458	FUM003.A0101.SG1.1_10M	unmerged	Double	FUM003.A0101_10M
2	53129	FUM003.A0101.SG1.1_10M	unmerged	Double	FUM003.A0101_10M
3	4786	FUM003.A0101.SG1.1_10M	unmerged	Double	FUM003.A0101_10M
4	428	FUM003.A0101.SG1.1_10M	unmerged	Double	FUM003.A0101_10M
5	50	FUM003.A0101.SG1.1_10M	unmerged	Double	FUM003.A0101_10M
6	5	FUM003.A0101.SG1.1_10M	unmerged	Double	FUM003.A0101_10M
1	55711	FUM003.A0102.SG1.4_10M	unmerged	Single	FUM003.A0102_10M
2	907	FUM003.A0102.SG1.4_10M	unmerged	Single	FUM003.A0102_10M
3	11	FUM003.A0102.SG1.4_10M	unmerged	Single	FUM003.A0102_10M
4	2	FUM003.A0102.SG1.4_10M	unmerged	Single	FUM003.A0102_10M
1	20359	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
2	5209	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
3	2622	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
4	1300	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
5	581	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
6	259	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
7	102	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
8	50	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
9	20	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
10	10	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
11	2	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
12	3	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
13	1	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
18	3	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
34	1	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
52	1	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
1	2517	GDN001.A0102.SG1.3_10M	unmerged	Single	GDN001.A0102_10M
2	127	GDN001.A0102.SG1.3_10M	unmerged	Single	GDN001.A0102_10M
3	6	GDN001.A0102.SG1.3_10M	unmerged	Single	GDN001.A0102_10M
5	1	GDN001.A0102.SG1.3_10M	unmerged	Single	GDN001.A0102_10M
1	97953	GOY005.A0101.SG1.2_10M	unmerged	Double	GOY005.A0101_10M
2	1241	GOY005.A0101.SG1.2_10M	unmerged	Double	GOY005.A0101_10M
3	19	GOY005.A0101.SG1.2_10M	unmerged	Double	GOY005.A0101_10M
4	1	GOY005.A0101.SG1.2_10M	unmerged	Double	GOY005.A0101_10M
1	6356	GOY005.A0103.SG1.4_10M	unmerged	Single	GOY005.A0103_10M
2	58	GOY005.A0103.SG1.4_10M	unmerged	Single	GOY005.A0103_10M
3	1	GOY005.A0103.SG1.4_10M	unmerged	Single	GOY005.A0103_10M
1	58208	GOY006.A0101.SG1.2_10M	unmerged	Double	GOY006.A0101_10M
2	286	GOY006.A0101.SG1.2_10M	unmerged	Double	GOY006.A0101_10M
