number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
1	474	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
2	55	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
3	5	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
5	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
1	426	BAN001.A0102.SG1.4_10M	merged	Single	BAN001.A0102_10M
2	5	BAN001.A0102.SG1.4_10M	merged	Single	BAN001.A0102_10M
1	2037441	CDM019.A0101.SG1.1_10M	merged	Double	CDM019.A0101_10M
2	30260	CDM019.A0101.SG1.1_10M	merged	Double	CDM019.A0101_10M
3	252	CDM019.A0101.SG1.1_10M	merged	Double	CDM019.A0101_10M
4	2	CDM019.A0101.SG1.1_10M	merged	Double	CDM019.A0101_10M
1	1302455	CDM019.A0102.SG1.4_10M	merged	Single	CDM019.A0102_10M
2	14126	CDM019.A0102.SG1.4_10M	merged	Single	CDM019.A0102_10M
3	61	CDM019.A0102.SG1.4_10M	merged	Single	CDM019.A0102_10M
1	1736816	CDM020.A0101.SG1.1_10M	merged	Double	CDM020.A0101_10M
2	29757	CDM020.A0101.SG1.1_10M	merged	Double	CDM020.A0101_10M
3	347	CDM020.A0101.SG1.1_10M	merged	Double	CDM020.A0101_10M
4	3	CDM020.A0101.SG1.1_10M	merged	Double	CDM020.A0101_10M
1	1215623	CDM020.A0102.SG1.4_10M	merged	Single	CDM020.A0102_10M
2	11710	CDM020.A0102.SG1.4_10M	merged	Single	CDM020.A0102_10M
3	48	CDM020.A0102.SG1.4_10M	merged	Single	CDM020.A0102_10M
1	73344	FUM001.A0101.SG1.1_10M	merged	Double	FUM001.A0101_10M
2	42669	FUM001.A0101.SG1.1_10M	merged	Double	FUM001.A0101_10M
3	31302	FUM001.A0101.SG1.1_10M	merged	Double	FUM001.A0101_10M
4	20835	FUM001.A0101.SG1.1_10M	merged	Double	FUM001.A0101_10M
