gc_bin,counts_gc,Study
"[0,1]",1,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(1,2]",1,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(2,3]",1,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(3,4]",1,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(4,5]",2,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(5,6]",4,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(6,7]",3,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(7,8]",1,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(8,9]",4,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(9,10]",3,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(11,12]",10,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(12,13]",6,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(13,14]",21,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(14,15]",27,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(15,16]",49,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(16,17]",103,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(17,18]",131,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(18,19]",189,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(19,20]",370,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(20,21]",390,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(21,22]",659,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(22,23]",811,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(23,24]",1105,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(24,25]",1522,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(25,26]",1248,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(26,27]",1957,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(27,28]",2656,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(28,29]",2843,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(29,30]",3399,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(30,31]",3664,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
"(31,32]",4276,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
