gc_bin,counts_gc,Study
"[0,1]",625,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(1,2]",85,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(2,3]",111,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(3,4]",108,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(4,5]",120,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(5,6]",196,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(6,7]",247,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(7,8]",278,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(8,9]",309,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(9,10]",539,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(10,11]",501,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(11,12]",744,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(12,13]",879,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(13,14]",1442,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(14,15]",1844,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(15,16]",2625,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(16,17]",3302,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(17,18]",4988,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(18,19]",6434,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(19,20]",10562,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(20,21]",9166,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(21,22]",15122,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(22,23]",17617,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(23,24]",22495,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(24,25]",31097,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(25,26]",24007,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(26,27]",34254,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(27,28]",42846,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(28,29]",45026,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(29,30]",57830,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(30,31]",58101,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(31,32]",76967,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(32,33]",82781,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(33,34]",97686,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(34,35]",125530,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(35,36]",142545,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(36,37]",154453,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(37,38]",182993,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(38,39]",203801,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(39,40]",284862,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(40,41]",215562,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(41,42]",287080,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(42,43]",318359,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(43,44]",361785,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
