gc_bin,counts_gc,Study
"[0,1]",22,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(1,2]",46,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(2,3]",68,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(3,4]",49,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(4,5]",63,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(5,6]",140,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(6,7]",142,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(7,8]",176,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(8,9]",205,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(9,10]",375,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(10,11]",374,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(11,12]",548,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(12,13]",679,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(13,14]",1097,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(14,15]",1545,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(15,16]",2253,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(16,17]",2947,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(17,18]",4345,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(18,19]",5948,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(19,20]",9702,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(20,21]",8524,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(21,22]",14296,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(22,23]",16808,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(23,24]",21320,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(24,25]",28400,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(25,26]",22860,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(26,27]",32640,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(27,28]",40001,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(28,29]",42672,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(29,30]",54455,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(30,31]",55228,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(31,32]",71727,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(32,33]",78972,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(33,34]",91567,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(34,35]",116078,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(35,36]",133069,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(36,37]",151214,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(37,38]",167221,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(38,39]",196234,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(39,40]",266934,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(40,41]",204768,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(41,42]",270749,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(42,43]",295967,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(43,44]",349176,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(44,45]",351037,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(45,46]",354285,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(46,47]",377768,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(47,48]",419306,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(48,49]",414784,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(49,50]",572575,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(50,51]",197047,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(51,52]",440327,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(52,53]",380480,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(53,54]",376441,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(54,55]",353965,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(55,56]",318497,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(56,57]",296429,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(57,58]",272934,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(58,59]",227538,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(59,60]",247453,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(60,61]",142903,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(61,62]",161762,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(62,63]",121453,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(63,64]",121361,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(64,65]",94737,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(65,66]",73242,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(66,67]",57888,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(67,68]",50329,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(68,69]",37595,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(69,70]",36235,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(70,71]",21956,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(71,72]",20927,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(72,73]",14984,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(73,74]",12966,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(74,75]",12389,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(75,76]",5231,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(76,77]",6113,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(77,78]",4828,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(78,79]",3891,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(79,80]",3227,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(80,81]",1720,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(81,82]",1837,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(82,83]",1363,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(83,84]",1091,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(84,85]",909,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(85,86]",707,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(86,87]",711,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(87,88]",580,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(88,89]",520,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(89,90]",541,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(90,91]",527,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(91,92]",456,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(92,93]",341,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(93,94]",427,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
"(94,95]",409,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
