gc_bin,counts_gc,Study
"(5,6]",2,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(6,7]",5,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(7,8]",10,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(9,10]",26,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(10,11]",41,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(11,12]",84,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(13,14]",171,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(14,15]",296,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(15,16]",748,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(16,17]",2,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(17,18]",1355,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(18,19]",2488,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(19,20]",4216,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(20,21]",4,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(21,22]",7276,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(22,23]",10644,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(23,24]",13794,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(24,25]",18420,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(25,26]",13,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(26,27]",23507,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(27,28]",29360,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(28,29]",35575,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(29,30]",40,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(30,31]",43593,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(31,32]",54307,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(32,33]",68448,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(33,34]",78,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(34,35]",86572,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(35,36]",108075,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(36,37]",135320,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(37,38]",188,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(38,39]",168341,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(39,40]",207810,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(40,41]",254410,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(41,42]",388,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(42,43]",309406,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(43,44]",374692,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(44,45]",447594,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(45,46]",784,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
