gc_bin,counts_gc,Study
"[0,1]",31,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(1,2]",43,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(2,3]",71,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(3,4]",47,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(4,5]",66,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(5,6]",143,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(6,7]",142,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(7,8]",181,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(8,9]",208,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(9,10]",395,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(10,11]",365,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(11,12]",545,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(12,13]",693,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(13,14]",1105,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(14,15]",1532,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(15,16]",2284,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(16,17]",2946,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(17,18]",4282,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(18,19]",5853,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(19,20]",9676,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(20,21]",8543,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(21,22]",14177,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(22,23]",16667,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(23,24]",20965,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(24,25]",28419,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(25,26]",22446,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(26,27]",32296,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(27,28]",39434,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(28,29]",42070,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(29,30]",53731,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(30,31]",54573,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(31,32]",70662,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(32,33]",77538,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(33,34]",90184,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(34,35]",114120,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(35,36]",130259,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(36,37]",149293,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(37,38]",164860,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(38,39]",193286,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(39,40]",262863,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(40,41]",200719,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(41,42]",268502,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(42,43]",291129,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(43,44]",344128,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(44,45]",345811,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(45,46]",353328,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(46,47]",372813,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(47,48]",415077,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(48,49]",410816,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(49,50]",568579,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(50,51]",195743,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(51,52]",436522,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(52,53]",379365,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(53,54]",374630,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(54,55]",356574,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(55,56]",317214,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(56,57]",297355,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(57,58]",273805,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(58,59]",231095,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(59,60]",250197,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(60,61]",144187,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(61,62]",164525,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(62,63]",123948,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(63,64]",123948,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(64,65]",96688,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(65,66]",75051,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(66,67]",59491,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(67,68]",51366,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(68,69]",38778,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
"(69,70]",37294,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
