gc_bin,counts_gc,Study
"[0,1]",89,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(1,2]",85,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(2,3]",114,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(3,4]",87,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(4,5]",102,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(5,6]",185,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(6,7]",230,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(7,8]",239,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(8,9]",280,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(9,10]",510,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(10,11]",440,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(11,12]",666,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(12,13]",861,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(13,14]",1306,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(14,15]",1724,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(15,16]",2518,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(16,17]",3247,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(17,18]",4608,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(18,19]",6271,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(19,20]",10217,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(20,21]",8761,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(21,22]",14769,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(22,23]",17253,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(23,24]",21830,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(24,25]",29030,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(25,26]",23348,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(26,27]",33334,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(27,28]",40813,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(28,29]",43498,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(29,30]",55616,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(30,31]",56259,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(31,32]",72942,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(32,33]",80360,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(33,34]",93047,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(34,35]",117797,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(35,36]",134898,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(36,37]",153176,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(37,38]",169114,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(38,39]",198341,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(39,40]",269550,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(40,41]",206416,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(41,42]",272957,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(42,43]",298083,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(43,44]",351660,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(44,45]",353472,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(45,46]",357218,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(46,47]",381039,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(47,48]",423144,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(48,49]",420381,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(49,50]",581737,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(50,51]",198600,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(51,52]",446551,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(52,53]",384818,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(53,54]",379907,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(54,55]",357177,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(55,56]",320772,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(56,57]",298676,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(57,58]",274776,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(58,59]",229043,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(59,60]",249139,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(60,61]",143673,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(61,62]",162764,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(62,63]",122208,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(63,64]",122156,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(64,65]",95375,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(65,66]",73685,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(66,67]",58281,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(67,68]",50647,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(68,69]",37848,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(69,70]",36516,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(70,71]",22118,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(71,72]",21077,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(72,73]",15077,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(73,74]",13052,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(74,75]",12490,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(75,76]",5259,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(76,77]",6179,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(77,78]",4895,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(78,79]",3926,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(79,80]",3264,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(80,81]",1738,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(81,82]",1861,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(82,83]",1378,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(83,84]",1121,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(84,85]",925,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(85,86]",721,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(86,87]",737,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(87,88]",623,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(88,89]",559,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(89,90]",587,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(90,91]",609,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(91,92]",577,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(92,93]",498,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(93,94]",762,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(94,95]",823,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(95,96]",825,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(96,97]",826,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(97,98]",1187,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(98,99]",1475,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"(99,100]",4802,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
"[0,1]",292,BAN001.A0102.SG1.4_10M.remove30bp_gc_rl.tsv.gz
"(1,2]",40,BAN001.A0102.SG1.4_10M.remove30bp_gc_rl.tsv.gz
"(2,3]",423,BAN001.A0102.SG1.4_10M.remove30bp_gc_rl.tsv.gz
"(3,4]",447,BAN001.A0102.SG1.4_10M.remove30bp_gc_rl.tsv.gz
"(4,5]",437,BAN001.A0102.SG1.4_10M.remove30bp_gc_rl.tsv.gz
"(5,6]",982,BAN001.A0102.SG1.4_10M.remove30bp_gc_rl.tsv.gz
"(6,7]",1653,BAN001.A0102.SG1.4_10M.remove30bp_gc_rl.tsv.gz
"(7,8]",1568,BAN001.A0102.SG1.4_10M.remove30bp_gc_rl.tsv.gz
"(8,9]",2669,BAN001.A0102.SG1.4_10M.remove30bp_gc_rl.tsv.gz
"(9,10]",5229,BAN001.A0102.SG1.4_10M.remove30bp_gc_rl.tsv.gz
"(10,11]",3438,BAN001.A0102.SG1.4_10M.remove30bp_gc_rl.tsv.gz
"(11,12]",6156,BAN001.A0102.SG1.4_10M.remove30bp_gc_rl.tsv.gz
"(12,13]",8526,BAN001.A0102.SG1.4_10M.remove30bp_gc_rl.tsv.gz
"(13,14]",10651,BAN001.A0102.SG1.4_10M.remove30bp_gc_rl.tsv.gz
