Length,counts_length,Study
30,128906,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
31,125078,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
32,126868,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
33,135296,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
34,146602,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
35,158752,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
36,174101,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
37,199384,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
38,217714,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
39,210391,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
40,183834,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
41,163417,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
42,151402,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
43,149603,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
44,154024,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
45,160981,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
46,166195,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
47,181370,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
48,202840,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
49,208055,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
50,184398,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
51,158784,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
52,142081,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
53,133785,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
54,133596,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
55,136336,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
56,142272,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
57,150999,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
58,162246,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
59,163611,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
60,149598,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
61,131184,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
62,116433,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
63,109272,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
64,104618,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
65,104009,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
66,103983,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
67,106977,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
68,116564,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
69,121865,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
70,115710,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
71,106599,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
72,106943,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
73,118849,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
74,117412,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
75,213658,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
76,384787,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
77,78507,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
78,83400,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
79,84822,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
80,78892,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
81,70002,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
82,64052,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
83,58920,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
84,57132,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
85,55045,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
86,54507,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
87,54106,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
88,55083,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
89,57350,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
90,56261,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
91,51092,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
92,46932,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
93,43620,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
94,41749,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
95,41031,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
96,40448,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
97,40464,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
98,41244,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
99,40675,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
100,39809,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
101,37287,BAN001.A0101.SG1.1.10M_cutadapt_gc_rl.tsv.gz
