#SampleID	BarcodeSequence	LinkerPrimerSequence	Study	SourceSink	Env
BAN001.A0101.SG1.1_10M_under50bp			thisStudy	sink	calculus
BAN001.A0102.SG1.4_10M_under50bp			thisStudy	sink	calculus
CDM019.A0101.SG1.1_10M_under50bp			thisStudy	sink	calculus
CDM019.A0102.SG1.4_10M_under50bp			thisStudy	sink	calculus
CDM020.A0101.SG1.1_10M_under50bp			thisStudy	sink	calculus
CDM020.A0102.SG1.4_10M_under50bp			thisStudy	sink	calculus
ERR1883418			sloan2017	source	environment
ERR1883419			sloan2017	source	environment
ERR1883420			sloan2017	source	environment
ERR1883421			sloan2017	source	environment
ERR1883422			sloan2017	source	environment
ERR1883423			sloan2017	source	environment
ERR1883424			sloan2017	source	environment
ERR1883429			sloan2017	source	environment
ERR1883435			sloan2017	source	environment
ERR1883437			sloan2017	source	environment
FUM001.A0101.SG1.1_10M_under50bp			thisStudy	sink	calculus
FUM001.A0102.SG1.4_10M_under50bp			thisStudy	sink	calculus
FUM002.A0101.SG1.1_10M_under50bp			thisStudy	sink	calculus
FUM002.A0102.SG1.5_10M_under50bp			thisStudy	sink	calculus
FUM003.A0101.SG1.1_10M_under50bp			thisStudy	sink	calculus
FUM003.A0102.SG1.4_10M_under50bp			thisStudy	sink	calculus
GDN001.A0101.SG1.1_10M_under50bp			thisStudy	sink	calculus
GDN001.A0102.SG1.3_10M_under50bp			thisStudy	sink	calculus
GOY005.A0101.SG1.2_10M_under50bp			thisStudy	sink	calculus
GOY005.A0103.SG1.4_10M_under50bp			thisStudy	sink	calculus
GOY006.A0101.SG1.2_10M_under50bp			thisStudy	sink	calculus
GOY006.A0102.SG1.5_10M_under50bp			thisStudy	sink	calculus
GUE001.A0101.SG1.1_10M_under50bp			thisStudy	sink	calculus
GUE001.A0102.SG1.4_10M_under50bp			thisStudy	sink	calculus
JAE006.A0101			fellowsyates2021	source	modern_calc
JAE007.A0101			fellowsyates2021	source	modern_calc
JAE008.A0101			fellowsyates2021	source	modern_calc
JAE009.A0101			fellowsyates2021	source	modern_calc
JAE010.A0101			fellowsyates2021	source	modern_calc
JAE012.A0101			fellowsyates2021	source	modern_calc
JAE013.A0101			fellowsyates2021	source	modern_calc
JAE014.A0101			fellowsyates2021	source	modern_calc
JAE015.A0101			fellowsyates2021	source	modern_calc
JAE016.A0101			fellowsyates2021	source	modern_calc
PES001.B0101.SG1.3_10M_under50bp			thisStudy	sink	calculus
PES001.B0102.SG1.5_10M_under50bp			thisStudy	sink	calculus
SPM002.A0101.SG1.1_10M_under50bp			thisStudy	sink	calculus
SPM002.A0103.SG1.4_10M_under50bp			thisStudy	sink	calculus
SRR1631060			oh2016	source	skin
SRR1631061			oh2016	source	skin
SRR1631063			oh2016	source	skin
SRR1631064			oh2016	source	skin
SRR1633008			oh2016	source	skin
SRR1761664			obregontito2015	source	gut
SRR1761665			obregontito2015	source	gut
SRR1761666			obregontito2015	source	gut
SRR1761667			obregontito2015	source	gut
SRR1761668			obregontito2015	source	gut
SRR1761669			obregontito2015	source	gut
SRR1761670			obregontito2015	source	gut
SRR1761671			obregontito2015	source	gut
SRR1761672			obregontito2015	source	gut
SRR1761673			obregontito2015	source	gut
SRR3184100			oh2016	source	skin
SRR3184876			oh2016	source	skin
SRR3189411			oh2016	source	skin
SRR3189416			oh2016	source	skin
SRR3189418			oh2016	source	skin
SRS013950			hmp2012	source	plaque
SRS014107			hmp2012	source	plaque
SRS014477			hmp2012	source	plaque
SRS014691			hmp2012	source	plaque
SRS015064			hmp2012	source	plaque
SRS019029			hmp2012	source	plaque
SRS019129			hmp2012	source	plaque
SRS051244			hmp2013	source	plaque
SRS051378			hmp2014	source	plaque
SRS051930			hmp2015	source	plaque
SRS051941			hmp2016	source	plaque
SRS052604			hmp2017	source	plaque
SRS052876			hmp2018	source	plaque
SRS053584			hmp2019	source	plaque
SRS053630			hmp2020	source	plaque
SRS053917			hmp2021	source	plaque
SRS054653			hmp2022	source	plaque
SRS063215			hmp2012	source	plaque
VLC001.A0101			fellowsyates2021	source	modern_calc
VLC002.A0101			fellowsyates2021	source	modern_calc
VLC003.A0101			fellowsyates2021	source	modern_calc
VLC004.A0101			fellowsyates2021	source	modern_calc
VLC005.A0101			fellowsyates2021	source	modern_calc
VLC008.A0101			fellowsyates2021	source	modern_calc
VLC009.A0101			fellowsyates2021	source	modern_calc
VLC010.A0101			fellowsyates2021	source	modern_calc
VLD001.A0101.SG1.1_10M_under50bp			thisStudy	sink	calculus
VLD001.A0102.SG1.2_10M_under50bp			thisStudy	sink	calculus
ZAF001.A0101.SG1.1_10M_under50bp			thisStudy	sink	calculus
ZAF001.A0103.SG1.4_10M_under50bp			thisStudy	sink	calculus
