Species	BAN001.A0101.SG1.1_10M	BAN001.A0102.SG1.4_10M	CDM019.A0101.SG1.1_10M	CDM019.A0102.SG1.4_10M	CDM020.A0101.SG1.1_10M	CDM020.A0102.SG1.4_10M	FUM001.A0101.SG1.1_10M	FUM001.A0102.SG1.4_10M	FUM002.A0101.SG1.1_10M	FUM002.A0102.SG1.5_10M	FUM003.A0101.SG1.1_10M	FUM003.A0102.SG1.4_10M	GDN001.A0101.SG1.1_10M	GDN001.A0102.SG1.3_10M	GOY005.A0101.SG1.2_10M	GOY005.A0103.SG1.4_10M	GOY006.A0101.SG1.2_10M	GOY006.A0102.SG1.5_10M	GUE001.A0101.SG1.1_10M	GUE001.A0102.SG1.4_10M	PES001.B0101.SG1.3_10M	PES001.B0102.SG1.5_10M	SPM002.A0101.SG1.1_10M	SPM002.A0103.SG1.4_10M	VLD001.A0101.SG1.1_10M	VLD001.A0102.SG1.2_10M	ZAF001.A0101.SG1.1_10M	ZAF001.A0103.SG1.4_10M	BAN001.A0101.SG1.1_10M_over50bp	BAN001.A0101.SG1.1_10M_under50bp	BAN001.A0102.SG1.4_10M_over50bp	BAN001.A0102.SG1.4_10M_under50bp	CDM019.A0101.SG1.1_10M_over50bp	CDM019.A0101.SG1.1_10M_under50bp	CDM019.A0102.SG1.4_10M_over50bp	CDM019.A0102.SG1.4_10M_under50bp	CDM020.A0101.SG1.1_10M_over50bp	CDM020.A0101.SG1.1_10M_under50bp	CDM020.A0102.SG1.4_10M_over50bp	CDM020.A0102.SG1.4_10M_under50bp	FUM001.A0101.SG1.1_10M_over50bp	FUM001.A0101.SG1.1_10M_under50bp	FUM001.A0102.SG1.4_10M_over50bp	FUM001.A0102.SG1.4_10M_under50bp	FUM002.A0101.SG1.1_10M_over50bp	FUM002.A0101.SG1.1_10M_under50bp	FUM002.A0102.SG1.5_10M_over50bp	FUM002.A0102.SG1.5_10M_under50bp	FUM003.A0101.SG1.1_10M_over50bp	FUM003.A0101.SG1.1_10M_under50bp	FUM003.A0102.SG1.4_10M_over50bp	FUM003.A0102.SG1.4_10M_under50bp	GDN001.A0101.SG1.1_10M_over50bp	GDN001.A0101.SG1.1_10M_under50bp	GDN001.A0102.SG1.3_10M_over50bp	GDN001.A0102.SG1.3_10M_under50bp	GOY005.A0101.SG1.2_10M_over50bp	GOY005.A0101.SG1.2_10M_under50bp	GOY005.A0103.SG1.4_10M_over50bp	GOY005.A0103.SG1.4_10M_under50bp	GOY006.A0101.SG1.2_10M_over50bp	GOY006.A0101.SG1.2_10M_under50bp	GOY006.A0102.SG1.5_10M_over50bp	GOY006.A0102.SG1.5_10M_under50bp	GUE001.A0101.SG1.1_10M_over50bp	GUE001.A0101.SG1.1_10M_under50bp	GUE001.A0102.SG1.4_10M_over50bp	GUE001.A0102.SG1.4_10M_under50bp	PES001.B0101.SG1.3_10M_over50bp	PES001.B0101.SG1.3_10M_under50bp	PES001.B0102.SG1.5_10M_over50bp	PES001.B0102.SG1.5_10M_under50bp	SPM002.A0101.SG1.1_10M_over50bp	SPM002.A0101.SG1.1_10M_under50bp	SPM002.A0103.SG1.4_10M_over50bp	SPM002.A0103.SG1.4_10M_under50bp	VLD001.A0101.SG1.1_10M_over50bp	VLD001.A0101.SG1.1_10M_under50bp	VLD001.A0102.SG1.2_10M_over50bp	VLD001.A0102.SG1.2_10M_under50bp	ZAF001.A0101.SG1.1_10M_over50bp	ZAF001.A0101.SG1.1_10M_under50bp	ZAF001.A0103.SG1.4_10M_over50bp	ZAF001.A0103.SG1.4_10M_under50bp
34-128 sp014894735	834	317	0	0	0	0	0	0	0	0	0	0	0	0	20	8	0	3	6	1	0	0	2	0	0	1	0	1	726	108	150	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	5	3	0	0	1	2	6	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0
40CM-3-62-11 sp001914955	0	0	11	3	0	1	106	21	26	11	545	135	1373	105	5	1	1	0	2498	91	10	7	0	0	5	0	48	4	0	0	0	0	9	2	3	0	0	0	0	1	96	10	12	9	23	3	8	3	471	74	86	49	1290	83	78	27	3	2	1	0	1	0	0	0	2217	281	66	25	9	1	7	0	0	0	0	0	2	3	0	0	27	21	2	2
AA32 sp003223555	1	1	1	4	1	4	231	17	6	8	59	15	691	32	0	1	7	0	282	7	17	6	0	0	4	1	41	3	1	0	1	0	1	0	0	4	1	0	2	2	214	17	13	4	2	4	2	6	53	6	10	5	657	34	23	9	0	0	1	0	6	1	0	0	266	16	5	2	14	3	4	2	0	0	0	0	3	1	1	0	28	13	2	1
AR31 sp003220535	0	0	6	2	3	3	344	33	13	7	259	59	1149	47	1	1	7	2	576	10	18	9	0	0	4	0	29	6	0	0	0	0	5	1	2	0	3	0	3	0	284	60	23	10	10	3	5	2	217	42	40	19	1086	63	36	11	0	1	1	0	5	2	1	1	533	43	8	2	18	0	7	2	0	0	0	0	0	4	0	0	20	9	4	2
AR31 sp003221615	0	0	6	1	4	3	187	20	16	2	123	28	421	20	0	1	8	2	409	12	20	13	2	0	0	2	32	3	0	0	0	0	6	0	1	0	2	2	1	2	143	44	7	13	12	4	2	0	106	17	20	8	405	16	13	7	0	0	1	0	3	5	0	2	377	32	8	4	15	5	6	7	2	0	0	0	0	0	2	0	10	22	1	2
AR31 sp003221655	0	1	3	1	2	0	520	45	127	28	796	193	922	42	2	0	8	1	395	12	12	5	0	0	1	0	23	4	0	0	1	0	2	1	0	1	1	1	0	0	367	153	26	19	104	23	20	8	688	108	124	69	855	67	31	11	2	0	0	0	6	2	1	0	338	57	10	2	9	3	4	1	0	0	0	0	0	1	0	0	15	8	3	1
Abiotrophia defectiva	4	3	133	165	5259	5298	308	52	138	149	131	51	0	0	2118	1146	1330	911	0	0	4045	2837	17	3	46	17	202	38	4	0	1	2	117	16	129	36	4406	853	4026	1272	249	59	38	14	78	60	75	74	71	60	21	30	0	0	0	0	1251	867	493	653	943	387	500	411	0	0	0	0	3557	488	2158	679	15	2	0	3	35	11	9	8	181	21	23	15
Abiotrophia sp001815865	2	1	293	283	13819	14723	376	58	196	170	210	102	5	0	2858	1495	1492	1001	1	0	4844	3259	8	1	39	18	126	16	2	0	1	0	254	39	213	70	11330	2489	11149	3574	305	71	35	23	95	101	80	90	117	93	41	61	0	5	0	0	1676	1182	662	833	1071	421	558	443	1	0	0	0	4278	566	2500	759	5	3	0	1	28	11	10	8	107	19	8	8
Acidovorax temperans	19	6	4	0	21	11	97	5	6	1	665	280	29	4	30	8	634	168	5	1	12	9	121	16	2975	615	2416	561	16	3	1	5	2	2	0	0	12	9	8	3	88	9	2	3	3	3	0	1	588	77	189	91	29	0	2	2	17	13	3	5	537	97	114	54	5	0	1	0	11	1	2	7	66	55	9	7	2126	849	254	361	1041	1375	128	433
Acinetobacter albensis	802	749	0	0	0	0	6	1	4	1	1	1	0	1	13	4	105	137	0	0	154	169	7	4	125	46	26	7	670	132	423	326	0	0	0	0	0	0	0	0	5	1	1	0	4	0	1	0	1	0	1	0	0	0	0	1	12	1	3	1	89	16	107	30	0	0	0	0	149	5	147	22	7	0	4	0	105	20	25	21	20	6	3	4
