Species	BAN001.A0101.SG1.1_10M	BAN001.A0102.SG1.4_10M	CDM019.A0101.SG1.1_10M	CDM019.A0102.SG1.4_10M	CDM020.A0101.SG1.1_10M	CDM020.A0102.SG1.4_10M	FUM001.A0101.SG1.1_10M	FUM001.A0102.SG1.4_10M	FUM002.A0101.SG1.1_10M	FUM002.A0102.SG1.5_10M	FUM003.A0101.SG1.1_10M	FUM003.A0102.SG1.4_10M	GDN001.A0101.SG1.1_10M	GDN001.A0102.SG1.3_10M	GOY005.A0101.SG1.2_10M	GOY005.A0103.SG1.4_10M	GOY006.A0101.SG1.2_10M	GOY006.A0102.SG1.5_10M	GUE001.A0101.SG1.1_10M	GUE001.A0102.SG1.4_10M	PES001.B0101.SG1.3_10M	PES001.B0102.SG1.5_10M	SPM002.A0101.SG1.1_10M	SPM002.A0103.SG1.4_10M	VLD001.A0101.SG1.1_10M	VLD001.A0102.SG1.2_10M	ZAF001.A0101.SG1.1_10M	ZAF001.A0103.SG1.4_10M	BAN001.A0101.SG1.1_10M_over50bp	BAN001.A0101.SG1.1_10M_under50bp	BAN001.A0102.SG1.4_10M_over50bp	BAN001.A0102.SG1.4_10M_under50bp	CDM019.A0101.SG1.1_10M_over50bp	CDM019.A0101.SG1.1_10M_under50bp	CDM019.A0102.SG1.4_10M_over50bp	CDM019.A0102.SG1.4_10M_under50bp	CDM020.A0101.SG1.1_10M_over50bp	CDM020.A0101.SG1.1_10M_under50bp	CDM020.A0102.SG1.4_10M_over50bp	CDM020.A0102.SG1.4_10M_under50bp	FUM001.A0101.SG1.1_10M_over50bp	FUM001.A0101.SG1.1_10M_under50bp	FUM001.A0102.SG1.4_10M_over50bp	FUM001.A0102.SG1.4_10M_under50bp	FUM002.A0101.SG1.1_10M_over50bp	FUM002.A0101.SG1.1_10M_under50bp	FUM002.A0102.SG1.5_10M_over50bp	FUM002.A0102.SG1.5_10M_under50bp	FUM003.A0101.SG1.1_10M_over50bp	FUM003.A0101.SG1.1_10M_under50bp	FUM003.A0102.SG1.4_10M_over50bp	FUM003.A0102.SG1.4_10M_under50bp	GDN001.A0101.SG1.1_10M_over50bp	GDN001.A0101.SG1.1_10M_under50bp	GDN001.A0102.SG1.3_10M_over50bp	GDN001.A0102.SG1.3_10M_under50bp	GOY005.A0101.SG1.2_10M_over50bp	GOY005.A0101.SG1.2_10M_under50bp	GOY005.A0103.SG1.4_10M_over50bp	GOY005.A0103.SG1.4_10M_under50bp	GOY006.A0101.SG1.2_10M_over50bp	GOY006.A0101.SG1.2_10M_under50bp	GOY006.A0102.SG1.5_10M_over50bp	GOY006.A0102.SG1.5_10M_under50bp	GUE001.A0101.SG1.1_10M_over50bp	GUE001.A0101.SG1.1_10M_under50bp	GUE001.A0102.SG1.4_10M_over50bp	GUE001.A0102.SG1.4_10M_under50bp	PES001.B0101.SG1.3_10M_over50bp	PES001.B0101.SG1.3_10M_under50bp	PES001.B0102.SG1.5_10M_over50bp	PES001.B0102.SG1.5_10M_under50bp	SPM002.A0101.SG1.1_10M_over50bp	SPM002.A0101.SG1.1_10M_under50bp	SPM002.A0103.SG1.4_10M_over50bp	SPM002.A0103.SG1.4_10M_under50bp	VLD001.A0101.SG1.1_10M_over50bp	VLD001.A0101.SG1.1_10M_under50bp	VLD001.A0102.SG1.2_10M_over50bp	VLD001.A0102.SG1.2_10M_under50bp	ZAF001.A0101.SG1.1_10M_over50bp	ZAF001.A0101.SG1.1_10M_under50bp	ZAF001.A0103.SG1.4_10M_over50bp	ZAF001.A0103.SG1.4_10M_under50bp
34-128 sp014894735	834	317	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	726	108	150	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40CM-3-62-11 sp001914955	0	0	11	0	0	0	106	21	26	11	545	135	1373	105	0	0	0	0	2498	91	10	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	96	10	12	0	23	0	0	0	471	74	86	49	1290	83	78	27	0	0	0	0	0	0	0	0	2217	281	66	25	0	0	0	0	0	0	0	0	0	0	0	0	27	21	0	0
AA32 sp003223555	0	0	0	0	0	0	231	17	0	0	59	15	691	32	0	0	0	0	282	0	17	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	214	17	13	0	0	0	0	0	53	0	10	0	657	34	23	0	0	0	0	0	0	0	0	0	266	16	0	0	14	0	0	0	0	0	0	0	0	0	0	0	28	13	0	0
AR31 sp003220535	0	0	0	0	0	0	344	33	13	0	259	59	1149	47	0	0	0	0	576	10	18	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	284	60	23	10	10	0	0	0	217	42	40	19	1086	63	36	11	0	0	0	0	0	0	0	0	533	43	0	0	18	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
AR31 sp003221615	0	0	0	0	0	0	187	20	16	0	123	28	421	20	0	0	0	0	409	12	20	13	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	143	44	0	13	12	0	0	0	106	17	20	0	405	16	13	0	0	0	0	0	0	0	0	0	377	32	0	0	15	0	0	0	0	0	0	0	0	0	0	0	10	22	0	0
AR31 sp003221655	0	0	0	0	0	0	520	45	127	28	796	193	922	42	0	0	0	0	395	12	12	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	367	153	26	19	104	23	20	0	688	108	124	69	855	67	31	11	0	0	0	0	0	0	0	0	338	57	10	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
Abiotrophia defectiva	0	0	133	165	5259	5298	308	52	138	149	131	51	0	0	2118	1146	1330	911	0	0	4045	2837	17	0	46	17	202	38	0	0	0	0	117	16	129	36	4406	853	4026	1272	249	59	38	14	78	60	75	74	71	60	21	30	0	0	0	0	1251	867	493	653	943	387	500	411	0	0	0	0	3557	488	2158	679	15	0	0	0	35	11	0	0	181	21	23	15
Abiotrophia sp001815865	0	0	293	283	13819	14723	376	58	196	170	210	102	0	0	2858	1495	1492	1001	0	0	4844	3259	0	0	39	18	126	16	0	0	0	0	254	39	213	70	11330	2489	11149	3574	305	71	35	23	95	101	80	90	117	93	41	61	0	0	0	0	1676	1182	662	833	1071	421	558	443	0	0	0	0	4278	566	2500	759	0	0	0	0	28	11	10	0	107	19	0	0
Acidovorax temperans	19	0	0	0	21	11	97	0	0	0	665	280	29	0	30	0	634	168	0	0	12	0	121	16	2975	615	2416	561	16	0	0	0	0	0	0	0	12	0	0	0	88	0	0	0	0	0	0	0	588	77	189	91	29	0	0	0	17	13	0	0	537	97	114	54	0	0	0	0	11	0	0	0	66	55	0	0	2126	849	254	361	1041	1375	128	433
Acinetobacter albensis	802	749	0	0	0	0	0	0	0	0	0	0	0	0	13	0	105	137	0	0	154	169	0	0	125	46	26	0	670	132	423	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	89	16	107	30	0	0	0	0	149	0	147	22	0	0	0	0	105	20	25	21	20	0	0	0
Acinetobacter fasciculus	60	35	0	0	0	0	180	21	0	10	100	33	0	0	264	50	44	25	23	0	971	864	107	17	95	40	144	39	46	14	11	24	0	0	0	0	0	0	0	0	173	0	15	0	0	0	0	0	90	10	23	10	0	0	0	0	244	20	37	13	37	0	17	0	23	0	0	0	939	32	764	100	97	10	10	0	75	20	24	16	113	31	21	18
Acinetobacter guillouiae	0	0	0	0	0	0	28	14	0	0	0	0	0	0	17525	4675	24	17	0	0	33	43	0	0	49	24	22	11	0	0	0	0	0	0	0	0	0	0	0	0	23	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	16895	630	4058	617	21	0	12	0	0	0	0	0	32	0	39	0	0	0	0	0	44	0	15	0	20	0	0	0
Acinetobacter idrijaensis	76	37	0	0	0	0	73	0	0	0	28	0	0	0	181	28	30	24	0	0	581	613	144	25	198	67	62	23	61	15	18	19	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	167	14	23	0	27	0	20	0	0	0	0	0	571	10	560	53	136	0	14	11	146	52	30	37	51	11	18	0
Acinetobacter johnsonii	250	220	0	0	0	0	680	133	39	35	222	89	66	17	315	55	833	487	101	0	62749	44460	1696	211	52994	14177	2213	769	191	59	111	109	0	0	0	0	0	0	0	0	594	86	105	28	37	0	28	0	198	24	73	16	61	0	10	0	279	36	40	15	764	69	374	113	101	0	0	0	61624	1125	39988	4472	1574	122	146	65	42197	10797	7732	6445	1591	622	390	379
Acinetobacter junii	0	0	0	0	0	0	51	12	0	0	38	22	22	0	29	0	8276	5326	0	0	101	103	34	11	47	10	71	35	0	0	0	0	0	0	0	0	0	0	0	0	39	12	0	0	0	0	0	0	37	0	18	0	15	0	0	0	26	0	0	0	7739	537	4285	1041	0	0	0	0	98	0	94	0	28	0	0	0	43	0	0	0	52	19	18	17
Acinetobacter kyonggiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	29	0	0	773	917	17	0	54	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	23	0	0	0	0	0	749	24	839	78	15	0	0	0	40	14	11	0	0	12	0	0
Acinetobacter lwoffii	106	99	0	0	0	0	75	24	0	0	40	19	0	0	354	72	56	34	12	0	1603	1697	159	22	201	82	113	42	84	22	47	52	0	0	0	0	0	0	0	0	67	0	19	0	0	0	0	0	33	0	15	0	0	0	0	0	332	22	59	13	50	0	26	0	12	0	0	0	1564	39	1542	155	124	35	12	10	165	36	47	35	89	24	24	18
Acinetobacter parvus	0	0	0	0	0	0	110	15	0	0	32	22	13	0	35	11	2468	1297	0	0	200	223	262	42	76	35	57	35	0	0	0	0	0	0	0	0	0	0	0	0	105	0	12	0	0	0	0	0	29	0	20	0	13	0	0	0	33	0	0	0	2308	160	1043	254	0	0	0	0	193	0	205	18	257	0	28	14	63	13	22	13	41	16	20	15
Acinetobacter pseudolwoffii	19	12	0	0	0	0	14	0	0	0	10	0	0	0	56	13	79	279	0	0	283	245	48	0	1467	439	59	33	14	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	11	0	61	18	246	33	0	0	0	0	274	0	220	25	40	0	0	0	1145	322	236	203	42	17	18	15
Acinetobacter schindleri	16	12	0	0	0	0	119	12	0	0	27	0	0	0	185	29	34	27	0	0	266	200	49	13	63	27	139	52	14	0	0	0	0	0	0	0	0	0	0	0	101	18	0	0	0	0	0	0	26	0	0	0	0	0	0	0	156	29	18	11	31	0	23	0	0	0	0	0	258	0	179	21	46	0	0	0	49	14	14	13	99	40	21	31
Acinetobacter sp000214135	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	13	0	427	361	14	0	244	87	32	0	0	0	0	0	0	0	0	0	0	0	0	0	20	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	415	12	331	30	14	0	0	0	192	52	43	44	23	0	0	0
Acinetobacter sp000369525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	190	10	0	682	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	171	19	10	0	0	0	549	133	124	103	0	0	0	0
