gc_bin,counts_gc,Study
"[0,1]",1,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(4,5]",2,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(5,6]",2,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(6,7]",3,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(7,8]",1,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(8,9]",1,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(9,10]",2,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(11,12]",5,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(12,13]",6,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(13,14]",8,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(14,15]",13,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(15,16]",24,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(16,17]",56,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(17,18]",66,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(18,19]",95,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(19,20]",227,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(20,21]",203,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(21,22]",367,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(22,23]",412,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(23,24]",602,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(24,25]",830,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(25,26]",668,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(26,27]",1028,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(27,28]",1412,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(28,29]",1544,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(29,30]",1810,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(30,31]",1985,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(31,32]",2280,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(32,33]",2408,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
