Species	BAN001.A0101.SG1.1_5M_over50bp	BAN001.A0102.SG1.4_5M_over50bp	CDM019.A0101.SG1.1_5M_over50bp	CDM019.A0102.SG1.4_5M_over50bp	CDM020.A0101.SG1.1_5M_over50bp	CDM020.A0102.SG1.4_5M_over50bp	FUM002.A0101.SG1.1_5M_over50bp	FUM002.A0102.SG1.5_5M_over50bp	FUM003.A0101.SG1.1_5M_over50bp	FUM003.A0102.SG1.4_5M_over50bp	GDN001.A0101.SG1.1_5M_over50bp	GDN001.A0102.SG1.3_5M_over50bp	GOY005.A0101.SG1.2_5M_over50bp	GOY005.A0103.SG1.4_5M_over50bp	GOY006.A0101.SG1.2_5M_over50bp	GOY006.A0102.SG1.5_5M_over50bp	PES001.B0101.SG1.3_5M_over50bp	PES001.B0102.SG1.5_5M_over50bp	VLD001.A0101.SG1.1_5M_over50bp	VLD001.A0102.SG1.2_5M_over50bp	BAN001.A0101.SG1.1_5M_under50bp	BAN001.A0102.SG1.4_5M_under50bp	CDM019.A0101.SG1.1_5M_under50bp	CDM019.A0102.SG1.4_5M_under50bp	CDM020.A0101.SG1.1_5M_under50bp	CDM020.A0102.SG1.4_5M_under50bp	FUM002.A0101.SG1.1_5M_under50bp	FUM002.A0102.SG1.5_5M_under50bp	FUM003.A0101.SG1.1_5M_under50bp	FUM003.A0102.SG1.4_5M_under50bp	GDN001.A0101.SG1.1_5M_under50bp	GDN001.A0102.SG1.3_5M_under50bp	GOY005.A0101.SG1.2_5M_under50bp	GOY005.A0103.SG1.4_5M_under50bp	GOY006.A0101.SG1.2_5M_under50bp	GOY006.A0102.SG1.5_5M_under50bp	PES001.B0101.SG1.3_5M_under50bp	PES001.B0102.SG1.5_5M_under50bp	VLD001.A0101.SG1.1_5M_under50bp	VLD001.A0102.SG1.2_5M_under50bp
Abiotrophia defectiva	0	0	61	61	2290	2369	50	76	36	28	0	0	696	535	762	493	1622	1602	28	18	0	0	0	15	413	760	24	67	42	49	0	0	495	658	290	445	250	509	0	12
Abiotrophia sp001815865	0	0	125	105	5791	6542	49	79	68	49	0	0	985	745	723	546	1985	1906	18	14	0	0	21	46	1287	2138	53	81	57	57	0	0	677	851	305	485	246	517	0	12
Actinomyces dentalis	0	0	103297	30903	63794	20521	2938	1067	313	82	58376	9573	933	227	6003	1617	33521	11009	29010	7978	0	0	20516	14173	16894	11175	1735	1195	161	151	17911	7983	805	369	3176	1710	4375	4721	12590	8797
Actinomyces denticolens	0	0	85	26	94	37	163	79	42	13	732	136	45	10	125	46	243	104	64	32	0	0	17	19	22	22	89	72	24	16	206	58	49	22	74	39	49	60	62	41
Actinomyces gerencseriae	0	0	5666	1751	4640	1542	1264	533	432	109	5943	1031	1151	236	2617	582	6458	2612	63116	13671	0	0	1150	866	1448	955	629	420	188	148	1485	664	760	324	1119	591	1043	1237	23603	13514
Actinomyces howellii	0	0	209	82	340	137	817	337	52	20	12860	2381	172	37	1546	518	3658	1568	890	306	0	0	43	46	75	59	396	266	32	28	2737	1349	117	57	744	418	506	609	435	335
Actinomyces israelii	0	0	678	244	523	212	371	170	62	29	2640	469	83	23	336	106	926	392	1314	352	0	0	159	129	149	99	233	141	28	24	825	323	101	34	215	133	190	224	702	434
Actinomyces johnsonii	0	0	1167	465	4424	1642	15175	6480	4771	1709	774	143	3347	834	2765	861	9059	3584	2628	882	0	0	250	200	874	762	7277	5078	2739	2214	219	108	2466	1252	1416	837	1336	1498	1291	876
Actinomyces massiliensis	0	0	420	148	330	143	548	230	153	41	1403	253	168	40	335	102	817	362	1982	434	0	0	110	77	106	88	327	215	64	48	332	194	133	61	214	110	145	165	822	522
Actinomyces naeslundii	0	0	1061	403	6332	2395	13510	5408	1997	644	621	122	6884	1485	3234	1014	9540	3567	1312	415	0	0	201	168	1389	1155	6008	4333	958	680	180	74	4557	2059	1705	1017	1305	1421	689	497
Actinomyces oricola	0	0	154	82	191	88	527	259	50	17	5812	1072	93	31	666	207	1644	628	477	131	0	0	32	35	73	49	279	204	31	22	1610	748	81	58	385	255	263	327	246	188
Actinomyces oris	12	0	3395	1218	5239	2105	41547	17454	4671	1627	4861	868	5268	1341	8105	2555	33184	12521	2543	826	0	0	769	588	1190	996	20198	14308	2343	1834	1198	586	3897	1957	4517	2745	4770	5711	1298	847
Actinomyces radicidentis	0	0	104	31	214	82	232	112	29	13	1430	272	89	26	260	88	405	172	143	42	0	0	34	24	71	47	137	90	23	22	420	168	80	34	158	104	91	111	79	65
Actinomyces slackii	0	0	134	38	190	64	470	207	61	17	1708	378	83	23	316	107	652	279	191	55	0	0	40	22	45	33	248	190	36	30	593	219	88	39	184	119	146	146	125	103
Actinomyces sp000195595	0	0	171	56	713	269	7953	3167	1117	388	508	120	1519	391	1834	581	3934	1584	523	148	0	0	36	37	167	130	3860	2684	579	403	153	79	1119	511	1030	605	672	716	252	196
Actinomyces sp000220835	0	0	385	168	321	122	375	189	304	113	1421	282	115	29	285	82	576	238	826	189	0	0	114	71	92	70	195	155	77	73	443	193	89	65	140	94	119	119	372	240
Actinomyces sp001278845	0	0	58966	19269	29917	10292	1941	795	207	85	31414	5342	646	153	3663	1117	19341	6771	19087	5344	0	0	12292	9090	7560	5219	1135	787	129	97	9235	4003	488	232	1849	1045	2538	2720	7928	5655
Actinomyces sp002999235	0	0	574	195	444	179	356	146	76	24	1696	343	92	28	299	88	708	302	501	157	0	0	115	89	137	91	205	130	44	20	475	267	66	31	153	104	118	146	258	152
Actinomyces sp900323545	0	0	222	71	6509	2112	80408	30619	7227	2512	1019	208	11813	2822	22754	6460	44013	15606	897	272	0	0	46	32	1125	887	34613	23559	3393	2500	283	133	8782	4403	11332	6540	5438	5920	423	306
Actinomyces timonensis	0	0	135	45	168	65	514	302	70	29	775	172	82	33	190	74	426	186	171	66	0	0	35	25	45	38	253	232	37	34	268	123	74	46	125	84	92	109	88	62
Actinomyces viscosus	0	0	174	72	438	181	4954	2053	671	260	497	100	849	239	1148	321	2362	961	511	143	0	0	46	34	129	94	2528	1746	382	299	146	75	759	360	651	394	406	436	236	164
Actinomyces weissii	0	0	70	24	126	64	181	67	50	24	892	182	60	16	138	69	326	135	94	26	0	0	14	14	30	34	119	67	27	24	220	139	55	29	93	63	53	80	63	50
Aggregatibacter aphrophilus	0	0	16	21	260	302	41	75	354	329	0	0	4701	3527	452	430	165	227	0	0	0	0	0	0	56	98	59	98	290	517	0	0	3381	4386	310	528	79	209	0	0
Aggregatibacter kilianii	0	0	22	17	721	867	74	104	709	700	0	0	9075	6775	518	473	186	228	0	0	0	0	0	0	226	390	80	138	748	1243	0	0	6269	8318	358	594	93	211	0	0
Aggregatibacter segnis	0	0	24	31	431	489	36	52	85	67	0	0	1199	886	255	194	60	75	0	0	0	0	0	14	148	208	39	80	73	137	0	0	896	1068	139	253	32	56	0	0
Aggregatibacter sp000466335	0	0	0	10	151	140	0	11	37	33	0	0	417	268	60	63	15	27	0	0	0	0	0	10	41	61	0	15	37	41	0	0	328	360	42	69	0	14	0	0
Anaerosphaera mikwangii	0	0	126	279	32	103	65	110	0	0	14	28	11	13	39	56	74	160	15	20	0	0	19	71	0	39	19	63	0	0	0	26	10	17	13	38	0	60	0	11
Arachnia propionica	0	0	34959	12499	44019	17602	2240	1323	381	172	4088	1001	2858	938	5016	1665	29209	11597	370	139	0	0	5593	5103	8888	7581	1521	1367	320	307	1100	752	3215	1869	2909	1887	4774	5273	344	287
Arachnia rubra	0	0	530	219	1227	518	132	89	33	0	110	33	129	70	252	75	1047	444	30	0	0	0	103	91	291	266	91	92	25	11	40	26	150	114	169	94	205	222	10	0
Arachnia sp013333945	0	0	1740	712	10906	4844	2205	1475	582	316	306	91	1599	568	2239	743	9767	4056	109	50	0	0	304	263	2225	2020	1649	1700	472	580	89	80	1665	1019	1274	864	1577	1823	59	57
Arachnia sp905372155	0	0	16875	6027	29340	11524	2837	1630	270	128	1456	349	1824	626	2688	907	14532	5834	1228	430	0	0	3126	2627	6193	5127	2201	1965	217	224	399	262	1901	1173	1694	1038	2637	2858	968	694
Bacteroides heparinolyticus	0	0	672	735	570	641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	374	260	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brooklawnia sp000413315	0	0	4997	2412	16861	8287	19533	8446	14606	5798	177	34	10967	1757	12678	2903	1265	580	986	260	0	0	996	1036	4160	4124	11572	7987	9427	7731	22	15	4064	1870	4211	2417	209	264	369	268
Bulleidia moorei	0	0	312	664	132	265	77	115	0	11	0	0	12	0	16	23	0	0	0	0	0	0	67	179	26	80	43	87	0	0	0	0	0	0	10	23	0	0	0	0
CAJPNN01 sp905372035	0	0	2894	6005	966	1796	31	56	0	0	500	802	43	45	257	260	495	759	17	19	0	0	650	2027	217	545	24	62	0	0	192	642	26	36	121	307	93	343	10	22
CAJPPJ01 sp905372515	0	0	0	37	122	610	0	27	45	118	0	0	15	19	25	70	0	0	0	0	0	0	0	0	27	94	0	22	39	157	0	0	0	28	16	47	0	0	0	0
CAJPQU01 sp905372875	0	0	2666	1906	634	466	0	0	0	0	93	44	18	0	190	83	677	506	53	29	0	0	416	672	130	189	0	0	0	0	19	31	11	0	89	60	161	308	35	36
CAJPQU01 sp905373705	0	0	992	803	388	299	0	0	0	0	42	44	11	0	49	25	97	63	60	21	0	0	165	228	81	88	0	0	0	0	0	49	13	16	29	39	22	52	32	20
CAJPSE01 sp003860125	0	0	15264	7517	4734	2617	368	265	16	0	4827	1866	221	89	726	396	3180	2115	139	83	0	0	2824	3030	941	1065	328	335	0	0	1521	1928	233	154	634	616	1055	1426	122	116
CAJPSE01 sp905373185	0	0	58704	26364	19563	9711	103	58	0	0	1078	486	313	116	740	376	1703	1147	79	45	0	0	10522	9986	4191	3999	115	108	0	0	424	633	302	209	637	543	691	957	76	84
Campylobacter A rectus	0	0	1858	2052	1303	1488	15	19	10	0	12	20	129	81	128	111	46	62	0	12	0	0	523	874	416	627	20	47	0	14	14	43	110	122	108	126	20	37	0	11
Campylobacter A showae	0	0	935	953	3748	3922	93	160	30	42	0	0	672	469	573	505	168	187	14	10	0	0	264	444	1124	1585	133	217	41	61	0	0	666	732	469	617	81	147	14	23
Campylobacter A sp014253065	0	0	294	290	1280	1415	16	30	0	0	0	0	111	76	132	78	23	29	0	0	0	0	80	92	386	539	19	52	0	11	0	0	106	111	78	122	14	22	0	0
Campylobacter A sp905372745	0	0	135	142	675	682	14	23	0	0	0	0	67	62	68	43	20	17	0	0	0	0	51	57	222	306	20	25	0	12	0	0	61	69	44	73	0	12	0	0
Campylobacter B gracilis	0	0	758	700	522	552	11	12	0	0	13	0	192	91	186	114	65	70	57	20	0	0	179	264	164	240	11	17	0	0	0	11	142	137	111	123	36	64	38	38
Campylobacter B sp905373215	0	0	445	468	337	348	0	0	0	0	0	0	134	68	143	82	37	44	16	18	0	0	132	201	109	149	15	0	0	0	0	0	93	85	67	76	20	36	21	26
Campylobacter B sp905373295	0	0	485	426	346	323	0	0	0	0	0	0	158	77	163	96	38	31	37	14	0	0	107	189	108	146	0	10	0	0	0	0	102	105	84	98	19	40	24	31
Capnocytophaga bilenii	0	0	10	26	538	899	0	0	0	0	0	0	42	54	28	49	0	10	0	0	0	0	0	10	174	344	0	0	0	0	0	0	28	66	21	54	0	0	0	0
Capnocytophaga endodontalis	0	0	162	256	963	1725	0	14	0	12	0	0	295	388	170	225	63	112	0	0	0	0	46	123	356	693	0	20	12	16	0	0	290	519	118	269	31	81	0	0
Capnocytophaga gingivalis	0	0	57	96	1341	2082	15	34	31	36	0	0	302	343	214	297	72	107	10	0	0	0	15	33	470	830	19	29	38	64	0	0	182	355	151	337	10	57	0	0
Capnocytophaga granulosa	0	0	159	222	3739	5265	0	0	0	0	0	0	46	72	62	98	16	29	0	0	0	0	40	117	1248	2214	0	0	0	0	0	0	51	91	35	86	0	14	0	0
Capnocytophaga leadbetteri	0	0	69	141	944	1440	16	31	19	27	0	0	258	330	118	141	31	48	0	0	0	0	19	46	281	514	12	39	15	34	0	0	237	435	56	159	14	26	0	0
Capnocytophaga ochracea	0	0	884	1642	1932	3429	30	38	0	13	20	17	329	416	206	299	177	331	21	26	0	0	218	623	670	1370	28	66	0	13	0	21	305	618	163	370	94	277	16	45
Capnocytophaga sp000192225	0	0	53	68	146	292	0	0	0	0	0	0	40	56	23	28	18	31	0	0	0	0	15	27	41	108	0	0	10	0	0	0	25	54	16	43	0	12	0	0
Capnocytophaga sp000466425	0	0	20	34	573	813	0	0	0	0	0	0	43	50	37	62	13	23	0	0	0	0	0	16	199	349	0	0	0	0	0	0	30	65	30	49	0	0	0	0
Capnocytophaga sp002999135	0	0	22	25	174	264	16	35	29	25	0	0	474	603	125	156	28	48	0	0	0	0	0	13	54	116	16	45	27	73	0	0	426	837	88	212	0	25	0	0
Capnocytophaga sp905372595	0	0	0	0	268	419	0	0	0	13	0	0	37	66	21	43	12	15	0	0	0	0	0	0	83	176	0	0	0	0	0	0	43	74	16	44	0	0	0	0
Capnocytophaga sputigena	0	0	107	191	1348	2237	14	35	18	33	0	0	559	742	309	446	116	193	0	0	0	0	31	89	507	900	19	36	20	44	0	0	528	1022	217	553	51	135	0	0
Cardiobacterium hominis	0	0	117	82	3639	2126	0	10	10	0	0	0	114	37	72	40	23	12	10	0	0	0	28	31	976	960	14	15	10	0	0	0	99	83	55	33	0	11	0	0
Cardiobacterium valvarum	0	0	799	464	11437	6896	262	176	122	54	51	13	1606	581	822	384	367	218	44	23	0	0	174	172	2691	2777	191	168	72	86	0	22	1176	721	475	474	99	174	50	53
Catonella massiliensis	0	0	84	203	65	146	0	20	0	0	0	0	0	0	17	13	13	23	14	27	0	0	15	46	15	44	0	23	0	0	0	0	0	10	0	12	0	10	11	13
Catonella morbi	0	0	963	2021	1912	3543	22	48	0	0	15	18	79	102	79	93	29	66	24	19	0	0	250	790	638	1357	12	45	0	0	0	0	50	114	41	98	0	29	0	22
Centipeda infelix	0	0	557	346	414	280	0	0	0	0	0	0	0	0	11	0	0	11	0	0	0	0	93	153	102	108	0	0	0	0	0	0	0	0	11	0	0	0	0	0
Centipeda noxia	0	0	1036	754	1304	928	0	0	0	0	0	0	16	0	30	17	52	49	29	19	0	0	265	343	398	487	0	0	0	0	0	0	0	0	21	20	17	38	16	27
Centipeda periodontii	0	0	1013	652	540	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	268	120	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centipeda sp000286455	0	0	160	126	118	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	56	29	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centipeda sp000468035	0	0	846	636	2279	1552	0	0	0	0	0	0	14	0	33	19	24	16	12	0	0	0	184	259	558	725	0	0	0	0	0	0	13	0	17	18	0	20	0	0
Centipeda sp001683335	0	0	458	277	161	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	125	35	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centipeda sp001717585	0	0	1476	952	386	274	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	310	452	96	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centipeda sp905372865	0	0	288	200	896	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	78	233	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium durum	12	0	0	0	149	142	330	148	77	27	0	0	562	206	2856	855	1905	850	23	0	0	12	0	0	51	70	140	117	16	18	0	0	309	296	944	659	164	306	0	0
Corynebacterium matruchotii	0	0	1658	1202	11204	9154	61	68	122	34	0	0	2591	1428	392	270	111	90	47	18	0	0	465	531	3580	4044	84	116	19	23	0	0	2362	2016	310	410	91	126	15	17
Desulfobulbus oralis	0	0	37999	20232	27241	13491	41258	26577	5971	2995	20721	7484	11169	3036	25446	10789	78686	40858	24338	12292	0	0	8176	9419	4354	5244	28331	26281	4043	4242	6189	6554	6848	3942	16099	12671	15006	20100	20714	20255
Desulfomicrobium orale	0	0	133029	69613	9014	5543	776	576	43	20	2816	1222	3161	1043	5993	2539	605	394	51	24	0	0	32252	32178	2897	2904	846	862	52	69	1116	1358	2708	1763	4110	3258	349	448	41	56
Desulfovibrio sp003860215	0	0	1261	669	2193	1146	0	0	0	0	0	0	32	0	13	11	0	0	0	0	0	0	308	297	652	645	0	0	0	0	0	0	18	11	0	0	0	0	0	0
Dialister invisus	12	0	1170	1754	273	310	0	0	19	0	0	14	0	0	16	0	59	71	0	0	0	0	214	523	33	66	0	0	0	0	0	0	0	0	0	0	0	16	0	0
Eikenella corrodens	0	0	258	155	2490	1707	32	22	91	63	0	0	1676	601	1502	725	136	106	0	0	0	0	51	63	616	691	29	24	65	75	0	0	1009	656	888	812	28	60	0	0
Eubacterium B infirmum	0	0	131	228	42	81	35	47	0	0	0	16	28	35	53	57	76	150	30	24	0	0	17	57	0	30	32	50	0	18	0	14	21	29	20	35	18	75	0	30
Eubacterium B sulci	0	0	57	115	12	21	24	49	0	0	0	0	23	14	35	33	20	52	17	12	0	0	13	28	0	0	11	34	0	0	0	0	0	20	0	27	13	14	0	0
Eubacterium M brachy	0	0	260	538	67	173	12	25	10	0	0	26	15	16	21	35	16	19	13	16	0	0	95	277	27	60	0	12	0	0	0	0	0	17	0	17	0	0	0	0
Eubacterium N saphenum	0	0	1819	3628	367	666	0	0	0	0	119	147	0	0	41	53	18	22	0	0	0	0	274	762	81	198	0	0	0	0	59	157	0	0	10	39	0	10	0	0
F0058 sp000163695	0	0	10642	15346	9515	13083	189	300	12	16	35	55	667	744	596	654	1349	2038	162	146	0	0	2513	5723	2672	4787	242	488	11	40	29	72	685	1102	461	928	535	1608	136	236
F0058 sp905372135	0	0	4669	6181	6989	8845	71	130	0	0	0	32	333	272	283	331	230	311	26	19	0	0	1204	2440	1673	2973	100	185	0	12	11	46	273	367	231	472	129	272	27	24
F0058 sp905372605	0	0	1196	1739	2718	3541	15	24	0	0	0	0	61	49	61	58	28	47	0	0	0	0	281	615	690	1188	19	38	0	0	0	0	52	57	38	88	12	46	0	0
Filifactor alocis	0	0	986	2113	662	1310	24	34	0	0	16	39	32	48	139	196	33	60	26	20	0	0	305	769	182	410	10	37	0	10	28	53	35	61	70	211	13	31	0	19
Flexilinea sp001717545	0	0	108654	79715	53773	36577	3632	3068	241	144	145874	64879	860	309	19507	8508	50444	27619	17963	8339	0	0	12131	21057	7209	10549	1854	2179	148	150	42218	54865	493	361	9119	7972	6080	9519	11943	11837
Fretibacterium fastidiosum	0	0	14887	7060	6453	3260	58	35	0	0	236	127	163	66	492	255	678	434	53	17	0	0	2560	2565	1293	1316	47	51	0	0	127	170	174	91	413	354	277	371	59	46
Fusobacterium animalis	0	0	60	266	44	121	0	0	0	0	0	0	71	166	33	83	0	21	0	0	0	0	22	101	18	60	0	0	0	0	0	0	52	190	24	86	0	19	0	0
Fusobacterium hwasookii	0	0	26	152	224	694	19	47	43	77	0	0	1077	2345	311	786	40	148	0	0	0	0	13	57	91	286	21	62	32	121	0	0	805	2630	216	806	19	121	0	0
Fusobacterium nucleatum	0	0	223	968	345	1125	0	43	14	33	0	30	494	1124	203	612	35	111	0	17	0	0	95	432	148	526	14	34	13	46	0	29	371	1148	166	642	20	105	0	13
