# Constructed from biom file
#OTU ID	BAN001.A0101.SG1.1_5M	BAN001.A0102.SG1.4_5M	CDM019.A0101.SG1.1_5M	CDM019.A0102.SG1.4_5M	CDM020.A0101.SG1.1_5M	CDM020.A0102.SG1.4_5M	ERR1883418	ERR1883419	ERR1883420	ERR1883421	ERR1883422	ERR1883423	ERR1883424	ERR1883429	ERR1883435	ERR1883437	FUM002.A0101.SG1.1_5M	FUM002.A0102.SG1.5_5M	FUM003.A0101.SG1.1_5M	FUM003.A0102.SG1.4_5M	GDN001.A0101.SG1.1_5M	GDN001.A0102.SG1.3_5M	GOY005.A0101.SG1.2_5M	GOY005.A0103.SG1.4_5M	GOY006.A0101.SG1.2_5M	GOY006.A0102.SG1.5_5M	JAE006.A0101	JAE007.A0101	JAE008.A0101	JAE009.A0101	JAE010.A0101	JAE012.A0101	JAE013.A0101	JAE014.A0101	JAE015.A0101	JAE016.A0101	PES001.B0101.SG1.3_5M	PES001.B0102.SG1.5_5M	SRR1631060	SRR1631061	SRR1631063	SRR1631064	SRR1633008	SRR1761664	SRR1761665	SRR1761666	SRR1761667	SRR1761668	SRR1761669	SRR1761670	SRR1761671	SRR1761672	SRR1761673	SRR3184100	SRR3184876	SRR3189411	SRR3189416	SRR3189418	SRS013950	SRS014107	SRS014477	SRS014691	SRS015064	SRS019029	SRS019129	SRS051244	SRS051378	SRS051930	SRS051941	SRS052604	SRS052876	SRS053584	SRS053630	SRS053917	SRS054653	SRS063215	VLC001.A0101	VLC002.A0101	VLC003.A0101	VLC004.A0101	VLC005.A0101	VLC008.A0101	VLC009.A0101	VLC010.A0101	VLD001.A0101.SG1.1_5M	VLD001.A0102.SG1.2_5M
34-128 sp014894735	434	461	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40CM-3-62-11 sp001914955	0	0	6	6	0	0	0	1	0	1	0	0	0	0	0	0	16	9	294	183	837	130	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7
AR31 sp003220535	0	0	6	3	0	2	0	1	3	4	0	4	8	0	0	0	3	3	140	80	686	71	2	0	7	1	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Abiotrophia defectiva	2	5	67	76	2703	3129	0	0	0	0	0	0	0	0	0	0	74	143	78	77	0	0	1191	1193	1052	938	17163	14881	85180	59962	78733	537327	427981	34995	3506	955	1872	2111	331	302	315	338	547	0	0	7	0	0	0	0	0	0	4	6017	597	2211	2010	1777	1467	367	106	2345	2743	4301	2924	2937	23351	238827	72751	698	77442	73460	588	106513	6048	428	48780	9232	58009	26463	56349	17665	18970	2056	36	30
Abiotrophia sp001815865	2	1	146	151	7078	8680	0	0	0	0	0	0	0	0	0	0	102	160	125	106	4	4	1662	1596	1028	1031	49077	42575	100988	64208	42876	932013	606603	61609	4012	408	2231	2423	783	858	1000	881	1128	0	0	24	0	1	0	0	0	0	1	8872	1312	2977	2713	2512	1808	508	142	1199	2172	2121	5314	5946	11051	107599	70001	703	38267	151050	20	185772	13108	205	30045	10977	169175	72710	129366	49895	10320	2140	26	26
Accumulibacter sp000584975	0	0	4	2	2	1	0	0	0	0	0	0	0	0	0	0	2	1	489	274	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Acidovorax temperans	12	4	1	0	9	4	0	0	0	0	1	3	0	0	0	0	3	4	385	331	15	7	15	8	451	156	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017	916
Acinetobacter albensis	429	1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	2	4	3	88	125	0	0	0	0	0	0	0	0	0	0	77	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	62
Acinetobacter fasciculus	32	48	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	7	53	44	5	7	144	61	26	18	0	0	13	1	8	18	7	1	1	0	463	649	3202	3352	3598	3674	2983	0	0	0	0	0	0	0	0	0	0	1017	3324	10573	9662	8907	2	0	0	4	0	2	3	17	4	3	20	20	58	2	3	159	0	8	0	0	5	0	5	1	0	0	70	41
Acinetobacter guillouiae	4	8	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	4	7	0	3	10346	5082	18	15	2	2	0	0	1	0	0	1	0	0	20	32	700	663	844	779	53011	0	0	0	0	1	0	0	0	0	0	10	267	345	319	270	0	0	0	0	1	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	38	36
