gc_bin,counts_gc,Study
"(19,20]",1,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(23,24]",2,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(24,25]",1,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(25,26]",1,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(26,27]",3,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(27,28]",2,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(28,29]",2,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(29,30]",3,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(30,31]",1,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(31,32]",2,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(32,33]",5,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(33,34]",5,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(34,35]",9,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(35,36]",2,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(36,37]",9,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(37,38]",5,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(38,39]",3,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(39,40]",5,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(40,41]",2,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(41,42]",9,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(42,43]",5,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(43,44]",11,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(44,45]",8,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(45,46]",9,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(46,47]",16,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(47,48]",8,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(48,49]",4,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(49,50]",17,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(50,51]",1,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(51,52]",11,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(52,53]",9,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(53,54]",15,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(54,55]",9,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(55,56]",15,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(56,57]",5,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(57,58]",8,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(58,59]",10,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(59,60]",12,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(60,61]",12,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(61,62]",6,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(62,63]",8,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(63,64]",6,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(64,65]",14,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(65,66]",3,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(66,67]",5,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(67,68]",11,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(68,69]",4,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(69,70]",7,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(70,71]",2,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(71,72]",11,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(72,73]",4,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(73,74]",6,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(74,75]",1,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(75,76]",3,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(76,77]",1,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(77,78]",2,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(78,79]",3,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(81,82]",1,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
"(12,13]",1,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(13,14]",1,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(14,15]",2,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(15,16]",1,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(16,17]",1,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(17,18]",4,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(18,19]",5,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(19,20]",2,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(20,21]",4,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(21,22]",3,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(22,23]",4,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(23,24]",11,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(24,25]",9,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(25,26]",5,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(26,27]",10,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(27,28]",10,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(28,29]",5,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(29,30]",12,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(30,31]",11,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(31,32]",13,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
"(32,33]",12,BAN001.A0102.SG1.4_5M.oral_gc_rl.tsv.gz
