Length,counts_length,Study
36,3,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
37,7,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
38,10,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
39,8,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
40,7,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
41,7,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
42,13,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
43,6,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
44,5,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
45,6,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
46,9,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
47,6,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
48,10,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
49,13,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
50,7,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
51,10,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
52,13,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
53,2,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
54,9,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
56,11,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
57,11,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
58,8,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
59,8,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
60,3,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
61,9,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
62,8,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
63,6,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
64,3,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
65,4,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
66,1,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
67,4,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
68,2,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
69,8,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
70,3,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
71,5,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
72,6,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
73,5,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
74,1,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
75,3,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
76,15,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
77,2,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
78,4,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
79,3,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
80,5,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
81,1,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
82,7,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
83,3,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
84,2,BAN001.A0101.SG1.1_5M.oral_gc_rl.tsv.gz
