"","Position","C.T","G.A"
"1",1,0.196235450816767,0
"2",2,0.109919469321343,0
"3",3,0.0821816039119967,0
"4",4,0.0694659871555436,0
"5",5,0.0623612156742104,0
"6",6,0.0578725605163266,0
"7",7,0.0547813225388058,0
"8",8,0.0525130596921583,0
"9",9,0.0507690945656046,0
"10",10,0.0493816597437734,0
"11",11,0.0482499054098571,0
"12",12,0.0473093627042037,0
"13",-12,0.0473093627042037,0
"14",-11,0.0482499054098571,0
"15",-10,0.0493816597437734,0
"16",-9,0.0507690945656046,0
"17",-8,0.0525130596921583,0
"18",-7,0.0547813225388058,0
"19",-6,0.0578725605163266,0
"20",-5,0.0623612156742104,0
"21",-4,0.0694659871555436,0
"22",-3,0.0821816039119967,0
"23",-2,0.109919469321343,0
"24",-1,0.196235450816767,0
