# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/actinomyces_dentalis/mapDamage2_ssLibs/input/BAN001.A0102.SG1.4_5M.mapped_a_dentalis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/actinomyces_dentalis/input/GCF_000429225.1_ASM42922v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	35	20
+	31	23
+	30	34
+	47	5
+	32	26
+	43	2
+	36	11
+	42	6
+	39	5
+	41	4
+	34	13
+	40	6
+	48	3
+	33	19
+	45	2
+	44	3
+	46	2
+	62	1
+	38	5
+	37	10
+	51	3
+	29	5
+	50	1
+	49	2
+	63	1
+	68	1
-	35	18
-	31	31
-	32	12
-	36	9
-	62	2
-	33	12
-	38	7
-	34	18
-	45	1
-	55	1
-	44	6
-	30	20
-	56	2
-	40	7
-	52	1
-	37	8
-	43	4
-	53	1
-	47	4
-	41	2
-	58	2
-	48	4
-	39	4
-	29	2
-	46	2
-	42	7
-	50	3
-	60	1
-	51	1
