pos	3pG>A
1	0.312053295064438
2	0.208938231608545
3	0.141219275184368
4	0.119026162897187
5	0.096757715501951
6	0.0821711212839047
7	0.06826935160749
8	0.0585420176063039
9	0.0525798086381114
10	0.046314929856797
11	0.0428414808984342
12	0.041051062243757
13	0.0380033243755812
14	0.0367762950509614
15	0.035640125623499
16	0.034114967951283
17	0.0330013984834536
18	0.0312234968531
19	0.0287768734867711
20	0.0281187673811062
21	0.0265835898867736
22	0.0259235113575599
23	0.0260142087902794
24	0.025679489083618
25	0.024725755630762
