"","Position","C.T","G.A"
"1",1,0.845294284813698,0.142381804289626
"2",2,0.760109219677872,0.137115421742851
"3",3,0.647758925413197,0.113234203723677
"4",4,0.516462847640213,0.0861674033995321
"5",5,0.382154647774355,0.0641273881468101
"6",6,0.262437414016254,0.047892591282792
"7",7,0.168835098466154,0.0356323523744051
"8",8,0.103755003790916,0.0255050418959951
"9",9,0.0621063673434561,0.0174018992782783
"10",10,0.0366655962867475,0.0114467025873676
"11",11,0.0215161701065646,0.0073297411921098
"12",12,0.0126393072091493,0.00457166153343611
"13",-12,0.00416238513623267,0.0130723434440085
"14",-11,0.00667747083343659,0.0222024605636724
"15",-10,0.0105280097972957,0.0376292501151993
"16",-9,0.0161169833832679,0.0634338484814064
"17",-8,0.0238059369230182,0.105454743432051
"18",-7,0.0339745585621822,0.170485289938967
"19",-6,0.0472048122840247,0.263457521853521
"20",-5,0.0643847686027249,0.382808908823918
"21",-4,0.0859749246990806,0.517347676057223
"22",-3,0.110404670281481,0.648977571586701
"23",-2,0.133707453038443,0.761002398304913
"24",-1,0.148774986228692,0.845547074301251
