# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/actinomyces_dentalis/mapDamage2_dsLibs/input/CDM019.A0101.SG1.1_5M.mapped_a_dentalis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/actinomyces_dentalis/input/GCF_000429225.1_ASM42922v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	44	4020
+	51	3308
+	70	1930
+	45	4056
+	49	3598
+	31	3138
+	75	3349
+	76	10434
+	65	2301
+	111	433
+	47	3679
+	36	3884
+	32	3311
+	72	1910
+	58	2625
+	99	711
+	87	885
+	55	2889
+	37	3988
+	84	1003
+	124	305
+	103	582
+	50	3334
+	100	677
+	38	3753
+	54	2830
+	95	822
+	74	1867
+	52	3148
+	64	2397
+	39	3718
+	82	1125
+	123	299
+	60	2384
+	78	1447
+	69	1990
+	127	286
+	34	3698
+	92	866
+	86	988
+	118	397
+	77	1486
+	30	2858
+	109	455
+	80	1215
+	33	3453
+	42	4335
+	83	1098
+	59	2567
+	35	3721
+	90	1002
+	96	813
+	46	3991
+	71	1814
+	57	2722
+	48	3701
+	43	4229
+	79	1324
+	68	2076
+	62	2106
+	56	2709
+	88	940
+	73	1884
+	81	1211
+	110	428
+	40	3582
+	61	2206
+	117	389
+	85	1010
+	53	3071
+	41	3456
+	137	168
+	139	154
+	66	2269
+	105	504
+	63	2097
+	98	716
+	104	605
+	138	208
+	93	881
+	106	562
+	97	773
+	121	356
+	91	950
+	89	888
+	135	217
+	67	2167
+	102	642
+	126	265
+	115	389
+	132	198
+	114	395
+	113	421
+	125	274
+	94	908
+	120	371
+	129	222
+	122	308
+	128	259
+	101	623
+	107	519
+	108	514
+	131	211
+	140	148
+	119	376
+	136	189
+	112	403
+	116	332
+	134	216
+	141	163
+	130	249
+	133	219
+	29	19
+	142	2
+	28	2
+	144	1
+	143	2
-	35	3662
-	53	2941
-	78	1436
-	40	3652
-	50	3410
-	60	2323
-	37	4062
-	59	2420
-	41	3643
-	76	10435
-	95	798
-	45	4019
-	49	3561
-	116	355
-	61	2316
-	30	2784
-	101	631
-	44	4043
-	91	953
-	72	1908
-	63	2124
-	126	263
-	48	3731
-	89	869
-	105	546
-	47	3752
-	62	2091
-	129	280
-	56	2750
-	82	1153
-	51	3287
-	55	2853
-	33	3467
-	71	1836
-	68	2115
-	46	3913
-	36	3880
-	118	342
-	75	3366
-	43	4176
-	31	3106
-	119	371
-	94	851
-	80	1306
-	70	1899
-	58	2663
-	121	353
-	115	366
-	52	3009
-	128	262
-	124	323
-	86	982
-	32	3203
-	64	2419
-	38	3697
-	93	865
-	66	2205
-	109	444
-	73	1927
-	67	2205
-	34	3804
-	127	275
-	69	2079
-	39	3757
-	57	2663
-	42	4232
-	136	204
-	108	504
-	54	3004
-	111	426
-	65	2272
-	77	1507
-	107	499
-	98	712
-	135	204
-	85	1136
-	100	710
-	79	1329
-	74	1881
-	92	921
-	138	184
-	97	825
-	96	813
-	102	591
-	117	391
-	103	610
-	84	1111
-	132	243
-	83	1139
-	88	920
-	81	1159
-	120	374
-	141	164
-	122	326
-	123	343
-	106	551
-	90	987
-	125	275
-	131	230
-	87	974
-	110	472
-	113	392
-	99	743
-	130	252
-	104	567
-	133	218
-	114	407
-	134	221
-	139	163
-	112	417
-	137	168
-	140	152
-	29	18
-	143	1
-	142	3
-	28	5
-	144	1
-	146	1
