"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.122721772295491,0.0111626846959107,0.595679951459242,0.312421629178003,0.10784074498626,23924.047715183
"Std.",0.000544090141931855,0.00050449000389735,0.00433149209152731,0.0029513115429439,0.0007404679682786,1.54611074771205
"Acceptance ratio",0.18178,0.26444,0.2757,0.14658,0.17866,0.692
"0%",0.120822439700577,0.00909761606224774,0.58051144752779,0.302373686435661,0.104957149741687,23913.9717964583
"2.5%",0.121654216831583,0.0101712407499729,0.587099032076597,0.306703575704003,0.106439777332713,23920.2673227241
"5%",0.121813109935968,0.0103213931226498,0.588364067744172,0.30760722530878,0.10665240001394,23921.0782602897
"7.5%",0.12193729081689,0.0104193399485911,0.589349061898153,0.308127524136148,0.106785888472135,23921.5987738704
"10%",0.122019091373688,0.0105006091258114,0.5900552959844,0.308534499152985,0.106894226295551,23921.9756374828
"12.5%",0.122083285154254,0.0105662910927746,0.590639845032956,0.308887421092122,0.106966167875586,23922.2833197543
"15%",0.12214455066096,0.01062528826987,0.591157193108572,0.309230605809872,0.107049678853478,23922.5293276338
"17.5%",0.122202739949238,0.0106802141688687,0.591571408849745,0.309469522500828,0.107126429403834,23922.7435794841
"20%",0.122259652504038,0.0107293778943813,0.592010681696042,0.309788946131992,0.107201038534002,23922.9229108852
"22.5%",0.122313377666077,0.0107766202609941,0.592391798571579,0.310048191543057,0.107264389074095,23923.0932751491
"25%",0.122357715017482,0.0108208564618649,0.592745132041311,0.310299961539139,0.107330195300253,23923.2502977245
"27.5%",0.122406188393957,0.0108616347750583,0.593095031802935,0.310548327933383,0.107387248638195,23923.3989640282
"30%",0.1224426941246,0.0108998228552236,0.593461218922014,0.310847865874541,0.107448833902696,23923.5324387841
"32.5%",0.122482032779076,0.0109377004685002,0.593759589165896,0.311086284423485,0.10750880917513,23923.6534802739
"35%",0.122516213928318,0.0109735394684998,0.594078190003793,0.311334629280955,0.107559672744272,23923.7688678896
"37.5%",0.122552954584267,0.0110066132092859,0.594353359699816,0.311532388458812,0.107612188887375,23923.8673740261
"40%",0.122592647029054,0.0110425270740882,0.59462300550562,0.311745964711771,0.1076567579628,23923.971339583
"42.5%",0.122626458200514,0.0110759740790018,0.594925470149271,0.311936782483808,0.107709070154132,23924.0687502893
"45%",0.122668565820151,0.011112325522951,0.595178509257418,0.31211541940957,0.107745057454278,23924.1631300185
"47.5%",0.122701272516193,0.0111449043269217,0.595450142404941,0.312312405153749,0.107789032568741,23924.2573230928
"50%",0.122734043899293,0.0111717728515011,0.595690810259305,0.312494943878511,0.10783634684269,23924.3574156751
"52.5%",0.122762024146994,0.0112058278818561,0.595998662732683,0.312678849523099,0.107887711318653,23924.4447200967
"55%",0.122798811879815,0.0112379781395707,0.596260842218251,0.312840886584709,0.107928902918458,23924.5282855512
"57.5%",0.122834627438883,0.0112692624390859,0.596526441715443,0.313049657915788,0.107979835395287,23924.6160155537
"60%",0.122863573328727,0.0113026651197132,0.59680552742556,0.313250012360677,0.108030259357915,23924.6948701435
"62.5%",0.12289800342579,0.0113371064678604,0.59709694805022,0.313446082218051,0.108072464773313,23924.7741638983
"65%",0.122929414276706,0.0113689323357078,0.597384456472068,0.313665336022508,0.108119245897853,23924.8519895506
"67.5%",0.122967660219873,0.0114048284560958,0.597669922211341,0.313891350044819,0.108174370438261,23924.9322777197
"70%",0.123007307015175,0.011439227792237,0.597980188443864,0.314069992180968,0.108231064788941,23925.0148161386
"72.5%",0.123049149889467,0.0114772300865566,0.598279860334669,0.314291095657446,0.108287273650955,23925.101070652
"75%",0.123091080340516,0.0115124646129546,0.598636222442157,0.314507803054473,0.108338884514556,23925.179561397
"77.5%",0.123136975826877,0.0115510556630557,0.5990024719645,0.314729330162425,0.108400107558196,23925.2639289251
"80%",0.123184278096349,0.011590574384516,0.599313196724198,0.314958548946499,0.108465317235378,23925.3500603075
"82.5%",0.123232855006675,0.0116360559619611,0.599691702649739,0.315183062322216,0.108530882522148,23925.4359771978
"85%",0.12328713999844,0.0116882424812493,0.600093388787579,0.315525297572609,0.108616644411237,23925.5282360869
"87.5%",0.123339541789364,0.0117388186989177,0.600655031176024,0.315885691976577,0.108715508617401,23925.6247021805
"90%",0.12341128732194,0.011791096076181,0.601187039238265,0.316262456490135,0.108805676660147,23925.726419117
"92.5%",0.123494185007765,0.0118639309880123,0.601874623585202,0.316626838079372,0.108915940196019,23925.8282404608
"95%",0.123615278984084,0.0119615910390999,0.602829249040471,0.317137188182503,0.109045955153127,23925.9543302828
"97.5%",0.12377237837664,0.0121150108209539,0.604157843884758,0.318020483794623,0.109295793866996,23926.1062213661
"100%",0.125224607516441,0.0129990037199306,0.611494732104512,0.321335249647314,0.110788091247307,23926.4987921826
