# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/actinomyces_dentalis/mapDamage2_ssLibs/input/CDM019.A0102.SG1.4_5M.mapped_a_dentalis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/actinomyces_dentalis/input/GCF_000429225.1_ASM42922v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	89	201
+	36	3929
+	59	1173
+	86	266
+	34	4369
+	53	1824
+	44	3331
+	46	2790
+	63	856
+	33	4532
+	51	2031
+	57	1289
+	37	3950
+	41	3335
+	72	580
+	39	3488
+	32	4711
+	35	4241
+	52	1920
+	45	3020
+	78	411
+	50	2182
+	42	3659
+	30	4740
+	58	1268
+	67	840
+	31	4973
+	66	815
+	76	1434
+	38	3764
+	48	2477
+	132	28
+	87	215
+	40	3449
+	54	1585
+	47	2656
+	69	634
+	102	104
+	61	1047
+	55	1572
+	49	2310
+	70	702
+	130	28
+	43	3442
+	73	619
+	74	539
+	65	972
+	62	1007
+	77	451
+	60	1056
+	112	73
+	98	142
+	75	601
+	56	1476
+	135	32
+	71	678
+	92	195
+	134	21
+	99	129
+	96	152
+	68	841
+	97	147
+	85	246
+	83	328
+	81	351
+	90	234
+	79	410
+	93	182
+	84	292
+	103	101
+	64	1028
+	82	298
+	91	213
+	100	113
+	131	34
+	139	18
+	109	77
+	107	89
+	101	143
+	95	180
+	126	34
+	136	22
+	88	213
+	29	21
+	125	51
+	108	78
+	123	33
+	94	182
+	106	90
+	115	60
+	104	107
+	80	366
+	118	45
+	120	46
+	105	93
+	137	22
+	117	45
+	113	56
+	114	72
+	110	74
+	116	53
+	129	31
+	138	20
+	128	35
+	122	49
+	111	64
+	119	58
+	121	43
+	27	1
+	124	43
+	133	20
+	127	23
+	141	15
+	28	2
+	140	14
-	30	4824
-	51	1966
-	32	4730
-	53	1749
-	34	4429
-	48	2443
-	67	839
-	44	3069
-	73	649
-	65	929
-	93	164
-	31	4842
-	63	854
-	36	3937
-	39	3402
-	47	2651
-	37	4026
-	71	664
-	75	558
-	61	1005
-	49	2362
-	54	1620
-	76	1373
-	42	3663
-	59	1147
-	56	1472
-	38	3833
-	78	381
-	33	4448
-	43	3448
-	100	143
-	52	1934
-	46	2888
-	40	3368
-	35	4386
-	72	601
-	57	1268
-	62	1001
-	45	2894
-	41	3343
-	70	733
-	81	320
-	80	326
-	87	209
-	79	387
-	89	200
-	58	1282
-	50	2221
-	120	55
-	110	72
-	90	232
-	69	745
-	111	68
-	55	1510
-	77	455
-	92	208
-	74	533
-	88	222
-	64	1014
-	86	247
-	68	764
-	60	1079
-	99	113
-	104	105
-	94	179
-	97	156
-	116	46
-	91	250
-	136	20
-	83	296
-	85	260
-	108	84
-	82	338
-	101	117
-	66	859
-	107	92
-	106	92
-	84	255
-	95	169
-	119	45
-	128	33
-	96	142
-	115	60
-	127	42
-	125	42
-	123	47
-	102	120
-	129	28
-	118	47
-	138	18
-	105	100
-	140	16
-	137	16
-	122	45
-	109	73
-	124	41
-	121	44
-	98	146
-	103	116
-	112	65
-	133	26
-	139	20
-	135	26
-	117	53
-	113	57
-	114	44
-	132	30
-	134	29
-	131	29
-	29	17
-	126	28
-	130	22
-	141	18
-	28	1
-	147	1
