pos	5pC>T
1	0.33893905297265
2	0.208637860611395
3	0.145129976802302
4	0.130008653631122
5	0.11468348802312
6	0.0972929697272955
7	0.0796293202566849
8	0.0678180953890033
9	0.0600962478970226
10	0.0523492667028789
11	0.0462648675290376
12	0.0458396102752724
13	0.0425068811369005
14	0.038451521690602
15	0.0370645996829938
16	0.0348187932452702
17	0.0332196739688916
18	0.0316174828366398
19	0.0300527888832822
20	0.0293798614909654
21	0.0273691115891836
22	0.0262265782086276
23	0.0264574536807317
24	0.0253838738887861
25	0.0236319857081828
