pos	3pG>A
1	0.300092915798197
2	0.166935380678183
3	0.0837887560196959
4	0.0659800010928365
5	0.05301766437684
6	0.0434601267934601
7	0.0372815323846112
8	0.034331540437079
9	0.0326958155989166
10	0.0312584064130844
11	0.0309065266024706
12	0.0282432432432432
13	0.0273021001615509
14	0.0293621494755886
15	0.0281511127937478
16	0.0275942060259488
17	0.0270887568151677
18	0.0252073330423396
19	0.0247634872564522
20	0.0256328882161951
21	0.021857332215219
22	0.0224201890011102
23	0.0221025716674042
24	0.0212935706621915
25	0.0214522348340846
