pos	5pC>T
1	0.26542712410776
2	0.123645133318881
3	0.0558574293291934
4	0.0553968253968254
5	0.0430829065213223
6	0.0436991532458907
7	0.0348297454749369
8	0.0349097462430602
9	0.0355750487329435
10	0.0338644153865685
11	0.034670920080591
12	0.0337462206183556
13	0.0326135852451642
14	0.0356989123884409
15	0.0348398020317791
16	0.0358271525314415
17	0.036696459264352
18	0.0324266424305375
19	0.0360146369647557
20	0.0353662011969222
21	0.0346314731346671
22	0.035943267923062
23	0.037908270633342
24	0.0369104799974211
25	0.0384541372674792
