"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.133077880155066,4.39218526869746e-05,0.977388590064897,0.636877248539082,0.536623447617217,1796.32114583801
"Std.",0.00131748958626654,4.32515847421228e-05,0.0183176192644424,0.00643937665962433,0.00677197296984165,1.76643980660093
"Acceptance ratio",0.20014,0.13736,0.18778,0.16788,0.1598,0.60704
"0%",0.128384557453462,2.18786600700791e-09,0.856587978346321,0.607979632530527,0.510996432988992,1783.15267688348
"2.5%",0.130541268870075,1.22001948874384e-06,0.931546983119092,0.622443584028889,0.52349660111942,1792.12978324785
"5%",0.13093388455871,2.26726054682796e-06,0.940877777014127,0.624929413641496,0.525482243372136,1792.98870156627
"7.5%",0.131209537327423,3.63707390031946e-06,0.947021794556777,0.626931274774248,0.526797978004114,1793.53647820857
"10%",0.131389194059824,4.63149767230536e-06,0.951795863726937,0.62848785170154,0.527913466903792,1793.93365767069
"12.5%",0.131546004879483,6.2774821176287e-06,0.955594717588589,0.629535727494852,0.528775695034408,1794.27699912191
"15%",0.131699905902299,7.62730876142947e-06,0.958423380896665,0.630531508048268,0.529524976234355,1794.5401459854
"17.5%",0.131838459597284,8.80746272085526e-06,0.9609398274348,0.631333929463284,0.530260406070196,1794.78432095084
"20%",0.131967084353495,1.0164388774374e-05,0.963098187644684,0.631897369891152,0.530936394612691,1794.9911534884
"22.5%",0.132074097256189,1.2037094533735e-05,0.965148225559404,0.632424267409112,0.531464178228464,1795.17282854153
"25%",0.132168029489136,1.32616130546993e-05,0.967121182635708,0.632976195589575,0.532047444783911,1795.3483519606
"27.5%",0.132280414351747,1.45155620126373e-05,0.968816198244915,0.63354054044939,0.532548950671592,1795.52530536686
"30%",0.132376558403462,1.59184034457228e-05,0.970623455960309,0.634095452836189,0.533099699335191,1795.67841038056
"32.5%",0.132453083805437,1.75435005690824e-05,0.972354370116601,0.634531292150501,0.533575344476887,1795.81774934096
"35%",0.132543301747393,1.95247451534814e-05,0.97413302775539,0.6349302117925,0.533992386322744,1795.95632171425
"37.5%",0.132635339968951,2.133206497177e-05,0.975442565371594,0.635375956595737,0.534463166000842,1796.09103027171
"40%",0.132725623789209,2.31551734275316e-05,0.976760883837425,0.635751004884196,0.534934248749578,1796.20454504963
"42.5%",0.132816347891272,2.5229719047782e-05,0.977893676850981,0.636192141859288,0.53543792204085,1796.32372079226
"45%",0.132905373586947,2.71339790956739e-05,0.979313703982507,0.636548426092248,0.535818629203545,1796.431176162
"47.5%",0.132988344053723,2.91393331198501e-05,0.980745291230462,0.636921436386754,0.536211644595069,1796.54668493158
"50%",0.133077610555504,3.17653804598744e-05,0.981970704681971,0.637307500229553,0.536567648652765,1796.65043609264
"52.5%",0.133161857739125,3.36362489429537e-05,0.983036030346184,0.637711310375877,0.537007937718475,1796.74327549201
"55%",0.133256728667644,3.56094057706278e-05,0.984120630978142,0.638079953745685,0.537478305340682,1796.84563866544
"57.5%",0.133341105050267,3.8123168670402e-05,0.985134598497121,0.638429499468982,0.537928365459821,1796.94877284437
"60%",0.133418475813727,4.09696738381354e-05,0.986083920796645,0.638798151848989,0.53831765678909,1797.04440190507
"62.5%",0.13350567180475,4.37623020938784e-05,0.987076022154522,0.639141796054652,0.53878341307634,1797.13566259767
"65%",0.133600378566232,4.66296887798755e-05,0.988065894263565,0.639599436139157,0.539248685830281,1797.227220756
"67.5%",0.133689833303836,4.99547235678375e-05,0.988941264260524,0.639957038163991,0.539728859694037,1797.32639869122
"70%",0.133771947938341,5.288140758905e-05,0.990016712771916,0.640402080035931,0.540210638874581,1797.43036495292
"72.5%",0.133868939859186,5.63100279435077e-05,0.990833984404629,0.640805196598717,0.540609956497234,1797.5255134144
"75%",0.133961252198917,6.06170209053822e-05,0.991652301975068,0.641284558636982,0.541078238249952,1797.62125271645
"77.5%",0.134077654555699,6.52124287124758e-05,0.992538648834122,0.641747199643912,0.541718113184188,1797.7205289295
"80%",0.134192683838529,7.03802750732301e-05,0.993586241012332,0.642204537554631,0.542333356950667,1797.82665712841
"82.5%",0.134316623848577,7.64226206551622e-05,0.994381284588572,0.642754188981663,0.543050252831786,1797.92892729093
"85%",0.13446778216776,8.2377431192799e-05,0.995282977894208,0.643327731348451,0.543711857326769,1798.03152168877
"87.5%",0.134593903447691,8.98799460985205e-05,0.996272222627663,0.644006228714758,0.544470999326431,1798.14807933782
"90%",0.134749274774154,9.85716238986182e-05,0.997066642656266,0.644686088406311,0.545282108743683,1798.27106900226
"92.5%",0.134990501017184,0.000110991750962366,0.997819784047212,0.645559365675329,0.546466278821197,1798.40834789119
"95%",0.135214088343049,0.000127445933008305,0.998518313758476,0.646657027016135,0.547764249417308,1798.56469149291
"97.5%",0.135622976079497,0.000159957827801054,0.999189040657911,0.648211792424976,0.549792035564915,1798.77516655186
"100%",0.139477776620868,0.000447390816899534,0.999999175882835,0.662605154712857,0.56240567391123,1799.44056817264
