# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/actinomyces_dentalis/mapDamage2_ssLibs/input/FUM003.A0102.SG1.4_5M.mapped_a_dentalis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/actinomyces_dentalis/input/GCF_000429225.1_ASM42922v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	39	322
+	30	1270
+	45	240
+	33	815
+	38	436
+	40	306
+	42	342
+	32	951
+	43	314
+	35	732
+	49	136
+	31	1116
+	34	712
+	53	83
+	50	119
+	101	1
+	37	460
+	61	22
+	41	250
+	58	34
+	62	22
+	44	277
+	36	506
+	51	88
+	52	98
+	48	152
+	70	18
+	76	14
+	28	6
+	54	68
+	46	182
+	55	62
+	47	188
+	65	33
+	60	19
+	29	16
+	57	41
+	56	57
+	67	15
+	59	30
+	78	2
+	73	11
+	72	12
+	64	15
+	68	18
+	63	15
+	84	3
+	80	5
+	66	21
+	74	13
+	77	3
+	87	4
+	81	6
+	89	2
+	86	1
+	96	5
+	120	1
+	69	16
+	71	7
+	103	2
+	82	4
+	83	3
+	95	2
+	91	1
+	75	3
+	99	2
+	88	2
+	107	1
+	97	1
+	136	1
+	90	1
+	79	1
+	100	1
+	108	1
+	106	1
-	36	573
-	30	1203
-	45	237
-	34	731
-	43	340
-	31	1041
-	59	24
-	32	1002
-	50	121
-	49	138
-	77	10
-	48	165
-	40	299
-	39	340
-	66	24
-	68	25
-	47	198
-	37	490
-	33	749
-	42	356
-	60	31
-	35	657
-	57	47
-	51	110
-	101	1
-	46	203
-	41	264
-	44	315
-	38	411
-	61	28
-	79	5
-	52	89
-	55	61
-	29	16
-	67	15
-	28	7
-	53	81
-	72	7
-	63	18
-	82	7
-	75	11
-	54	58
-	62	23
-	58	29
-	56	52
-	71	19
-	102	3
-	93	3
-	65	27
-	70	13
-	86	2
-	85	5
-	107	2
-	76	24
-	69	10
-	73	11
-	64	18
-	95	4
-	81	3
-	78	6
-	74	7
-	94	2
-	90	3
-	83	1
-	80	5
-	141	1
-	91	2
-	89	2
-	114	1
-	111	1
-	92	3
-	84	1
-	100	1
-	88	1
-	87	1
-	27	1
-	135	1
