pos	3pG>A
1	0.423821809425525
2	0.240830474946008
3	0.126038578382929
4	0.0888238164958516
5	0.0653914667681292
6	0.0480963451351042
7	0.0380379243783354
8	0.0305796362400136
9	0.0271773621532833
10	0.0240419211395465
11	0.0225157254030959
12	0.0234188571745685
13	0.0228215385182591
14	0.0240803588178113
15	0.0224131559497413
16	0.0229717676611391
17	0.0225679603351
18	0.0211159999263609
19	0.0193966701467114
20	0.0201645535473429
21	0.01714974521944
22	0.0190436272187192
23	0.0172334205262348
24	0.015957054309327
25	0.0165855977763962
