"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.118026654531236,3.07118720806724e-06,0.999938113532159,0.41715163463068,0.254092945707452,13457.8394474813
"Std.",0.000536670501324613,3.11359723305153e-06,6.1790881526684e-05,0.00099401550914198,0.00162935023375247,1.89395740402582
"Acceptance ratio",0.18246,0.15256,0.16852,0.14034,0.17166,0.589
"0%",0.116162301398859,4.70128359590147e-10,0.999202530493414,0.413387550458179,0.24715277846682,13441.5524847593
"2.5%",0.116992564351394,9.80072410761996e-08,0.999773815198632,0.415215448840811,0.250887683973087,13453.2904789142
"5%",0.117152301797832,1.79600293200484e-07,0.999816218686089,0.415520948283181,0.251418433002277,13454.3067614906
"7.5%",0.117258154774501,2.75866241470045e-07,0.999841558524974,0.415707755142365,0.25177459381553,13454.9101294864
"10%",0.11733685654055,3.6611753123411e-07,0.999856652297023,0.415864984722822,0.252010119870636,13455.34453495
"12.5%",0.11740170709898,4.60727537591407e-07,0.999870790549872,0.415999385490742,0.252203701555235,13455.6981863726
"15%",0.117461843992908,5.34952041983255e-07,0.999882964728921,0.416105298376461,0.252406528921284,13455.9840558948
"17.5%",0.117515031098907,6.15843617553023e-07,0.999893515789599,0.416201891137671,0.252565130128657,13456.2411257406
"20%",0.117564095949687,6.9713003461839e-07,0.999901734382206,0.416300442605544,0.252702159081062,13456.4501282071
"22.5%",0.117609179141592,7.95181039519614e-07,0.999908286506606,0.416392499680029,0.252841022679653,13456.6431087786
"25%",0.117660681122703,8.58389941755948e-07,0.999915438286774,0.416467054982347,0.252976894708354,13456.8265473521
"27.5%",0.117708128552209,9.60458845674339e-07,0.99992119219975,0.416544388375852,0.253092232434017,13456.9899279117
"30%",0.117740432038914,1.05334034976003e-06,0.999926412880455,0.416623279236517,0.253216831890328,13457.1552094549
"32.5%",0.117777490950539,1.16691129569218e-06,0.999931807861624,0.4166985486878,0.253332737652139,13457.2958974562
"35%",0.11781357267268,1.28219094526531e-06,0.999935671157197,0.416780994532663,0.253422843423425,13457.4341993667
"37.5%",0.117851149066976,1.40560478327156e-06,0.999939652231243,0.416850851323488,0.253538845617782,13457.5625656566
"40%",0.117883631148771,1.54344245693252e-06,0.999943532587237,0.416924072490764,0.253668562411585,13457.6957162973
"42.5%",0.117918334632207,1.70505652987429e-06,0.999946574335321,0.416981163103228,0.253781109392719,13457.8186368196
"45%",0.117956388418138,1.82182535090621e-06,0.99994990770098,0.417032065308729,0.253895096244993,13457.942991005
"47.5%",0.117989653402773,1.98414428057806e-06,0.999953090539107,0.417095683492301,0.254000584558429,13458.063175756
"50%",0.118025278278412,2.14104120984626e-06,0.999956812261315,0.417163570435655,0.254094654474798,13458.1728420193
"52.5%",0.118058233306073,2.28707043465346e-06,0.999959311087143,0.417220316481793,0.254194118315435,13458.282606863
"55%",0.118091019897816,2.46211186757147e-06,0.999962243129281,0.417276074680035,0.25428597539808,13458.3910198239
"57.5%",0.118124203372006,2.62640022108181e-06,0.999965187811408,0.417341866900484,0.25439008473642,13458.5011054506
"60%",0.118161982717325,2.83334193642515e-06,0.999967851969425,0.417395772601662,0.254488167818175,13458.6092391806
"62.5%",0.118195856882492,3.01263729657192e-06,0.999970698035092,0.417448042772476,0.254610847563669,13458.7112371078
"65%",0.11823851704655,3.21582895384419e-06,0.999972850306628,0.417520429036294,0.254714277956617,13458.8177983555
"67.5%",0.118275007026136,3.4036074458301e-06,0.999975284783544,0.417591315010367,0.254834943282556,13458.928535575
"70%",0.118312085288343,3.6454887800868e-06,0.999977488049478,0.417669041441765,0.254968147302319,13459.0262266443
"72.5%",0.118353676363161,3.92192080433187e-06,0.999979881705149,0.417753996883662,0.255084400162284,13459.1278392361
"75%",0.118400026270014,4.18908296821114e-06,0.999981766825678,0.417830985970714,0.255215240890731,13459.2235424833
"77.5%",0.118447892609544,4.47261299055091e-06,0.999983749451608,0.417916460348677,0.255352684900688,13459.3291729806
"80%",0.118486949667661,4.83800307670129e-06,0.999985653295782,0.417990243384927,0.255481500006849,13459.4304349497
"82.5%",0.118537486080131,5.27557695686169e-06,0.999987272635122,0.41808221055517,0.255634074494707,13459.5436165008
"85%",0.118592223532141,5.75769462691053e-06,0.999989249040057,0.418183333870505,0.255805927593872,13459.6606446365
"87.5%",0.118660495954845,6.33683525100565e-06,0.999991164212533,0.418298368661488,0.255968042211022,13459.7801686707
"90%",0.11871964220722,7.02182485680743e-06,0.99999314336695,0.418441739591041,0.256166822552063,13459.9155036215
"92.5%",0.118790994361482,7.98444777188146e-06,0.99999495526316,0.418587936025748,0.25644368322005,13460.0731822304
"95%",0.118885166799532,9.35280098699525e-06,0.999996666941461,0.418791613106907,0.256757068960451,13460.2470424263
"97.5%",0.119077939073952,1.14263206898247e-05,0.99999859140807,0.419059410755235,0.257274444246272,13460.4739671164
"100%",0.120362693447224,3.3971574990194e-05,0.999999999577269,0.420951779806939,0.259995236788295,13461.1961030924
