"","Position","C.T","G.A"
"1",1,0.855851966975245,0
"2",2,0.756865170398939,0
"3",3,0.620083313017648,0
"4",4,0.461147511676116,0
"5",5,0.309752496584038,0
"6",6,0.190509398421093,0
"7",7,0.10988609184033,0
"8",8,0.060842923800377,0
"9",9,0.0329048538183631,0
"10",10,0.0175816149999052,0
"11",11,0.00935164675409347,0
"12",12,0.00498114095182305,0
"13",-12,0.00498114095182305,0
"14",-11,0.00935164675409347,0
"15",-10,0.0175816149999052,0
"16",-9,0.0329048538183631,0
"17",-8,0.060842923800377,0
"18",-7,0.10988609184033,0
"19",-6,0.190509398421093,0
"20",-5,0.309752496584038,0
"21",-4,0.461147511676116,0
"22",-3,0.620083313017648,0
"23",-2,0.756865170398939,0
"24",-1,0.855851966975245,0
