# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/actinomyces_dentalis/mapDamage2_ssLibs/input/GDN001.A0102.SG1.3_5M.mapped_a_dentalis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/actinomyces_dentalis/input/GCF_000429225.1_ASM42922v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	56	870
+	40	2120
+	44	2288
+	35	2895
+	62	483
+	31	3352
+	41	2087
+	59	695
+	51	1277
+	60	497
+	32	3228
+	55	908
+	36	2527
+	46	1917
+	52	1215
+	73	169
+	68	312
+	54	985
+	37	2453
+	74	147
+	47	1812
+	39	2196
+	48	1647
+	43	2357
+	45	1992
+	58	671
+	89	39
+	79	83
+	65	455
+	77	118
+	96	11
+	33	2968
+	53	1150
+	42	2452
+	67	344
+	34	2819
+	81	63
+	38	2490
+	49	1620
+	30	3431
+	66	385
+	70	283
+	76	133
+	72	191
+	50	1451
+	64	452
+	57	757
+	69	253
+	63	390
+	84	53
+	75	125
+	95	19
+	83	57
+	80	71
+	61	515
+	105	7
+	91	24
+	71	220
+	94	13
+	78	99
+	87	33
+	29	14
+	93	22
+	100	10
+	86	38
+	82	58
+	90	34
+	109	4
+	85	45
+	101	5
+	125	2
+	88	29
+	98	12
+	124	1
+	121	1
+	28	3
+	99	7
+	97	15
+	106	7
+	115	3
+	117	1
+	103	4
+	92	27
+	110	4
+	107	3
+	104	8
+	112	1
+	102	1
+	130	1
+	108	4
+	122	2
+	114	2
+	111	3
+	137	1
+	27	2
+	120	3
+	113	1
-	47	1877
-	39	2156
-	31	3332
-	45	1929
-	37	2550
-	41	2041
-	52	1245
-	46	1934
-	36	2566
-	43	2318
-	56	878
-	81	51
-	61	509
-	113	2
-	40	2206
-	38	2457
-	59	657
-	78	97
-	63	404
-	32	3313
-	89	35
-	68	316
-	57	737
-	30	3340
-	48	1636
-	55	886
-	72	183
-	76	143
-	50	1459
-	74	159
-	33	2891
-	34	2903
-	42	2447
-	70	249
-	51	1306
-	69	268
-	35	2781
-	53	1095
-	54	941
-	64	487
-	58	685
-	99	9
-	62	475
-	49	1539
-	44	2221
-	96	14
-	65	459
-	91	34
-	67	375
-	66	369
-	87	28
-	71	236
-	60	505
-	73	193
-	77	113
-	80	79
-	90	39
-	95	15
-	75	120
-	29	29
-	85	42
-	82	51
-	88	34
-	98	11
-	84	36
-	86	34
-	83	45
-	79	76
-	111	1
-	97	13
-	28	3
-	93	18
-	110	5
-	94	12
-	101	6
-	105	5
-	106	3
-	92	18
-	100	5
-	103	5
-	108	4
-	139	1
-	116	2
-	102	6
-	140	1
-	109	4
-	127	1
-	114	2
-	120	1
-	131	1
-	135	1
-	125	1
-	121	1
-	112	1
-	129	1
-	107	1
