pos	3pG>A
1	0.189781436275901
2	0.134441429217549
3	0.0899795501022495
4	0.0805978898007034
5	0.061715762830524
6	0.0592382823787782
7	0.0491976104017805
8	0.045987947986045
9	0.0367613376087952
10	0.0346934071000461
11	0.0333652618135377
12	0.0280235146395754
13	0.0276030747728861
14	0.0255684851072916
15	0.0249088007295942
16	0.0243425217241181
17	0.021404754221792
18	0.0209910529938059
19	0.0225668325425298
20	0.0209692199881408
21	0.0211015939644903
22	0.0188220304627324
23	0.0211464147702877
24	0.0195015001153935
25	0.0200499762018087
