# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/actinomyces_dentalis/mapDamage2_dsLibs/input/GOY005.A0101.SG1.2_5M.mapped_a_dentalis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/actinomyces_dentalis/input/GCF_000429225.1_ASM42922v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	32	1796
+	76	79
+	34	1490
+	46	585
+	35	1400
+	84	11
+	44	680
+	48	432
+	38	1026
+	67	83
+	30	1930
+	42	953
+	49	392
+	36	1213
+	52	293
+	39	763
+	55	228
+	43	817
+	45	622
+	40	794
+	31	1957
+	61	105
+	37	1083
+	51	318
+	89	9
+	66	87
+	33	1613
+	50	345
+	41	697
+	47	483
+	78	28
+	59	134
+	85	14
+	80	22
+	54	216
+	71	59
+	58	135
+	53	251
+	72	64
+	60	115
+	100	5
+	73	42
+	65	95
+	68	65
+	57	153
+	56	170
+	133	1
+	64	114
+	62	89
+	70	74
+	28	5
+	69	62
+	86	13
+	63	63
+	77	21
+	98	5
+	95	14
+	74	43
+	75	39
+	103	3
+	87	13
+	93	7
+	102	4
+	83	15
+	88	8
+	97	5
+	92	11
+	130	5
+	121	1
+	79	22
+	81	16
+	82	18
+	29	13
+	96	5
+	115	2
+	99	6
+	112	2
+	108	2
+	91	6
+	107	1
+	134	1
+	90	7
+	113	2
+	114	3
+	118	4
+	104	5
+	136	1
+	129	1
+	109	2
+	105	2
+	126	2
+	94	8
+	119	1
+	124	1
+	111	1
+	140	1
+	117	2
+	101	1
+	120	1
-	32	1774
-	31	1923
-	34	1510
-	35	1344
-	33	1615
-	55	240
-	38	994
-	58	147
-	30	1962
-	60	115
-	44	713
-	40	752
-	43	832
-	52	309
-	42	954
-	47	455
-	45	655
-	39	835
-	50	334
-	54	220
-	49	431
-	41	620
-	37	1145
-	36	1233
-	99	7
-	110	2
-	53	252
-	76	65
-	48	438
-	59	142
-	61	93
-	51	319
-	46	536
-	77	30
-	29	16
-	62	112
-	63	90
-	75	59
-	65	91
-	73	48
-	74	39
-	69	58
-	57	162
-	64	103
-	66	102
-	98	7
-	79	18
-	91	9
-	72	44
-	82	19
-	56	157
-	70	57
-	92	11
-	101	5
-	78	34
-	68	66
-	67	82
-	83	19
-	84	6
-	89	9
-	28	3
-	71	60
-	80	29
-	97	3
-	95	10
-	112	3
-	87	9
-	85	10
-	90	23
-	128	1
-	105	5
-	94	4
-	88	11
-	96	9
-	111	2
-	100	4
-	104	10
-	115	3
-	121	2
-	81	8
-	132	2
-	119	2
-	131	2
-	106	3
-	103	2
-	141	2
-	93	4
-	27	1
-	86	9
-	107	3
-	113	2
-	108	2
-	126	2
-	123	1
-	136	1
-	118	1
-	117	2
-	114	1
-	120	1
-	125	1
-	130	1
