"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.147615860730999,0.000102406132066503,0.388006610979519,0.424033067226604,0.423465740132942,4080.83300775546
"Std.",0.00122944905900676,0.000101105197201749,0.0122513692180851,0.0101383525168719,0.00445026530970801,1.69196843895407
"Acceptance ratio",0.17974,0.15938,0.22046,0.18766,0.20888,0.65256
"0%",0.143063556747869,2.94877721653463e-08,0.341689266752597,0.384473208239181,0.408069798293447,4069.60284202643
"2.5%",0.145176622431604,2.59282524409986e-06,0.364791192993674,0.404512197532848,0.414562834901283,4076.66355502435
"5%",0.145593037577484,4.9801544022852e-06,0.368185331516532,0.407912972665561,0.416097402428634,4077.60965563304
"7.5%",0.145836033112114,7.5798991623458e-06,0.370441006073824,0.409871994726964,0.417033130796868,4078.1698675934
"10%",0.146057951807065,1.03495295966824e-05,0.372391958140888,0.411188888431823,0.41772968275474,4078.56782601168
"12.5%",0.146187670932016,1.32072894197306e-05,0.374247742863134,0.41252805835291,0.4183641659538,4078.89269369607
"15%",0.146332330103835,1.66197445216818e-05,0.375476996765591,0.413648475547034,0.418906991317558,4079.15459643593
"17.5%",0.14647279251241,1.97654302169941e-05,0.376624832365569,0.414543605855161,0.41934950602219,4079.37307699724
"20%",0.146580293855261,2.2925773417254e-05,0.377722936630284,0.415493088276711,0.41980868240647,4079.57242239803
"22.5%",0.146684399505503,2.70797306844083e-05,0.378573486719632,0.416413966694038,0.420178667446796,4079.75869463329
"25%",0.146783788146656,3.04915685337806e-05,0.379696061113619,0.417120002002166,0.420500901513326,4079.94044749849
"27.5%",0.146900027665374,3.41609903199636e-05,0.38055798615194,0.417778169537493,0.420846640297294,4080.0909905949
"30%",0.146993585778696,3.78452722424709e-05,0.381412444372629,0.418563654333682,0.421159509964301,4080.24004358982
"32.5%",0.147067655734394,4.2536254567202e-05,0.38222221019474,0.419245560452445,0.421487981351787,4080.3741808146
"35%",0.14715675717294,4.7434856679664e-05,0.383025631154032,0.419794562377237,0.421811000105041,4080.50630186376
"37.5%",0.147245618804446,5.12146432474663e-05,0.383915242266255,0.420572924629808,0.422105452044068,4080.63393533254
"40%",0.147321476763794,5.57324160846201e-05,0.38469868094619,0.4212909028339,0.42240684755936,4080.75132930506
"42.5%",0.147396350043315,5.98170326033004e-05,0.38535121948502,0.421867247321947,0.422677206802407,4080.86233895656
"45%",0.147469362112214,6.35837406660946e-05,0.386122015949015,0.422477013025305,0.42292709653874,4080.97332555302
"47.5%",0.147538988463022,6.74316302973334e-05,0.386839840170128,0.423030385052368,0.423240021146098,4081.06951772056
"50%",0.14761047618641,7.16463581775402e-05,0.387622191599933,0.42370366999329,0.423509028058757,4081.17284224663
"52.5%",0.147685838893921,7.67354015914462e-05,0.388415940471644,0.424280467635573,0.423772001068686,4081.27045233288
"55%",0.147758530345211,8.25804037511963e-05,0.389126793344511,0.424934936130892,0.424045150658203,4081.35629695039
"57.5%",0.147836375375165,8.86988129381313e-05,0.389909425166039,0.425655109597321,0.424335854998382,4081.44877542352
"60%",0.147912279545949,9.49304279719498e-05,0.390626463810086,0.426322092114879,0.424599110437047,4081.54158094766
"62.5%",0.147986922157506,0.000100515080136182,0.391617779126954,0.426999125506671,0.424857478706517,4081.63252523515
"65%",0.148078174640831,0.000108242444539317,0.392445119488461,0.427665458262653,0.425153892470197,4081.71733607874
"67.5%",0.148153875294387,0.000114336841546287,0.393397697577601,0.428519631645695,0.425462403161261,4081.80060051261
"70%",0.148244589010205,0.000122257819015124,0.3943499808365,0.429338950175167,0.425773903748015,4081.88910744485
"72.5%",0.148340893204379,0.000130823182347285,0.39532184610384,0.430139257188919,0.426054337418983,4081.97829157221
"75%",0.148446994923972,0.000140394032191534,0.396180448817189,0.431004521346687,0.426387587735326,4082.06595965721
"77.5%",0.148550462272209,0.00015080532825871,0.39732462678641,0.43170833184978,0.426710892071957,4082.15016159185
"80%",0.148642770882888,0.000164842385825635,0.398384186074984,0.432656186602073,0.427128281695094,4082.24812468685
"82.5%",0.14877127666249,0.000179683341922003,0.399512647689168,0.433481901128498,0.427509016193431,4082.34312313038
"85%",0.148894796701285,0.000194135338400665,0.4008321947692,0.434677314041069,0.42798126890467,4082.44031903528
"87.5%",0.149026424333993,0.00021058352395191,0.402271559981777,0.43591466736713,0.428512880232672,4082.54991267381
"90%",0.149191078241356,0.000231208807700271,0.403961999887212,0.437261366116446,0.429168272551468,4082.66821400491
"92.5%",0.149364909153962,0.000261378176342428,0.405935485997999,0.438926234265893,0.429857316460784,4082.80632591152
"95%",0.149644567980293,0.000303165680762102,0.408692838656168,0.441133183431541,0.430849032373462,4082.9640359652
"97.5%",0.150009556234813,0.000372262380718702,0.412585187199868,0.444666172399503,0.432237231540474,4083.15251478122
"100%",0.152261274662878,0.000931456407498532,0.437900709259797,0.468322387317367,0.440397748079847,4083.74707256424
