pos	5pC>T
1	0.115743816185378
2	0.0625872661267802
3	0.0420711974110032
4	0.0481620718462824
5	0.0368055313056535
6	0.0439831867227109
7	0.0349280531299963
8	0.0334484570913732
9	0.0376474596482262
10	0.0335011860668359
11	0.032821483152609
12	0.0325618381952873
13	0.0309691574195182
14	0.0294261156776639
15	0.0312539919097296
16	0.0300806109461179
17	0.0323051583439395
18	0.0308011693428801
19	0.029147417051659
20	0.0315177706579241
21	0.0337434986680198
22	0.0308015989901115
23	0.0341467043594703
24	0.0339482773144638
25	0.0342213375121765
