pos	3pG>A
1	0.275361126649337
2	0.14768874126358
3	0.0706854453448459
4	0.0543624284583816
5	0.0415355357713863
6	0.0346518043543096
7	0.0317227385546316
8	0.0289540414670932
9	0.0273291016518192
10	0.0285299191864161
11	0.0295918367346939
12	0.0292746494383672
13	0.0305311736494435
14	0.0318492579623145
15	0.032360752355659
16	0.0324176915714002
17	0.0333059141499773
18	0.0315336749633968
19	0.0319713883168961
20	0.0296031283800649
21	0.0285999093792478
22	0.0290987030915102
23	0.0276632620437833
24	0.0279488394126007
25	0.0267999420541793
