"","Position","C.T","G.A"
"1",1,0.834531639967867,0.167013522150255
"2",2,0.680404613612922,0.17775982774129
"3",3,0.472506683704133,0.132732402168021
"4",4,0.274896421964003,0.0825293129232265
"5",5,0.139474369114686,0.0455462477414587
"6",6,0.0652420113036723,0.0234953041568841
"7",7,0.0293205564752332,0.0116633209774249
"8",8,0.0130050359212763,0.00561280915416632
"9",9,0.00580596098750042,0.00260559548635325
"10",10,0.00263081293371744,0.00117655654462319
"11",11,0.00121316033125392,0.000527509133832023
"12",12,0.000572253389408531,0.0002427321082539
"13",-12,0.000262383831479927,0.000553750227028886
"14",-11,0.000570222307608499,0.00117285919520775
"15",-10,0.00127455833561348,0.00253804636665178
"16",-9,0.00284285572642725,0.00558095130667005
"17",-8,0.006153618825902,0.0124966472398175
"18",-7,0.012824593622964,0.0282574378141072
"19",-6,0.025646452982805,0.0634022755464979
"20",-5,0.048588876040678,0.137289294830116
"21",-4,0.0859473346982162,0.27329985490776
"22",-3,0.137441521100899,0.471504859311597
"23",-2,0.188587506142319,0.679454720893924
"24",-1,0.195301581547217,0.833855559589905
