"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.12181434190255,5.90743913137029e-06,0.999483503885066,0.589126227984426,0.294727324163319,15524.3319433853
"Std.",0.000524809771619107,5.77336147818086e-06,0.000509710915341943,0.00161527246166165,0.00178903811030416,1.86520519331707
"Acceptance ratio",0.1889,0.14446,0.17542,0.23166,0.1949,0.64506
"0%",0.119619813502783,4.91261438692546e-10,0.994981741557737,0.582876289724219,0.287549116882179,15509.8385283988
"2.5%",0.120784652182989,1.47598721185939e-07,0.998149080727961,0.585965596700325,0.291231348031461,15519.7999120982
"5%",0.120936642116798,3.16464271696787e-07,0.998471002662263,0.586458374183485,0.291775321297146,15520.8098034758
"7.5%",0.121054711632352,5.38205326188325e-07,0.998670360232953,0.586799530409036,0.292128738345436,15521.4352169515
"10%",0.121152258512666,6.80323366239379e-07,0.998815891412624,0.587047546554686,0.292411776312198,15521.8580146001
"12.5%",0.12122602219349,8.6225819931252e-07,0.998926260405891,0.587256759747506,0.292651504495571,15522.1997746021
"15%",0.121283126921691,1.07836229678635e-06,0.999024200751276,0.587439624069576,0.292853295311518,15522.4901875935
"17.5%",0.121332331567372,1.24668005678471e-06,0.999106795344035,0.587596204312305,0.293059095874146,15522.7346706864
"20%",0.121381487476912,1.4623665148498e-06,0.999173138746641,0.587782755397504,0.293245229546656,15522.9517508048
"22.5%",0.121417928545463,1.64340900733162e-06,0.999232010521845,0.587922922842778,0.293412535775989,15523.1320101373
"25%",0.121465244980678,1.82531656746089e-06,0.999289357204809,0.588041331462067,0.293565324556631,15523.3223161026
"27.5%",0.121506088837143,1.99464101570935e-06,0.999337264560221,0.588164532046508,0.293709349908518,15523.4818322191
"30%",0.121543533816681,2.20604066470411e-06,0.999379229851343,0.588282457219923,0.293819314632487,15523.6404318029
"32.5%",0.121577911019232,2.35924673939586e-06,0.999420300817761,0.588403657439524,0.29396004914747,15523.7914142934
"35%",0.121614735997777,2.57706037331698e-06,0.999457788177419,0.588511959862796,0.294065790432395,15523.9367367558
"37.5%",0.121648425293244,2.83754515502989e-06,0.999492108336522,0.588618202524084,0.294190333646164,15524.0722805909
"40%",0.121686217889024,3.07958046503864e-06,0.999522373955124,0.588722022992563,0.294291975943541,15524.1871203403
"42.5%",0.121714915297279,3.31791096807345e-06,0.999555807840977,0.588843442296175,0.294406674079651,15524.3111509192
"45%",0.121743119407884,3.57957919112635e-06,0.999587390268946,0.588946465271999,0.294516755221032,15524.4328862424
"47.5%",0.121779036337304,3.86896615878901e-06,0.99961310949137,0.589034875508667,0.29462502051201,15524.5427341109
"50%",0.121809166042694,4.1018286449935e-06,0.999638181552654,0.58912916497112,0.294739387811027,15524.6573077273
"52.5%",0.121839006755041,4.35641091285551e-06,0.999660651226912,0.589208870316331,0.294840010520955,15524.7671249589
"55%",0.121871274619003,4.71820731760769e-06,0.999686276265026,0.5893113516061,0.294939336240797,15524.8752145449
"57.5%",0.121906954298312,5.06483578377004e-06,0.999713572810433,0.589422746256222,0.29506897015665,15524.9829665003
"60%",0.121941045848055,5.40347025922286e-06,0.999730856313744,0.589535877945969,0.295189366245973,15525.0848189192
"62.5%",0.121974532241372,5.8275733671341e-06,0.999748075323274,0.5896547501319,0.29530212072515,15525.1821557489
"65%",0.122013689192034,6.26551429870134e-06,0.999772157056087,0.589749990913699,0.295417095658267,15525.2867307775
"67.5%",0.12204649460028,6.69003823041884e-06,0.999793387916087,0.589874501702406,0.295532486497975,15525.3891641169
"70%",0.122088123601127,7.14722293088426e-06,0.999811028116816,0.589984947411608,0.295659602764206,15525.4894025403
"72.5%",0.122121565815241,7.60302573935539e-06,0.999830842070723,0.590101646751997,0.295796431686043,15525.5932118014
"75%",0.122162384691002,8.24883050481915e-06,0.999849215358693,0.590234534639731,0.295923900222038,15525.6916963306
"77.5%",0.122207961329934,8.91267357421896e-06,0.999864064238546,0.59037482911136,0.296073308748092,15525.7983631443
"80%",0.12225407306693,9.53493022709323e-06,0.999878111841591,0.59050967080519,0.296233244458677,15525.9086760495
"82.5%",0.12229870713016,1.0265776026981e-05,0.999892140419891,0.590648494975599,0.296377326452238,15526.0210098967
"85%",0.122357268194705,1.11365000744576e-05,0.999907470178585,0.590795906322223,0.29656157611796,15526.1418986908
"87.5%",0.122416596092039,1.21643202310394e-05,0.999925130717137,0.590960249475089,0.296775404218112,15526.2628354071
"90%",0.122488498627391,1.34084422093459e-05,0.999939860273091,0.591182693571696,0.297010388159385,15526.4041341739
"92.5%",0.122565038357749,1.50564095081806e-05,0.999953972555201,0.591431937715512,0.297265589308874,15526.5534930485
"95%",0.122681199056882,1.74296511002598e-05,0.99996841782939,0.591778637414014,0.297654864268681,15526.7395256297
"97.5%",0.122840799808164,2.12884231404923e-05,0.999983909597924,0.592276462541663,0.298235482473646,15526.9661778142
"100%",0.124066935534689,5.1203245886857e-05,0.999999953061362,0.594952070489818,0.301865956544146,15527.7362616856
