pos	3pG>A
1	0.235745960492912
2	0.124184907764284
3	0.0675739146143193
4	0.0520830751691492
5	0.043652597591822
6	0.0379227749840107
7	0.0331639009318782
8	0.0301038062283737
9	0.0284577798512044
10	0.0268957097581729
11	0.0255269863331017
12	0.0256530948458461
13	0.0250851079690878
14	0.0249230984340045
15	0.0237578610569674
16	0.0242421994758443
17	0.0237332370177912
18	0.0218644109717791
19	0.0209509951414408
20	0.0205326119907656
21	0.0199016652665909
22	0.0201015001675125
23	0.0203334115989669
24	0.0185295875672445
25	0.0188639068077911
