pos	5pC>T
1	0.251770624186395
2	0.122163777644949
3	0.0624692451530361
4	0.0517376370157095
5	0.0421520412395568
6	0.0371405700054637
7	0.0324774568240868
8	0.029505241686827
9	0.0277397561312521
10	0.0272204311271256
11	0.0252582552098883
12	0.0251148429851645
13	0.024618320610687
14	0.0259701492537313
15	0.0242145287172303
16	0.0237578526556254
17	0.0232385246294786
18	0.0228054753233706
19	0.0219125772883028
20	0.0223766901542563
21	0.0194660035666742
22	0.0198147392058793
23	0.0191841314655952
24	0.019077499177694
25	0.0188833734199887
