"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.12436962485467,1.89369866782833e-06,0.999663063577276,0.60597442478816,0.243710911426846,28960.6437292974
"Std.",0.000400093021267327,1.88152911053427e-06,0.000334668203445392,0.0013099524750827,0.00116483736021772,1.87761478721563
"Acceptance ratio",0.28534,0.18342,0.11556,0.18946,0.25926,0.69
"0%",0.122926434468342,2.52883429964824e-10,0.996788581100182,0.600645686780032,0.239342020795537,28945.8251895637
"2.5%",0.123597222565081,4.79903945890211e-08,0.998746484808659,0.603406835703839,0.241452854737094,28956.1132047001
"5%",0.123715691212544,9.9886629408419e-08,0.998978639499155,0.603854852730305,0.241812076812381,28957.049828931
"7.5%",0.123798154473789,1.40993248489001e-07,0.999127020442548,0.604124801483687,0.242048059697733,28957.6735654993
"10%",0.123862273901839,1.96714471494027e-07,0.999238619498721,0.604334633559902,0.242236187248888,28958.1175377882
"12.5%",0.12391370594725,2.52467264205227e-07,0.999317893856941,0.604455669189507,0.242381062037692,28958.471859981
"15%",0.123953158979436,3.17117706576368e-07,0.999374085343909,0.604598703467121,0.24249849211504,28958.7725946013
"17.5%",0.123991518954937,3.90281411669567e-07,0.999426591128312,0.604720747216916,0.242619744535379,28959.0154667237
"20%",0.124032084520897,4.52075932299043e-07,0.999465174061858,0.604862270107269,0.242721325294786,28959.2501607195
"22.5%",0.124067763161096,5.07530605106966e-07,0.999504583689943,0.604983946582955,0.242814545082169,28959.4447802769
"25%",0.124094276578699,5.62286645929822e-07,0.99953802320451,0.605107776714484,0.24290536892992,28959.6251841577
"27.5%",0.124125272513211,6.26243212133682e-07,0.999565828982173,0.605205190772831,0.242981482157461,28959.7965118243
"30%",0.124152106401187,6.94726268461717e-07,0.999598927560691,0.605296142936165,0.243086294129998,28959.9548996831
"32.5%",0.124180798907144,7.63357185326789e-07,0.99962124676268,0.605382961284997,0.243161352214489,28960.1013602765
"35%",0.124208161407803,8.38472929627894e-07,0.999643092211005,0.605466598070696,0.243237984867069,28960.2415222186
"37.5%",0.124233573311711,9.06119942961128e-07,0.999671544242958,0.605550301516963,0.243328216937312,28960.3734102058
"40%",0.124260494581316,9.8685543226052e-07,0.999693754426353,0.605627421869381,0.243406875985845,28960.5040911193
"42.5%",0.1242850467551,1.06112743312441e-06,0.999712280771352,0.605710172519192,0.243482700775436,28960.6296301106
"45%",0.124313352262527,1.14782326244899e-06,0.999733177988407,0.605788857522933,0.243561529935746,28960.7552678076
"47.5%",0.124338874353467,1.21676128728506e-06,0.999748753648057,0.605865267969459,0.243631144015382,28960.8624848477
"50%",0.124367355136803,1.29305306705586e-06,0.999765540926032,0.605949594016794,0.243700638727814,28960.9723533469
"52.5%",0.1243937512102,1.39088848829469e-06,0.999779012459537,0.606021918433837,0.243779537852486,28961.0859084244
"55%",0.124420983689081,1.48447371987748e-06,0.99979572394892,0.606116296316634,0.243840870332731,28961.195502085
"57.5%",0.124449441377237,1.58777870744787e-06,0.999805694197339,0.606210820106094,0.243917536167394,28961.3023250564
"60%",0.124476664999993,1.69893337482453e-06,0.999818587955151,0.606292545731116,0.243998764454082,28961.4044955472
"62.5%",0.124503096655912,1.83545422975818e-06,0.99983170020895,0.606358730211502,0.244078712263627,28961.5017163161
"65%",0.124529391462925,1.97594867321047e-06,0.999844545491009,0.606462554174236,0.244152655053875,28961.6013299532
"67.5%",0.124557333276375,2.09773671227172e-06,0.999857536576461,0.60654656868765,0.244227771124446,28961.7001737742
"70%",0.124583994714128,2.2699499610247e-06,0.999873835682755,0.60664536345064,0.244306166284392,28961.8088039175
"72.5%",0.12461373776482,2.41521641763696e-06,0.999884608418927,0.606740529768175,0.244394754111929,28961.9018565689
"75%",0.124644265060031,2.58717043351155e-06,0.999898828526163,0.606857665365285,0.244488388579284,28962.0056638026
"77.5%",0.124678574786403,2.77820835797389e-06,0.9999129704484,0.606982849194492,0.244589528197308,28962.1148555488
"80%",0.124712724048742,3.03734124686895e-06,0.999924461442234,0.607104935775863,0.244699636726546,28962.2362569588
"82.5%",0.124748647382312,3.31063893258575e-06,0.999935130114995,0.607229020545191,0.244804498280287,28962.3540955794
"85%",0.124789862865207,3.63350951507343e-06,0.999945248920812,0.607357612248536,0.244931614001528,28962.4773862567
"87.5%",0.124830887403375,3.98803520762027e-06,0.999955064505837,0.607508234736145,0.245075711972165,28962.6027335066
"90%",0.124877826358934,4.40363304921071e-06,0.999963246729873,0.607674005313846,0.245239151072261,28962.7460510648
"92.5%",0.124943047579336,4.92959555179502e-06,0.999972561084728,0.607857906601753,0.245424214586974,28962.8903247244
"95%",0.125024409516183,5.74845591009803e-06,0.999981828198547,0.608167359245997,0.245658982548979,28963.0763545861
"97.5%",0.125150121240785,7.02254606690342e-06,0.99999225200246,0.608600112838173,0.245985607068975,28963.3168859171
"100%",0.125819453179148,2.03470427266882e-05,0.999999939360441,0.611260391176206,0.24816187523408,28964.0944195583
