"","Position","C.T","G.A"
"1",1,0.781922980847637,0
"2",2,0.549861999548271,0
"3",3,0.293892295678357,0
"4",4,0.1242339648766,0
"5",5,0.0461517749729243,0
"6",6,0.016268960512601,0
"7",7,0.00565525477026904,0
"8",8,0.00198647744656312,0
"9",9,0.000730247966747294,0
"10",10,0.000301490183976837,0
"11",11,0.000155312420022613,0
"12",12,0.000105493387216133,0
"13",-12,0.000105493387216133,0
"14",-11,0.000155312420022613,0
"15",-10,0.000301490183976837,0
"16",-9,0.000730247966747294,0
"17",-8,0.00198647744656312,0
"18",-7,0.00565525477026904,0
"19",-6,0.016268960512601,0
"20",-5,0.0461517749729243,0
"21",-4,0.1242339648766,0
"22",-3,0.293892295678357,0
"23",-2,0.549861999548271,0
"24",-1,0.781922980847637,0
