# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/mapDamage2_ssLibs/input/BAN001.A0102.SG1.4_5M.mapped_a_kilianii_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/input/GCF_963519225.1_ERR9968767_bin.6_MetaWRAP_v1.3_MAG_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	32	5
+	55	1
+	42	3
+	38	2
+	36	2
+	30	9
+	39	2
+	34	5
+	35	4
+	40	1
+	31	4
+	37	1
+	33	2
+	58	1
+	67	1
-	35	2
-	32	1
-	47	2
-	30	11
-	46	1
-	33	5
-	34	3
-	38	1
-	31	8
-	41	1
-	37	2
-	28	1
-	29	1
-	44	1
-	42	1
-	53	1
-	39	1
-	36	1
