"","Position","C.T","G.A"
"1",1,0.934245564766217,0
"2",2,0.909093388392313,0
"3",3,0.876547490807382,0
"4",4,0.836336198200538,0
"5",5,0.78936589554177,0
"6",6,0.737817788020689,0
"7",7,0.684741392125991,0
"8",8,0.633316308469023,0
"9",9,0.586152578881412,0
"10",10,0.544904173783369,0
"11",11,0.510237807254712,0
"12",12,0.482036651971319,0
"13",-12,0,0.485074343447896
"14",-11,0,0.513306048972429
"15",-10,0,0.547977136554104
"16",-9,0,0.589185987981411
"17",-8,0,0.636246101189861
"18",-7,0,0.687488230916583
"19",-6,0,0.740299206361657
"20",-5,0,0.791514151618287
"21",-4,0,0.838115081460097
"22",-3,0,0.877959636365992
"23",-2,0,0.910174508509938
"24",-1,0,0.935050141628213
