"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.100425748083482,0.0447323028551483,0.675809276243193,0.317257725126916,0.344418859885275,-343.373794603215
"Std.",0.00962545452415091,0.0179807075097963,0.134216868118824,0.0919925282067103,0.0482834145478695,1.50525402029922
"Acceptance ratio",0.21522,0.17332,0.16858,0.1665,0.16406,0.62124
"0%",0.0680649673316141,2.11136644907321e-05,0.286026352069073,0.0891175841328839,0.207754853188332,-354.900300093055
"2.5%",0.082345436411234,0.00714191867645877,0.443650551264091,0.16976022845342,0.259724410377032,-347.050016409807
"5%",0.0846496804573586,0.0123314708069894,0.474159754526632,0.187831569029273,0.272905582088837,-346.264044571079
"7.5%",0.086747168767079,0.0160637107168004,0.493333511003977,0.1987050164675,0.279734102630334,-345.779872981859
"10%",0.0880967014275245,0.0195771441912867,0.509921889723769,0.207514621705236,0.285567386268364,-345.413965542193
"12.5%",0.0893656361742057,0.0225344677319968,0.524669951740754,0.215082913227179,0.29065675937356,-345.127896069517
"15%",0.0903899928954567,0.0247371320525893,0.537726997337039,0.223029487150326,0.295953985524493,-344.880408706785
"17.5%",0.0913217828245913,0.027290089458227,0.548198151460989,0.229343812743598,0.299621947210778,-344.679188854466
"20%",0.0921918657874346,0.0293678284756179,0.559491246203156,0.236241526386816,0.303243843453827,-344.484576672634
"22.5%",0.0930102099136271,0.0312528891639574,0.569122602644362,0.241074950727266,0.307371662700304,-344.306507583136
"25%",0.0937865841744008,0.0329340978624536,0.578129221281436,0.247937302936518,0.310377467041899,-344.15591811382
"27.5%",0.0945290157581432,0.0344292882133945,0.585835559433802,0.25421862409266,0.313737714536568,-344.017520340591
"30%",0.0952607778682661,0.0359185876996203,0.595952122198009,0.259453695737148,0.316588668134116,-343.89362474126
"32.5%",0.095986195307732,0.0373236671069998,0.604063994592185,0.265494689427174,0.319758457142338,-343.769234991945
"35%",0.0965121596240189,0.038720576082617,0.610121229101552,0.27208522220178,0.32337361731872,-343.647847876526
"37.5%",0.0971740843756127,0.0401071509189638,0.618720581299737,0.277291907310716,0.3267647968553,-343.542742304827
"40%",0.0977646634987572,0.04122509773145,0.627526296995659,0.282687873418543,0.329643261608273,-343.438259108097
"42.5%",0.0983851067379176,0.0424808871955075,0.636477188832366,0.288630089505725,0.332797080835894,-343.35105436215
"45%",0.0990298029866754,0.043604706843979,0.645418348349385,0.293884155764573,0.335514545913271,-343.260502449163
"47.5%",0.0996699125343963,0.0448777525407338,0.654196766813093,0.299657737622075,0.338403909334294,-343.163687090859
"50%",0.100307485908308,0.0461112540326104,0.662195826347219,0.305832366517568,0.340603987414373,-343.078729880289
"52.5%",0.100886281860676,0.0472575921340091,0.66991944729449,0.312012454053084,0.343160985926727,-342.99370959934
"55%",0.101465532738289,0.0483100421273358,0.680180329749502,0.31822466183114,0.345614730605314,-342.91070633971
"57.5%",0.1020827316661,0.0492815772379145,0.689527385710855,0.324196573674689,0.348508577931865,-342.826079655923
"60%",0.10276165097088,0.0503559778845456,0.698787794151843,0.331024937013652,0.351884801490344,-342.747236560014
"62.5%",0.103359351162377,0.0514568605635344,0.707864884003287,0.337383190408505,0.355934176417871,-342.664686115173
"65%",0.103971614305189,0.0523925625570229,0.719153960768738,0.345513291545282,0.358927447747776,-342.584672284813
"67.5%",0.104622394926674,0.0535982181381727,0.730538875825358,0.353273527559835,0.361500582599015,-342.503012213459
"70%",0.105343011418041,0.0548170974408106,0.741532935964066,0.360195242426758,0.365317505217076,-342.425080047452
"72.5%",0.106058227263356,0.0560400438942012,0.754258679546441,0.366757319454078,0.369010184368534,-342.343193949267
"75%",0.106760757720839,0.0573047680008337,0.76636199471341,0.375626944730711,0.373368600018678,-342.258233974048
"77.5%",0.107530959794888,0.0586499010946398,0.779437531278932,0.385502486882215,0.37746174569797,-342.181130791528
"80%",0.108346190031366,0.0599681802380311,0.795451734407178,0.395237707613988,0.38340474896824,-342.102745319877
"82.5%",0.10921955967442,0.0614503062146747,0.810534041425122,0.405672737614654,0.388266827790493,-342.00985121274
"85%",0.110130018568493,0.0631508280906649,0.825031210800399,0.416873398174016,0.395416707467516,-341.919788850536
"87.5%",0.111483434826905,0.0652719029263887,0.846036876052059,0.428795495577972,0.402367843163487,-341.828801336454
"90%",0.11283182724853,0.0671515938467798,0.869774600588468,0.444321611731598,0.410378762135318,-341.732030411244
"92.5%",0.114277360075205,0.0694867069396606,0.893846659429038,0.460837880179449,0.418238011713564,-341.627605339555
"95%",0.116502190662118,0.0726169734771786,0.924611177497228,0.484473721044475,0.429615490866091,-341.509018152765
"97.5%",0.119946598923292,0.0775488059211152,0.959538759230223,0.520912642101472,0.450471101588302,-341.359903651926
"100%",0.141604976064206,0.111722591039165,0.999854723756564,0.728033176559669,0.650694225870084,-340.989032543682
