pos	5pC>T
1	0.350923482849604
2	0.217171717171717
3	0.145021645021645
4	0.169980119284294
5	0.10873786407767
6	0.137154554759468
7	0.110787172011662
8	0.103206412825651
9	0.0851485148514852
10	0.0735849056603774
11	0.0793499043977055
12	0.0661157024793388
13	0.0561904761904762
14	0.0613254203758655
15	0.0534979423868313
16	0.049665711556829
17	0.0652395514780836
18	0.0601357904946654
19	0.0553846153846154
20	0.059396299902629
21	0.0508149568552253
22	0.0445075757575758
23	0.049163179916318
24	0.0526819923371648
25	0.058933582787652
