"","Position","C.T","G.A"
"1",1,0.955312047968336,0.651997698370951
"2",2,0.940201970495832,0.689977777119212
"3",3,0.921287591858459,0.690481543701678
"4",4,0.898624503085562,0.670465666261284
"5",5,0.872461919074827,0.637897725231995
"6",6,0.844017721670563,0.592582940269723
"7",7,0.810888132388661,0.55855421188341
"8",8,0.773410655193274,0.53443734800449
"9",9,0.73398644243857,0.512486364264547
"10",10,0.697375735425966,0.483597273526994
"11",11,0.667680603118763,0.444004315212005
"12",12,0.654520416505617,0.367292830803652
"13",-12,0.500936221005473,0.598186979228168
"14",-11,0.484170605984024,0.653353401176001
"15",-10,0.47593711491152,0.701582900371652
"16",-9,0.475093125954608,0.74547537615265
"17",-8,0.488018077798611,0.784464259514155
"18",-7,0.5098807871181,0.819984738448789
"19",-6,0.533564965745409,0.85245139539498
"20",-5,0.570070781223206,0.88022675301858
"21",-4,0.591861752502926,0.905184563128495
"22",-3,0.596639747635738,0.926425903713093
"23",-2,0.60841664024161,0.943127440789195
"24",-1,0.62980058629264,0.956162791649462
