# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/mapDamage2_ssLibs/input/FUM002.A0102.SG1.5_5M.mapped_a_kilianii_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/input/GCF_963519225.1_ERR9968767_bin.6_MetaWRAP_v1.3_MAG_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	81	3
+	32	122
+	30	151
+	53	21
+	31	148
+	48	30
+	37	79
+	38	91
+	42	61
+	41	68
+	45	37
+	46	29
+	34	105
+	73	2
+	43	62
+	57	12
+	40	58
+	44	47
+	49	22
+	50	27
+	87	1
+	54	11
+	33	138
+	39	63
+	35	94
+	36	100
+	58	4
+	67	6
+	55	13
+	82	1
+	56	11
+	77	1
+	86	1
+	88	1
+	47	20
+	51	19
+	52	18
+	59	7
+	64	4
+	62	9
+	60	4
+	63	4
+	71	2
+	66	5
+	61	5
+	79	3
+	65	6
+	69	1
+	68	3
+	84	1
+	76	2
+	75	1
+	90	1
+	93	2
+	29	1
-	43	53
-	35	91
-	33	125
-	44	41
-	34	101
-	45	40
-	36	96
-	50	30
-	40	62
-	42	56
-	30	130
-	63	3
-	38	74
-	39	59
-	53	13
-	37	76
-	68	4
-	57	10
-	32	144
-	56	19
-	48	27
-	49	25
-	47	31
-	31	133
-	52	17
-	59	12
-	84	2
-	55	8
-	46	36
-	58	7
-	41	48
-	88	1
-	54	17
-	73	4
-	70	2
-	65	4
-	60	11
-	51	25
-	29	2
-	67	2
-	62	2
-	66	3
-	61	6
-	72	1
-	77	2
-	69	3
-	64	5
-	94	1
-	87	1
-	82	1
-	75	1
-	80	2
-	90	1
-	79	1
-	83	1
-	74	1
-	78	1
-	108	1
-	71	1
-	100	1
-	76	1
