pos	3pG>A
1	0.460089686098655
2	0.302191464821223
3	0.188129899216125
4	0.137435897435897
5	0.128687690742625
6	0.0950495049504951
7	0.0819437827536922
8	0.0790878214459
9	0.0609636184857424
10	0.0380722891566265
11	0.0527831094049904
12	0.0510879848628193
13	0.050383877159309
14	0.0447690857681433
15	0.0358851674641148
16	0.0414483087184374
17	0.0398126463700234
18	0.034171808258187
19	0.041213768115942
20	0.033256351039261
21	0.0331730769230769
22	0.032258064516129
23	0.0332409972299169
24	0.0312049927988478
25	0.0305232558139535
