"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0718256492372676,0.034676585719144,0.997964827374999,0.279194441442959,0.234213592535803,-1080.22445093162
"Std.",0.00142793782183163,0.00314323192100698,0.00206482488151136,0.0065980580289437,0.00711223860140516,1.73063750499895
"Acceptance ratio",0.26266,0.2434,0.1728,0.25734,0.20582,0.72694
"0%",0.0664165730734384,0.0211605793849744,0.979190977210505,0.252310191055364,0.206321666056006,-1091.1228597985
"2.5%",0.069058274253408,0.0284661576397693,0.992328409164625,0.266305012363436,0.220331000889017,-1084.49643085729
"5%",0.0694888959112717,0.0295029331937499,0.993799783668154,0.268310708187324,0.222577306541551,-1083.52798980343
"7.5%",0.0698033874095658,0.0301371456450079,0.994686410741921,0.269706851302355,0.223952247286986,-1082.96995210706
"10%",0.0700194372112081,0.0306441373461327,0.995315016301131,0.270678903371257,0.224972655004923,-1082.5513412381
"12.5%",0.0701964014817976,0.03101199527306,0.995757318109545,0.271494541886828,0.225819693208138,-1082.21144105579
"15%",0.0703552148187175,0.0313827712632439,0.99611541718065,0.272329140555611,0.226701515674156,-1081.93591953258
"17.5%",0.0705002563110116,0.0317137723308151,0.99640585168207,0.273005891136595,0.227537780174088,-1081.6974915276
"20%",0.0706386295970222,0.0320071230951232,0.996727731572865,0.273650487798548,0.228217542922002,-1081.48139668677
"22.5%",0.0707574293305645,0.0322660640075056,0.996977494281661,0.274202392742303,0.228796379356094,-1081.2885434638
"25%",0.0708639619881528,0.0325107165364363,0.997208896967629,0.274764971146707,0.229323598543879,-1081.1223040782
"27.5%",0.0709668804125514,0.0327678742088308,0.997372521840009,0.275247982667751,0.229874026332382,-1080.96939055618
"30%",0.0710682078812811,0.0330152266473125,0.997555908521482,0.275699384389672,0.230391436828933,-1080.83171903973
"32.5%",0.0711647061013521,0.0332294450798023,0.997729235915237,0.276222312990164,0.230907832836243,-1080.69424891894
"35%",0.0712640614170173,0.033481375258583,0.997875290869378,0.276619424369882,0.231385663442705,-1080.56392254432
"37.5%",0.0713547380886488,0.0336953405271725,0.99802141408982,0.277051227666953,0.231883976799866,-1080.43911872299
"40%",0.0714399169947664,0.0339141428965974,0.998152445084446,0.277517717529761,0.232423593070858,-1080.31690468668
"42.5%",0.0715231175874031,0.0341328405730509,0.998282141997896,0.277923119938185,0.232917748871009,-1080.20097262723
"45%",0.0716124756682294,0.0343336874753174,0.998393449435593,0.278291153652692,0.233413680065699,-1080.08982075494
"47.5%",0.071695277592517,0.0345269494267235,0.998495922363706,0.278776793514316,0.233859772390488,-1079.9853836935
"50%",0.0717842013643399,0.03472486224291,0.998598093158761,0.279192566176086,0.234258695566239,-1079.88922967744
"52.5%",0.0718861168011627,0.034932274522222,0.998701035271337,0.279588452158965,0.234662461952398,-1079.7888055275
"55%",0.0719748364935197,0.0351121131199108,0.998802767956932,0.280045950586909,0.235067936583228,-1079.69415795701
"57.5%",0.0720751407480412,0.0352895105197884,0.998896842731933,0.280466440600542,0.235548338311819,-1079.60158099736
"60%",0.0721682629778857,0.0355141550624287,0.99897702588457,0.280870204233813,0.236031360966047,-1079.5074577602
"62.5%",0.0722627041243103,0.0357281205924496,0.999056958155063,0.281271082013998,0.23651832304164,-1079.42288673603
"65%",0.0723569391524066,0.035936167296037,0.999148222209687,0.281757368811664,0.236993230960387,-1079.32381482205
"67.5%",0.0724525203659166,0.0361351908247975,0.999217043217529,0.282236832573698,0.237434682916737,-1079.23365307579
"70%",0.0725589460117493,0.0363733040882937,0.999292574341505,0.282682190827851,0.237899103405038,-1079.14349666156
"72.5%",0.0726740278607814,0.0366013602793055,0.999364741858514,0.283158000908291,0.238481180670176,-1079.05159336169
"75%",0.072786028263463,0.0368501068945529,0.999443107276968,0.28363690013531,0.239013909216052,-1078.9559166148
"77.5%",0.0729010310906084,0.0370987427047014,0.999508658701141,0.284126582032654,0.23959883814912,-1078.86169224148
"80%",0.0730359146956031,0.0373274091873544,0.999560882901196,0.284711406347331,0.240225217288311,-1078.76566842473
"82.5%",0.0731647346692897,0.0376247358848852,0.999626152257249,0.285317204414749,0.240951485496883,-1078.66731093937
"85%",0.0733084246216124,0.0379672055353634,0.999690827096847,0.285994444888248,0.24166003853212,-1078.56871338664
"87.5%",0.0734643820183409,0.0383167360233867,0.999734103627093,0.286760082024835,0.24247236492506,-1078.46338691041
"90%",0.0736559998643757,0.0386615506838638,0.999784882181267,0.287665205780205,0.243321662367263,-1078.34661742549
"92.5%",0.0738861324836445,0.0391411841719194,0.999847223009453,0.288639955548607,0.244446967624567,-1078.22047199417
"95%",0.0742329938567925,0.039751338942923,0.999903812668843,0.290068495150769,0.245827313946223,-1078.05723566826
"97.5%",0.0746988888957188,0.0406523143862869,0.999949235105811,0.292149786831224,0.248111352819723,-1077.86618013707
"100%",0.0779939951222872,0.0459758174341282,0.999999916273914,0.306629281637144,0.270196263664102,-1077.2658446957
