# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/out/FUM003.A0101.SG1.1_5M.mapped_a_kilianii_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/input/GCF_963519225.1_ERR9968767_bin.6_MetaWRAP_v1.3_MAG_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	30	327
+	45	111
+	54	50
+	35	228
+	87	4
+	106	1
+	43	158
+	36	257
+	50	88
+	32	326
+	41	143
+	34	262
+	57	38
+	49	97
+	100	5
+	64	30
+	52	73
+	33	319
+	51	74
+	56	44
+	53	55
+	31	321
+	44	141
+	38	186
+	47	91
+	39	170
+	60	16
+	88	5
+	67	11
+	48	107
+	46	106
+	42	148
+	62	14
+	77	12
+	63	24
+	76	23
+	40	139
+	80	7
+	37	179
+	74	12
+	59	31
+	72	15
+	61	18
+	29	3
+	65	26
+	83	3
+	94	3
+	81	9
+	66	19
+	55	55
+	141	1
+	58	33
+	79	6
+	75	8
+	118	3
+	84	3
+	68	19
+	93	3
+	115	2
+	89	4
+	102	2
+	113	4
+	70	19
+	116	2
+	73	7
+	71	6
+	69	15
+	122	1
+	82	4
+	96	1
+	128	1
+	78	6
+	86	8
+	97	2
+	109	3
+	99	1
+	90	3
+	124	2
+	98	2
+	85	5
+	95	1
+	91	1
+	110	1
+	112	1
+	92	1
+	133	1
+	126	2
+	130	1
+	108	1
+	107	1
+	103	1
+	125	1
-	30	317
-	75	13
-	43	162
-	34	272
-	36	222
-	81	7
-	44	148
-	38	182
-	35	246
-	45	109
-	37	205
-	48	83
-	33	290
-	47	99
-	32	297
-	71	18
-	73	10
-	39	160
-	31	347
-	58	23
-	40	162
-	55	42
-	68	13
-	74	12
-	51	60
-	66	25
-	57	42
-	46	103
-	42	151
-	52	65
-	41	147
-	94	3
-	60	35
-	50	57
-	93	2
-	54	49
-	53	52
-	72	12
-	98	3
-	85	5
-	84	5
-	112	1
-	67	24
-	49	80
-	70	15
-	56	40
-	108	1
-	64	21
-	97	6
-	65	17
-	62	25
-	110	2
-	80	8
-	59	32
-	109	3
-	82	9
-	78	7
-	89	6
-	61	27
-	88	3
-	86	4
-	76	15
-	77	12
-	63	20
-	69	14
-	79	8
-	90	2
-	100	5
-	87	6
-	103	1
-	118	3
-	99	1
-	92	2
-	29	1
-	105	1
-	83	4
-	117	1
-	111	1
-	96	3
-	104	2
-	133	1
-	119	1
-	102	1
-	28	1
-	141	1
-	114	1
