"","Position","C.T","G.A"
"1",1,0.802814226265288,0
"2",2,0.714356108133021,0
"3",3,0.64514031112924,0
"4",4,0.596995137826569,0
"5",5,0.564648425491624,0
"6",6,0.542952768751514,0
"7",7,0.528241442603159,0
"8",8,0.518102985182486,0
"9",9,0.510986026376945,0
"10",10,0.505893888868263,0
"11",11,0.502181089281777,0
"12",12,0.499424259416479,0
"13",-12,0.499424259416479,0
"14",-11,0.502181089281777,0
"15",-10,0.505893888868263,0
"16",-9,0.510986026376945,0
"17",-8,0.518102985182486,0
"18",-7,0.528241442603159,0
"19",-6,0.542952768751514,0
"20",-5,0.564648425491624,0
"21",-4,0.596995137826569,0
"22",-3,0.64514031112924,0
"23",-2,0.714356108133021,0
"24",-1,0.802814226265288,0
