# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/mapDamage2_ssLibs/input/GDN001.A0102.SG1.3_5M.mapped_a_kilianii_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/input/GCF_963519225.1_ERR9968767_bin.6_MetaWRAP_v1.3_MAG_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	30	4
+	29	4
+	31	7
+	52	1
+	43	1
+	35	1
+	34	2
+	32	3
+	37	1
+	45	1
+	49	1
+	33	4
+	60	1
-	32	2
-	31	4
-	37	2
-	47	1
-	30	3
-	45	1
-	34	2
-	36	1
-	35	3
-	41	1
-	33	1
