"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"1",0.0681910685228251,0.0548624875059587,0.78264522323017,0.265388444126712,0.232495927161498,-3089.66917654309
"2",0.0681910685228251,0.0548624875059587,0.793721853084733,0.265388444126712,0.232495927161498,-3089.5635314417
"3",0.0681910685228251,0.0548624875059587,0.793721853084733,0.265388444126712,0.232495927161498,-3089.5635314417
"4",0.0681910685228251,0.0548624875059587,0.791359434646374,0.265388444126712,0.232495927161498,-3088.98474803012
"5",0.0681910685228251,0.0548624875059587,0.791359434646374,0.265388444126712,0.232495927161498,-3088.98474803012
"6",0.0690019627306832,0.0548624875059587,0.791359434646374,0.265388444126712,0.232495927161498,-3091.37669494197
"7",0.0690019627306832,0.0548624875059587,0.791359434646374,0.265388444126712,0.230055984710863,-3091.23279711689
"8",0.0690019627306832,0.0548624875059587,0.791359434646374,0.265388444126712,0.230055984710863,-3091.23279711689
"9",0.0690019627306832,0.0548624875059587,0.791359434646374,0.266666787320788,0.230055984710863,-3090.28136439133
"10",0.0690019627306832,0.0536938742547484,0.791359434646374,0.266666787320788,0.230055984710863,-3090.71070869977
"11",0.0690019627306832,0.0536938742547484,0.791359434646374,0.266666787320788,0.230055984710863,-3090.71070869977
"12",0.0683912106901304,0.0536938742547484,0.791359434646374,0.266666787320788,0.230055984710863,-3091.0578186937
"13",0.0683912106901304,0.0536938742547484,0.791359434646374,0.266666787320788,0.232360023464491,-3089.54917912772
"14",0.0683912106901304,0.0536938742547484,0.791359434646374,0.266666787320788,0.232360023464491,-3089.54917912772
"15",0.0683912106901304,0.0536938742547484,0.803580112179576,0.266666787320788,0.232360023464491,-3090.11781525899
"16",0.0683912106901304,0.0536938742547484,0.803580112179576,0.266666787320788,0.232360023464491,-3090.11781525899
"17",0.0683912106901304,0.0536938742547484,0.803580112179576,0.266666787320788,0.232360023464491,-3090.11781525899
"18",0.0688426986665192,0.0536938742547484,0.803580112179576,0.266666787320788,0.232360023464491,-3091.07519949367
"19",0.0688426986665192,0.0536938742547484,0.803435558623679,0.266666787320788,0.232360023464491,-3091.01377126707
"20",0.0679866057513202,0.0536938742547484,0.803435558623679,0.266666787320788,0.232360023464491,-3090.81796479391
"21",0.0679866057513202,0.0536938742547484,0.803435558623679,0.266666787320788,0.232360023464491,-3090.81796479391
"22",0.0679866057513202,0.0540247642842522,0.803435558623679,0.266666787320788,0.236847353553661,-3090.96664981704
"23",0.0679866057513202,0.0540247642842522,0.803435558623679,0.266666787320788,0.236847353553661,-3090.96664981704
"24",0.0679866057513202,0.0540247642842522,0.803435558623679,0.266666787320788,0.236847353553661,-3090.96664981704
"25",0.0679866057513202,0.0540247642842522,0.801004488846172,0.268052715758325,0.231949492355758,-3090.38514861181
"26",0.0679866057513202,0.0540247642842522,0.801004488846172,0.268052715758325,0.233377688813203,-3089.49253690116
"27",0.0679866057513202,0.0540247642842522,0.798112447474052,0.268052715758325,0.233377688813203,-3089.41712066043
"28",0.0679866057513202,0.0540247642842522,0.798112447474052,0.268052715758325,0.236992516887499,-3090.14624027898
"29",0.0679866057513202,0.0540247642842522,0.798112447474052,0.268052715758325,0.236992516887499,-3090.14624027898
"30",0.0679866057513202,0.0540247642842522,0.798112447474052,0.268052715758325,0.237219239675851,-3090.33262613902
"31",0.0679866057513202,0.0540247642842522,0.794660242834978,0.268052715758325,0.233451515152822,-3089.9285476343
"32",0.0679866057513202,0.0540247642842522,0.801073280193783,0.268052715758325,0.233451515152822,-3089.47239183455
"33",0.0679866057513202,0.0540247642842522,0.801073280193783,0.266955123781353,0.233451515152822,-3089.33350850343
"34",0.0680700547403999,0.0540247642842522,0.801073280193783,0.266955123781353,0.232081910257683,-3089.84166973391
"35",0.0680700547403999,0.0540247642842522,0.801073280193783,0.26855887889911,0.234578417689596,-3089.45534884504
"36",0.0680700547403999,0.0540247642842522,0.801073280193783,0.266378729363896,0.234578417689596,-3089.29305563395
"37",0.0680700547403999,0.0540247642842522,0.801073280193783,0.266378729363896,0.234578417689596,-3089.29305563395
"38",0.0680700547403999,0.0540247642842522,0.801073280193783,0.268305969386522,0.234195493179081,-3089.28122414509
"39",0.0680700547403999,0.0540247642842522,0.801213972844041,0.268305969386522,0.232162945055722,-3090.02540725254
"40",0.0688750741485498,0.0540247642842522,0.801213972844041,0.268305969386522,0.231296177930802,-3090.09016971936
"41",0.0681724915954313,0.0540247642842522,0.801213972844041,0.267881914528048,0.231296177930802,-3090.17395253766
"42",0.0683811038106954,0.0540247642842522,0.801213972844041,0.267881914528048,0.231296177930802,-3089.65461768224
"43",0.0683811038106954,0.0540247642842522,0.801213972844041,0.266673413754565,0.231296177930802,-3089.85817257336
"44",0.0683811038106954,0.0540247642842522,0.801213972844041,0.266673413754565,0.231296177930802,-3089.85817257336
"45",0.0682536077655923,0.0540247642842522,0.793036365445737,0.266014527904336,0.231296177930802,-3088.86830462972
"46",0.0682536077655923,0.0540247642842522,0.793036365445737,0.266014527904336,0.231296177930802,-3088.86830462972
"47",0.0682536077655923,0.0540247642842522,0.793036365445737,0.266014527904336,0.231296177930802,-3088.86830462972
"48",0.0682536077655923,0.0540247642842522,0.793036365445737,0.266014527904336,0.231296177930802,-3088.86830462972
"49",0.0682536077655923,0.0540247642842522,0.793036365445737,0.266014527904336,0.231296177930802,-3088.86830462972
"50",0.0681956779895696,0.0540247642842522,0.792413734707467,0.266014527904336,0.231681727220929,-3088.76864301051
"51",0.0681956779895696,0.0540247642842522,0.792413734707467,0.266014527904336,0.231681727220929,-3088.76864301051
"52",0.0681956779895696,0.0540247642842522,0.792413734707467,0.266014527904336,0.231681727220929,-3088.76864301051
"53",0.0681956779895696,0.0540247642842522,0.792413734707467,0.266014527904336,0.234684805485249,-3088.11585980778
"54",0.0681956779895696,0.0540247642842522,0.792413734707467,0.266014527904336,0.234684805485249,-3088.11585980778
"55",0.0681759208015092,0.0540247642842522,0.792413734707467,0.266014527904336,0.23577362486897,-3088.57427229568
"56",0.0681759208015092,0.0540247642842522,0.792413734707467,0.266014527904336,0.23577362486897,-3088.57427229568
"57",0.0681759208015092,0.0540247642842522,0.792413734707467,0.266014527904336,0.23577362486897,-3088.57427229568
"58",0.0679494354205696,0.0540247642842522,0.792413734707467,0.266014527904336,0.23577362486897,-3088.42679125987
"59",0.0679494354205696,0.0540247642842522,0.792413734707467,0.266014527904336,0.234397004096142,-3088.24952613733
"60",0.0679494354205696,0.0548492906468957,0.798377343361176,0.266014527904336,0.234397004096142,-3090.19449053397
"61",0.0679494354205696,0.054542310137681,0.798377343361176,0.265729407247058,0.23658923736982,-3090.25427269542
"62",0.0679326557070434,0.054542310137681,0.798377343361176,0.265729407247058,0.23658923736982,-3090.22948493006
"63",0.0679326557070434,0.054542310137681,0.798377343361176,0.265729407247058,0.23658923736982,-3090.22948493006
"64",0.0679326557070434,0.054542310137681,0.798377343361176,0.265729407247058,0.23658923736982,-3090.22948493006
"65",0.0679326557070434,0.054542310137681,0.793980414985028,0.265729407247058,0.23658923736982,-3088.89243785419
