pos	3pG>A
1	0.0361515515782913
2	0.029686013320647
3	0.0241461149520173
4	0.0272005905148551
5	0.0232409834903989
6	0.024027298951664
7	0.0260542767318325
8	0.0228696967514226
9	0.0261137244050913
10	0.0230168957617411
11	0.0220659891410274
12	0.0232086068069558
13	0.0228906874153322
14	0.0208645372531262
15	0.0229593539344591
16	0.022996878251821
17	0.0207549124564009
18	0.0220457667437263
19	0.0210141931927794
20	0.0220265814609606
21	0.0222956510129835
22	0.0235909516056397
23	0.0225399322775935
24	0.023717263495457
25	0.0242568125516102
